Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0  0  0       25.9223         0.0966       186.771        0.415
   0  0  1       25.8878         0.0962       185.990        0.419
   0  0  2       25.8574         0.0970       185.206        0.422
   0  0  3       25.8312         0.0984       184.420        0.425
   0  0  4       25.8093         0.0998       183.631        0.428
   0  0  5       25.7915         0.1011       182.840        0.431
   0  0  6       25.7781         0.1025       182.048        0.434
   0  0  7       25.7689         0.1038       181.255        0.436
   0  0  8       25.7640         0.1051       180.460        0.439
   0  0  9       25.7635         0.1064       179.664        0.441
   0  0 10       25.7672         0.1076       178.868        0.443
   0  0 11       25.7754         0.1088       178.072        0.445
   0  0 12       25.7878         0.1100       177.276        0.446
   0  0 13       25.8046         0.1111       176.481        0.448
   0  0 14       25.8257         0.1123       175.686        0.449
   0  0 15       25.8511         0.1134       174.893        0.450
   0  0 16       25.8809         0.1144       174.100        0.451
   0  0 17       25.9149         0.1155       173.310        0.452
   0  0 18       25.9533         0.1164       172.521        0.453
   0  0 19       25.9959         0.1174       171.735        0.453
   0  0 20       26.0427         0.1183       170.951        0.454
   0  0 21       26.0937         0.1192       170.170        0.454
   0  0 22       26.1489         0.1201       169.392        0.454
   0  0 23       26.2083         0.1209       168.618        0.453
   0  0 24       26.2718         0.1217       167.847        0.453
   0  0 25       26.3393         0.1224       167.080        0.452
   0  0 26       26.4109         0.1231       166.317        0.452
   0  0 27       26.4864         0.1238       165.558        0.451
   0  0 28       26.5659         0.1244       164.804        0.450
   0  0 29       26.6493         0.1250       164.055        0.449
   0  0 30       26.7365         0.1256       163.311        0.447
   0  0 31       26.8275         0.1261       162.572        0.446
   0  1  0       26.2642         0.0963       186.696        0.411
   0  1  1       26.2303         0.0960       185.924        0.414
   0  1  2       26.2004         0.0968       185.149        0.417
   0  1  3       26.1747         0.0982       184.372        0.420
   0  1  4       26.1531         0.0996       183.593        0.423
   0  1  5       26.1357         0.1009       182.811        0.426
   0  1  6       26.1226         0.1023       182.028        0.429
   0  1  7       26.1136         0.1036       181.244        0.431
   0  1  8       26.1089         0.1048       180.459        0.433
   0  1  9       26.1085         0.1061       179.672        0.436
   0  1 10       26.1123         0.1073       178.886        0.438
   0  1 11       26.1204         0.1085       178.099        0.439
   0  1 12       26.1328         0.1097       177.313        0.441
   0  1 13       26.1494         0.1108       176.526        0.443
   0  1 14       26.1703         0.1119       175.741        0.444
   0  1 15       26.1955         0.1130       174.957        0.445
   0  1 16       26.2249         0.1141       174.173        0.446
   0  1 17       26.2586         0.1151       173.392        0.447
   0  1 18       26.2965         0.1161       172.612        0.447
