Tele EF EB theta(degree) phi(degree)
   0  0  0       25.9223     186.771
   0  0  1       25.8878     185.990
   0  0  2       25.8574     185.206
   0  0  3       25.8312     184.420
   0  0  4       25.8093     183.631
   0  0  5       25.7915     182.840
   0  0  6       25.7781     182.048
   0  0  7       25.7689     181.255
   0  0  8       25.7640     180.460
   0  0  9       25.7635     179.664
   0  0 10       25.7672     178.868
   0  0 11       25.7754     178.072
   0  0 12       25.7878     177.276
   0  0 13       25.8046     176.481
   0  0 14       25.8257     175.686
   0  0 15       25.8511     174.893
   0  0 16       25.8809     174.100
   0  0 17       25.9149     173.310
   0  0 18       25.9533     172.521
   0  0 19       25.9959     171.735
   0  0 20       26.0427     170.951
   0  0 21       26.0937     170.170
   0  0 22       26.1489     169.392
   0  0 23       26.2083     168.618
   0  0 24       26.2718     167.847
   0  0 25       26.3393     167.080
   0  0 26       26.4109     166.317
   0  0 27       26.4864     165.558
   0  0 28       26.5659     164.804
   0  0 29       26.6493     164.055
   0  0 30       26.7365     163.311
   0  0 31       26.8275     162.572
   0  1  0       26.2642     186.696
   0  1  1       26.2303     185.924
   0  1  2       26.2004     185.149
   0  1  3       26.1747     184.372
   0  1  4       26.1531     183.593
   0  1  5       26.1357     182.811
   0  1  6       26.1226     182.028
   0  1  7       26.1136     181.244
   0  1  8       26.1089     180.459
   0  1  9       26.1085     179.672
   0  1 10       26.1123     178.886
   0  1 11       26.1204     178.099
   0  1 12       26.1328     177.313
   0  1 13       26.1494     176.526
   0  1 14       26.1703     175.741
   0  1 15       26.1955     174.957
   0  1 16       26.2249     174.173
   0  1 17       26.2586     173.392
   0  1 18       26.2965     172.612
   0  1 19       26.3386     171.835
   0  1 20       26.3849     171.060
   0  1 21       26.4353     170.288
   0  1 22       26.4899     169.519
   0  1 23       26.5485     168.753
   0  1 24       26.6112     167.990
   0  1 25       26.6779     167.231
   0  1 26       26.7486     166.476
   0  1 27       26.8233     165.726
   0  1 28       26.9018     164.980
   0  1 29       26.9842     164.238
   0  1 30       27.0703     163.501
   0  1 31       27.1602     162.770
   0  2  0       26.6065     186.623
   0  2  1       26.5731     185.860
   0  2  2       26.5438     185.094
   0  2  3       26.5185     184.326
   0  2  4       26.4974     183.555
   0  2  5       26.4803     182.783
   0  2  6       26.4675     182.009
   0  2  7       26.4587     181.233
   0  2  8       26.4542     180.457
   0  2  9       26.4539     179.680
   0  2 10       26.4577     178.903
   0  2 11       26.4658     178.125
   0  2 12       26.4781     177.348
   0  2 13       26.4946     176.571
   0  2 14       26.5154     175.794
   0  2 15       26.5403     175.019
   0  2 16       26.5694     174.245
   0  2 17       26.6027     173.472
   0  2 18       26.6402     172.702
   0  2 19       26.6818     171.933
   0  2 20       26.7276     171.167
   0  2 21       26.7774     170.403
   0  2 22       26.8313     169.642
   0  2 23       26.8892     168.884
   0  2 24       26.9512     168.130
   0  2 25       27.0171     167.379
   0  2 26       27.0870     166.633
   0  2 27       27.1607     165.890
   0  2 28       27.2383     165.151
   0  2 29       27.3196     164.417
   0  2 30       27.4047     163.688
   0  2 31       27.4935     162.963
   0  3  0       26.9492     186.552
   0  3  1       26.9164     185.797
   0  3  2       26.8876     185.040
   0  3  3       26.8628     184.280
   0  3  4       26.8420     183.518
   0  3  5       26.8253     182.755
   0  3  6       26.8127     181.990
   0  3  7       26.8042     181.223
   0  3  8       26.7998     180.456
   0  3  9       26.7996     179.688
   0  3 10       26.8035     178.919
   0  3 11       26.8116     178.151
   0  3 12       26.8238     177.382
   0  3 13       26.8402     176.614
   0  3 14       26.8608     175.846
   0  3 15       26.8855     175.080
   0  3 16       26.9143     174.315
   0  3 17       26.9472     173.551
   0  3 18       26.9843     172.789
   0  3 19       27.0254     172.029
   0  3 20       27.0707     171.271
   0  3 21       27.1199     170.515
   0  3 22       27.1732     169.763
   0  3 23       27.2304     169.013
   0  3 24       27.2917     168.267
   0  3 25       27.3568     167.524
   0  3 26       27.4258     166.785
   0  3 27       27.4986     166.050
   0  3 28       27.5753     165.319
   0  3 29       27.6557     164.592
   0  3 30       27.7397     163.870
   0  3 31       27.8275     163.153
   0  4  0       27.2923     186.483
   0  4  1       27.2600     185.736
   0  4  2       27.2317     184.987
   0  4  3       27.2073     184.236
   0  4  4       27.1869     183.483
   0  4  5       27.1706     182.728
   0  4  6       27.1583     181.971
   0  4  7       27.1500     181.213
   0  4  8       27.1458     180.455
   0  4  9       27.1457     179.695
   0  4 10       27.1497     178.936
   0  4 11       27.1577     178.176
   0  4 12       27.1699     177.416
   0  4 13       27.1862     176.656
   0  4 14       27.2065     175.897
   0  4 15       27.2310     175.140
   0  4 16       27.2595     174.383
   0  4 17       27.2921     173.627
   0  4 18       27.3288     172.874
   0  4 19       27.3695     172.122
   0  4 20       27.4142     171.373
   0  4 21       27.4628     170.625
   0  4 22       27.5155     169.881
   0  4 23       27.5721     169.139
   0  4 24       27.6326     168.401
   0  4 25       27.6969     167.666
   0  4 26       27.7651     166.935
   0  4 27       27.8371     166.207
   0  4 28       27.9128     165.483
   0  4 29       27.9922     164.764
   0  4 30       28.0753     164.049
   0  4 31       28.1620     163.338
   0  5  0       27.6357     186.415
   0  5  1       27.6039     185.676
   0  5  2       27.5761     184.935
   0  5  3       27.5522     184.192
   0  5  4       27.5322     183.448
   0  5  5       27.5162     182.701
   0  5  6       27.5041     181.953
   0  5  7       27.4961     181.204
   0  5  8       27.4921     180.454
   0  5  9       27.4921     179.703
   0  5 10       27.4961     178.951
   0  5 11       27.5042     178.200
   0  5 12       27.5163     177.449
   0  5 13       27.5324     176.698
   0  5 14       27.5526     175.947
   0  5 15       27.5768     175.198
   0  5 16       27.6051     174.449
   0  5 17       27.6373     173.702
   0  5 18       27.6736     172.957
   0  5 19       27.7138     172.213
   0  5 20       27.7580     171.472
   0  5 21       27.8062     170.733
   0  5 22       27.8582     169.997
   0  5 23       27.9141     169.263
   0  5 24       27.9739     168.532
   0  5 25       28.0375     167.805
   0  5 26       28.1049     167.081
   0  5 27       28.1760     166.361
   0  5 28       28.2508     165.644
   0  5 29       28.3293     164.932
   0  5 30       28.4114     164.224
   0  5 31       28.4971     163.520
   0  6  0       27.9793     186.348
   0  6  1       27.9482     185.618
   0  6  2       27.9208     184.885
   0  6  3       27.8974     184.150
   0  6  4       27.8778     183.413
   0  6  5       27.8621     182.675
   0  6  6       27.8503     181.935
   0  6  7       27.8425     181.194
   0  6  8       27.8386     180.452
   0  6  9       27.8387     179.710
   0  6 10       27.8428     178.967
   0  6 11       27.8509     178.224
   0  6 12       27.8629     177.481
   0  6 13       27.8790     176.738
   0  6 14       27.8990     175.996
   0  6 15       27.9230     175.255
   0  6 16       27.9510     174.515
   0  6 17       27.9829     173.776
   0  6 18       28.0187     173.038
   0  6 19       28.0585     172.303
   0  6 20       28.1022     171.569
   0  6 21       28.1498     170.838
   0  6 22       28.2013     170.110
   0  6 23       28.2566     169.384
   0  6 24       28.3156     168.661
   0  6 25       28.3785     167.941
   0  6 26       28.4451     167.224
   0  6 27       28.5154     166.511
   0  6 28       28.5893     165.802
