Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0  3 30       27.6755         0.4619       162.059        1.979
   0  3 31       27.7727         0.4530       161.346        1.981
   0  4  0       26.9441         0.6850       184.843        1.563
   0  4  1       26.9203         0.6797       184.082        1.585
   0  4  2       26.9006         0.6743       183.320        1.606
   0  4  3       26.8850         0.6687       182.556        1.628
   0  4  4       26.8734         0.6629       181.791        1.648
   0  4  5       26.8660         0.6569       181.024        1.668
   0  4  6       26.8627         0.6507       180.256        1.688
   0  4  7       26.8636         0.6444       179.488        1.707
   0  4  8       26.8687         0.6379       178.720        1.725
   0  4  9       26.8778         0.6312       177.951        1.743
   0  4 10       26.8912         0.6243       177.183        1.760
   0  4 11       26.9087         0.6174       176.415        1.776
   0  4 12       26.9304         0.6102       175.647        1.792
   0  4 13       26.9562         0.6029       174.881        1.808
   0  4 14       26.9862         0.5955       174.116        1.822
   0  4 15       27.0203         0.5879       173.353        1.836
   0  4 16       27.0585         0.5802       172.591        1.849
   0  4 17       27.1008         0.5724       171.832        1.861
   0  4 18       27.1471         0.5645       171.075        1.873
   0  4 19       27.1975         0.5564       170.320        1.884
   0  4 20       27.2520         0.5483       169.568        1.894
   0  4 21       27.3104         0.5401       168.820        1.903
   0  4 22       27.3727         0.5318       168.074        1.912
   0  4 23       27.4390         0.5234       167.332        1.920
   0  4 24       27.5091         0.5149       166.594        1.927
   0  4 25       27.5831         0.5064       165.860        1.934
   0  4 26       27.6608         0.4978       165.130        1.939
   0  4 27       27.7423         0.4891       164.405        1.944
   0  4 28       27.8275         0.4804       163.684        1.949
   0  4 29       27.9164         0.4717       162.968        1.952
   0  4 30       28.0088         0.4629       162.257        1.955
   0  4 31       28.1048         0.4541       161.551        1.957
   0  5  0       27.2891         0.6827       184.792        1.547
   0  5  1       27.2657         0.6776       184.040        1.568
   0  5  2       27.2464         0.6722       183.286        1.589
   0  5  3       27.2311         0.6667       182.531        1.610
   0  5  4       27.2198         0.6609       181.774        1.630
   0  5  5       27.2126         0.6550       181.016        1.650
   0  5  6       27.2095         0.6489       180.257        1.669
   0  5  7       27.2105         0.6427       179.498        1.687
   0  5  8       27.2156         0.6363       178.738        1.705
   0  5  9       27.2247         0.6297       177.978        1.723
   0  5 10       27.2380         0.6229       177.218        1.739
   0  5 11       27.2554         0.6161       176.459        1.756
   0  5 12       27.2769         0.6090       175.701        1.771
   0  5 13       27.3024         0.6018       174.943        1.786
   0  5 14       27.3321         0.5945       174.187        1.800
   0  5 15       27.3658         0.5870       173.432        1.814
   0  5 16       27.4036         0.5795       172.678        1.827
   0  5 17       27.4454         0.5718       171.927        1.839
   0  5 18       27.4913         0.5640       171.178        1.850
   0  5 19       27.5411         0.5560       170.432        1.861
   0  5 20       27.5949         0.5480       169.688        1.871
   0  5 21       27.6526         0.5399       168.948        1.880
   0  5 22       27.7142         0.5317       168.210        1.889
   0  5 23       27.7797         0.5234       167.476        1.897
   0  5 24       27.8490         0.5151       166.746        1.904
   0  5 25       27.9220         0.5067       166.019        1.910
   0  5 26       27.9989         0.4982       165.297        1.916
   0  5 27       28.0794         0.4897       164.578        1.921
   0  5 28       28.1636         0.4811       163.865        1.926
   0  5 29       28.2514         0.4725       163.155        1.929
   0  5 30       28.3427         0.4638       162.451        1.932
   0  5 31       28.4375         0.4551       161.751        1.935
   0  6  0       27.6344         0.6804       184.742        1.531
   0  6  1       27.6115         0.6753       183.999        1.552
   0  6  2       27.5925         0.6700       183.254        1.573
   0  6  3       27.5775         0.6646       182.507        1.593
   0  6  4       27.5665         0.6589       181.758        1.612
   0  6  5       27.5596         0.6531       181.009        1.631
   0  6  6       27.5566         0.6471       180.258        1.650
   0  6  7       27.5577         0.6409       179.507        1.668
   0  6  8       27.5628         0.6346       178.756        1.686
   0  6  9       27.5719         0.6281       178.005        1.703
   0  6 10       27.5851         0.6215       177.254        1.719
   0  6 11       27.6024         0.6147       176.503        1.735
   0  6 12       27.6237         0.6078       175.753        1.750
   0  6 13       27.6490         0.6007       175.003        1.765
   0  6 14       27.6783         0.5935       174.255        1.779
   0  6 15       27.7117         0.5861       173.509        1.792
   0  6 16       27.7491         0.5786       172.764        1.805
   0  6 17       27.7904         0.5711       172.021        1.817
   0  6 18       27.8358         0.5634       171.280        1.828
   0  6 19       27.8850         0.5556       170.542        1.839
   0  6 20       27.9382         0.5477       169.806        1.849
   0  6 21       27.9952         0.5397       169.073        1.858
   0  6 22       28.0561         0.5316       168.343        1.866
   0  6 23       28.1208         0.5234       167.617        1.874
   0  6 24       28.1893         0.5152       166.894        1.881
   0  6 25       28.2615         0.5069       166.175        1.888
   0  6 26       28.3374         0.4985       165.459        1.894
