*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    2      2     0.72655       0.00932221     117.147          2.88341
    2      2    0.702902       0.00760989       112.8          2.80758
    2      2    0.682276       0.00766265     108.454          2.73106
    2      2    0.654161        0.0101819     104.115          2.65399
    3      0    0.708189         0.013078     114.979          2.84549
    3      0     0.67862        0.0113186     109.763          2.75398
    3      0    0.654048         0.010796     104.553          2.66162
    3      0    0.621503       0.00805122     99.3608          2.56865
    3      1    0.607267       0.00846787     96.3434          2.51422
    3      1    0.587823       0.00916688     91.6247          2.42859
    3      1    0.565245        0.0098188       86.94          2.34296
    3      1    0.542552       0.00701427     82.2962          2.25757
    3      2     0.38743       0.00913743     86.5161          2.33519
    3      2    0.361828       0.00646627      80.619          2.22659
    3      2    0.340585        0.0068658     74.8021           2.1188
    3      2    0.317651       0.00789478     69.0774          2.01224
    3      3    0.637902        0.0083159     101.089          2.59969
    3      3    0.609914       0.00719004     95.9132          2.50645
    3      3    0.579174       0.00793809     90.7702            2.413
    3      3    0.550398       0.00842313     85.6692          2.31963
    4      0    0.575207       0.00617422     99.7636          2.57697
    4      0    0.551112       0.00649622     95.0235          2.49148
    4      0    0.527303       0.00659779     90.3122          2.40585
    4      0    0.501481       0.00691147     85.6368          2.32031
    4      1    0.574251       0.00621207        98.9          2.56144
    4      1    0.552094         0.005327     95.0235          2.49148
    4      1    0.533072       0.00638232     91.1663          2.42142
    4      1    0.515072       0.00646634     87.3324          2.35139
    4      2    0.509173        0.0102007      78.497          2.18872
    4      2    0.482801       0.00865986     73.9421          2.10429
    4      2    0.455519       0.00765702     69.4449          2.02068
    4      2    0.428599       0.00644972     65.0107           1.9381
    4      3    0.483801       0.00629003     77.2493          2.16562
    4      3    0.459652       0.00711401     72.7096           2.0814
    4      3    0.434418       0.00713441     68.2292          1.99804
    4      3    0.409605       0.00685251      63.813          1.91579
    5      0    0.602627       0.00720586     97.1822          2.53022
    5      0    0.576422       0.00854072     92.4572          2.44463
    5      0    0.549005       0.00629816     87.7649          2.35901
    5      0    0.522072        0.0062343     83.1122          2.27358
    5      1    0.674843         0.011062     94.6013          2.48355
    5      1     0.64025       0.00945492      89.467          2.39012
    5      1    0.608803       0.00813087     84.3768          2.29686
    5      1    0.576882        0.0101096     79.3394          2.20397
    5      2    0.580307       0.00915879     74.7749           2.1194
    5      2    0.548062       0.00950856     70.2673          2.03561
    5      2    0.517451         0.010167     65.8218          1.95281
    5      2    0.485874       0.00178297     61.4431          1.87125
    5      3    0.812403        0.0103855     76.4284          2.15007
    5      3    0.776844        0.0115707     72.3088          2.07357
    5      3    0.737573       0.00972924     68.2386          1.99782
    5      3    0.700139       0.00988197     64.2216          1.92298
    6      0    0.511072       0.00720931     87.3722          2.35057
    6      0    0.481442       0.00637649     81.8846          2.24963
    6      0    0.454766        0.0057003     76.4638           2.1493
    6      0    0.426566       0.00812405     71.1198          2.04992
    6      1    0.500787       0.00824534     79.7912          2.21096
    6      1    0.475872       0.00728377     74.8109          2.11861
    6      1    0.446872       0.00828574     69.8984          2.02716
    6      1    0.421312       0.00737346     65.0606          1.93693
    6      2    0.373778       0.00636597     61.0905          1.86288
    6      2    0.352865      0.000807378     56.4047          1.77574
    6      2    0.324376      0.000523327     51.8081          1.69082
    6      2    0.302142       0.00209728     47.3036           1.6086
    6      3    0.395102       0.00713714     66.2627          1.95936
    6      3     0.36895       0.00859105     61.4849          1.87024
    6      3    0.345194      0.000974686     56.7918          1.78292
    6      3     0.32005       0.00052382     52.1876          1.69778
    7      0     0.42032        0.0070824      68.738          2.00318
    7      0    0.391197       0.00086472     63.5255          1.90574
    7      0    0.364793      0.000578534     58.4104          1.81022
    7      0    0.334603       0.00694766     53.3987          1.71705
    7      1    0.382584       0.00686449     58.4104          1.81022
    7      1    0.355061      0.000976544     53.7804          1.72412
    7      1    0.331783      0.000401374     49.2422          1.64052
    7      1    0.301544      0.000580552     44.7977          1.55989
    7      2    0.288296       0.00648573     43.3371          1.53379
    7      2    0.262382      0.000729049     38.6611          1.45218
    7      2    0.236342      0.000633903     34.0892          1.37658
    7      2    0.207043      0.000584398     29.6094          1.30911
    7      3    0.340723       0.00644959     52.6372          1.70297
    7      3    0.315459      0.000660079     48.1222          1.62004
    7      3    0.290313      0.000579628     43.7013          1.54029
    7      3    0.264571       0.00154964     39.3736          1.46441
    8      0    0.202442      0.000574317     32.7973          1.36882
    8      0    0.181174       0.00036571     28.9919          1.31468
    8      0    0.158293      0.000512331     25.2287          1.26988
    8      0    0.133777       0.00060687       21.48          1.23897
    8      1    0.212182       0.00199298     33.4952          1.37944
    8      1    0.187533      0.000490622       29.68          1.32393
    8      1    0.165503      0.000353282     25.9108          1.27711
    8      1    0.140376      0.000314738     22.1623          1.24317
    8      2     0.10542      0.000249014      16.649           1.2354
    8      2   0.0882325       0.00030813      13.419          1.27643
    8      2   0.0680668      0.000497078     9.94384          1.39673
    8      2   0.0442699       0.00674755     5.86287          1.89688
    8      3   0.0964638      0.000617823     15.5892          1.24362
    8      3   0.0801363      0.000333606     12.6751           1.2938
    8      3   0.0628241      0.000561327     9.53299           1.4212
    8      3   0.0402733       0.00112381     5.86287          1.89688
    9      0    0.203888      0.000523498     33.8481           1.3847
    9      0    0.179532      0.000621629     30.0282          1.32851
    9      0    0.158793      0.000791394      26.256          1.28079
    9      0    0.130333      0.000413253     22.5076          1.24538
    9      1    0.198308      0.000538833     33.8481           1.3847
    9      1    0.175149      0.000631489     30.0282          1.32851
    9      1    0.154848      0.000568376      26.256          1.28079
    9      1    0.131241      0.000349699     22.5076          1.24538
    9      2    0.100273      0.000207424     16.6546          1.23505
    9      2   0.0821441      0.000308493     13.4257           1.2759
    9      2   0.0616427      0.000392621     9.95218          1.39577
    9      2   0.0376869        0.0013156     5.87517          1.89289
    9      3    0.113168      0.000339202     17.3543          1.23188
    9      3   0.0942875      0.000401438     14.1578          1.26194
    9      3   0.0729086       0.00041395     10.7575           1.3593
    9      3   0.0524911       0.00046597     6.88123          1.69284
   10      0    0.202204       0.00208752     32.3199          1.35082
   10      0    0.178363       0.00107218     28.5465          1.29655
   10      0    0.154994      0.000621476     24.8173          1.25149
   10      0     0.13025      0.000538111     21.1047          1.22025
   10      1    0.200502      0.000751787      30.598          1.32518
   10      1    0.177248      0.000439765     26.5084          1.27059
   10      1    0.150068      0.000348297     22.4553          1.22955
   10      1    0.121072       0.00039337     18.3887          1.21115
   10      2   0.0895684      0.000626536     14.5667          1.23206
   10      2     0.07548      0.000463348      12.017           1.2845
   10      2   0.0564461      0.000610035      9.2797          1.40176
   10      2   0.0326185       0.00132761     6.14508          1.77377
   10      3     0.10107      0.000714918     15.9747          1.21831
   10      3   0.0878243      0.000543138     13.1264          1.25644
   10      3   0.0693711       0.00048036     10.0873          1.35554
   10      3   0.0477061      0.000612912     6.63608          1.68251
   11      0    0.159335        0.0067231     26.4313          1.27368
   11      0    0.137848      0.000303037     22.3673          1.23361
   11      0    0.117095      0.000336011     18.2855          1.21689
   11      0   0.0934387      0.000424179     14.0834          1.24642
   11      1    0.143324      0.000659849     23.0441          1.23907
