*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    0      1    0.487473       0.00877806     80.2672           5.5424
    0      1    0.473772        0.0100775      78.837          5.46235
    0      1    0.471254       0.00995638     77.3786          5.38054
    0      1    0.459492        0.0104444     75.8932          5.29708
    0      2    0.459541        0.0086988     72.8473           5.1256
    0      2    0.448948        0.0111326     70.6997          5.00456
    0      2    0.432405         0.012501     68.5127           4.8813
    0      2    0.418557        0.0141265     66.2899          4.75608
    0      3    0.448407       0.00995809     72.2657          5.09284
    0      3    0.432359        0.0113137      70.107          4.97116
    0      3    0.421805        0.0110313     67.9099          4.84732
    0      3    0.412579       0.00927954     65.6779          4.72165
    1      0    0.494471       0.00905472     79.2235          5.48106
    1      0    0.485102       0.00918026      77.589          5.38936
    1      0    0.473171       0.00965679     75.9203          5.29555
    1      0    0.463371         0.010668     74.2193          5.19977
    1      1    0.485349        0.0108255     77.9553          5.40992
    1      1    0.469324       0.00961565     75.9203          5.29555
    1      1    0.460134        0.0088906     73.8371          5.17822
    1      1    0.445886       0.00730052     71.7093          5.05825
    1      2    0.436134       0.00913857     68.7423          4.89088
    1      2    0.419859       0.00949634     66.5233          4.76577
    1      2    0.407872       0.00887749     64.2718          4.63901
    1      2    0.394874       0.00784229     61.9914          4.51091
    1      3    0.429085       0.00851998     70.9252          5.01402
    1      3    0.418253        0.0102218     68.7423          4.89088
    1      3    0.407935       0.00996621     66.5233          4.76577
    1      3     0.39541       0.00874805     64.2718          4.63901
    2      0    0.435097        0.0100358     72.1363          5.07813
    2      0    0.425338       0.00983374     69.7771           4.9449
    2      0    0.413004       0.00862774     67.3731          4.80919
    2      0    0.400622       0.00888676      64.929          4.67135
    2      1    0.384045       0.00993359     65.9519          4.72901
    2      1    0.367728        0.0101051     63.2795          4.57849
    2      1    0.354245       0.00907775      60.569          4.42626
    2      1    0.340009         0.007924     57.8262          4.27288
    2      2    0.371017       0.00808185     57.8262          4.27288
    2      2    0.354365       0.00204061     55.0567          4.11886
    2      2    0.341012       0.00208622     52.2659          3.96485
    2      2    0.324515       0.00803577     49.4589          3.81141
    2      3    0.385657       0.00939046     63.2795          4.57849
    2      3     0.37249       0.00869078     60.7788          4.43802
    2      3    0.357065       0.00945788     58.2501          4.29652
    2      3    0.344776       0.00931577     55.6979          4.15442
    3      0    0.349398       0.00982153     55.4926          4.14206
    3      0    0.337347       0.00606526     52.7051          3.98796
    3      0    0.317967       0.00243764     49.9006          3.83437
    3      0    0.307659       0.00770578      47.084          3.68189
    3      1    0.306675       0.00781973     46.4328          3.64695
    3      1    0.293012       0.00109625     44.0422          3.51975
    3      1    0.275144      0.000625525     41.6491          3.39447
    3      1    0.264251       0.00164308     39.2553          3.27161
    3      2     0.19113       0.00500529     41.2139          3.37192
    3      2    0.180893       0.00120435     38.1674          3.21674
    3      2    0.169905      0.000505902      35.123          3.06701
    3      2    0.155909      0.000720471     32.0816          2.92438
    3      3    0.317968       0.00897167     48.8185          3.77555
    3      3    0.296258      0.000586579     45.7812          3.61209
    3      3    0.280884      0.000707921     42.7371          3.45114
    3      3     0.26628       0.00242526     39.6906          3.29376
    4      0    0.275235       0.00116958     46.1634          3.63883
    4      0    0.261948       0.00110121     43.7702          3.51201
    4      0    0.247509      0.000949043     41.3745          3.38719
    4      0    0.236174       0.00106292      38.978          3.26492
    4      1    0.282162        0.0021533      46.598          3.66204
    4      1    0.267305      0.000604591     44.2056          3.53493
    4      1     0.25629       0.00061443     41.8102           3.4097
    4      1     0.24024       0.00116969     39.4137          3.28691
    4      2    0.238299      0.000704027     35.4934          3.09287
    4      2    0.222844      0.000866756     33.0994          2.97972
    4      2    0.206011      0.000777583     30.7065          2.87185
    4      2    0.192567      0.000755709      28.313          2.77057
    4      3    0.229333       0.00108751     35.2757           3.0824
    4      3     0.21618      0.000821169     32.8819          2.96968
    4      3    0.200582      0.000878139      30.489          2.86233
    4      3    0.185028      0.000923922     28.0954          2.76176
    5      0    0.294601      0.000820308     45.9588          3.62635
    5      0    0.279752      0.000848894     43.5659          3.49964
    5      0    0.266797       0.00101704     41.1707          3.37496
    5      0    0.250149        0.0048296     38.7749          3.25287
