      *tel    numcsi               CsI V           err CsI V        energy (MeV)   err Energy (MeV)
         7         3            0.313178         8.50472e-05             60.6712            0.138041
         7         3            0.312058         0.000106227             60.5297            0.137963
         8         0            0.730386         2.57791e-05             62.4235             0.13927
         8         0            0.730608         1.05434e-05             62.3372            0.139239
         8         0            0.730405         8.77134e-06             62.2419            0.139197
         8         0            0.730279         1.27115e-05             62.1376            0.139138
         8         1            0.329231         2.14937e-05             62.5598             0.13933
         8         1            0.329602         9.16939e-06             62.5008            0.139308
         8         1            0.329315         8.03945e-06             62.4352            0.139283
         8         1            0.328793         8.43243e-06             62.3628            0.139247
         8         2            0.321028         2.25613e-05             62.3108            0.139223
         8         2            0.320742         1.03063e-05             62.2275            0.139185
         8         2            0.320319         1.02293e-05             62.1376            0.139138
         8         2            0.319644         1.18208e-05             62.0412            0.139098
         8         3            0.312438         5.92142e-05             62.1983            0.139172
         8         3            0.314036         1.41824e-05             62.0902            0.139116
         8         3            0.313267         1.23721e-05             61.9734            0.139066
         8         3            0.312412         1.57329e-05             61.8479            0.139006
         9         0            0.304413         9.60797e-06             62.5887            0.139341
         9         0            0.304493         7.12758e-06             62.5429            0.139322
         9         0            0.304284         7.73058e-06             62.4923            0.139296
         9         0            0.303547         7.54814e-06             62.4371            0.139279
         9         1            0.302575         2.05293e-05             62.5525            0.139329
         9         1            0.302295         8.75528e-06             62.4817            0.139299
         9         1            0.301844         7.57733e-06             62.4018             0.13926
         9         1            0.301061         1.05185e-05             62.3128             0.13922
         9         2            0.315603         1.52594e-05             62.2858            0.139212
         9         2            0.314987         1.00861e-05             62.2002            0.139168
         9         2            0.314551         1.12942e-05             62.1081            0.139126
         9         2            0.314045         1.25091e-05             62.0096            0.139079
         9         3            0.338411         1.14044e-05             62.3392            0.139236
         9         3               0.338         9.75973e-06              62.272            0.139201
         9         3            0.337717         1.08118e-05             62.2002            0.139168
         9         3            0.336797          1.1524e-05              62.124            0.139138
        10         0            0.315018         2.53642e-05             62.3996            0.138981
        10         0            0.315498         1.11207e-05             62.2981            0.138929
        10         0            0.315334         1.00464e-05             62.1877            0.138876
        10         0            0.314507         1.71033e-05             62.0686            0.138824
        10         1            0.334783         3.54661e-05             62.1035            0.138841
        10         1            0.334684         1.58157e-05             61.9967            0.138789
        10         1            0.334152         1.46445e-05             61.8834            0.138726
        10         1            0.333507         1.85524e-05             61.7641             0.13868
        10         2            0.339222         5.68444e-05              61.864            0.138723
        10         2            0.339485         2.27039e-05             61.7228            0.138652
        10         2            0.338363         2.02406e-05             61.5734            0.138583
        10         2            0.337384         3.33477e-05             61.4157            0.138502
        10         3            0.311957         3.47141e-05             62.1546            0.138871
        10         3            0.311898         1.42306e-05              62.033            0.138813
        10         3            0.310953         1.29333e-05             61.9028            0.138749
        10         3            0.310447         2.08796e-05             61.7641             0.13868
        11         0            0.299059         9.36151e-05             61.4221            0.138586
        11         0            0.298267         3.14065e-05             61.2823            0.138513
        11         0             0.29779         3.21646e-05             61.1366            0.138426
        11         0              0.2971         4.16181e-05              60.985            0.138355
        11         1             0.31168         0.000117631             60.8808            0.138288
        11         1            0.311373         5.38888e-05             60.7198            0.138211
        11         1            0.310901         5.97799e-05              60.553            0.138131
        11         1            0.310038         7.68289e-05             60.3806            0.138013
        11         2            0.311138         0.000158146              60.637            0.138166
        11         2            0.310302         7.59976e-05             60.4675            0.138072
        11         2            0.309405          7.7378e-05             60.2924            0.137964
        11         2            0.308716         8.21562e-05             60.1119             0.13789
        11         3            0.323316          9.1591e-05             61.1613            0.138458
        11         3            0.323058         4.28369e-05             61.0107            0.138368
        11         3            0.322153         4.11273e-05             60.8544            0.138294
        11         3            0.321358         5.88168e-05             60.6924            0.138207
