*telnum      csinum        Par0     errPar0        Par1    errPar1
    5           0  0.00497881  7.37764e-05    1.07644  0.00333471
    5           1   0.0056651  9.64227e-05    1.08195  0.00385015
    5           2  0.00547776  0.000124177    1.10133  0.00526227
    5           3  0.00567823  0.000163423    1.17054   0.0071055
