Tele EF EB theta(degree) phi(degree)
   0  6  6       27.8642     180.255
   0  6  7       27.8654     179.514
   0  6  8       27.8705     178.772
   0  6  9       27.8796     178.031
   0  6 10       27.8927     177.289
   0  6 11       27.9097     176.548
   0  6 12       27.9307     175.808
   0  6 13       27.9557     175.068
   0  6 14       27.9847     174.330
   0  6 15       28.0175     173.592
   0  6 16       28.0543     172.857
   0  6 17       28.0950     172.123
   0  6 18       28.1397     171.392
   0  6 19       28.1881     170.663
   0  6 20       28.2404     169.936
   0  6 21       28.2965     169.212
   0  6 22       28.3564     168.491
   0  6 23       28.4201     167.773
   0  6 24       28.4875     167.059
   0  6 25       28.5585     166.348
   0  6 26       28.6332     165.641
   0  6 27       28.7115     164.938
   0  6 28       28.7933     164.239
   0  6 29       28.8786     163.544
   0  6 30       28.9674     162.854
   0  6 31       29.0596     162.169
   0  7  0       28.2846     184.634
   0  7  1       28.2627     183.908
   0  7  2       28.2445     183.180
   0  7  3       28.2303     182.451
   0  7  4       28.2198     181.720
   0  7  5       28.2133     180.989
   0  7  6       28.2107     180.256
   0  7  7       28.2119     179.523
   0  7  8       28.2171     178.790
   0  7  9       28.2262     178.056
   0  7 10       28.2392     177.323
   0  7 11       28.2561     176.590
   0  7 12       28.2770     175.857
   0  7 13       28.3017     175.126
   0  7 14       28.3304     174.395
   0  7 15       28.3629     173.666
   0  7 16       28.3993     172.938
   0  7 17       28.4396     172.213
   0  7 18       28.4837     171.489
   0  7 19       28.5316     170.767
   0  7 20       28.5833     170.048
   0  7 21       28.6388     169.332
   0  7 22       28.6980     168.618
   0  7 23       28.7609     167.908
   0  7 24       28.8275     167.200
   0  7 25       28.8977     166.497
   0  7 26       28.9715     165.797
   0  7 27       29.0489     165.100
   0  7 28       29.1297     164.408
   0  7 29       29.2141     163.720
   0  7 30       29.3018     163.036
   0  7 31       29.3929     162.357
   0  8  0       28.6296     184.588
   0  8  1       28.6081     183.870
   0  8  2       28.5903     183.150
   0  8  3       28.5763     182.428
   0  8  4       28.5662     181.705
   0  8  5       28.5599     180.982
   0  8  6       28.5574     180.257
   0  8  7       28.5587     179.532
   0  8  8       28.5639     178.806
   0  8  9       28.5730     178.081
   0  8 10       28.5860     177.355
   0  8 11       28.6028     176.630
   0  8 12       28.6235     175.906
   0  8 13       28.6480     175.182
   0  8 14       28.6764     174.459
   0  8 15       28.7086     173.738
   0  8 16       28.7446     173.018
   0  8 17       28.7844     172.300
   0  8 18       28.8281     171.584
   0  8 19       28.8754     170.870
   0  8 20       28.9266     170.158
   0  8 21       28.9814     169.449
   0  8 22       29.0399     168.743
   0  8 23       29.1021     168.039
   0  8 24       29.1679     167.339
   0  8 25       29.2373     166.642
   0  8 26       29.3103     165.949
   0  8 27       29.3867     165.259
   0  8 28       29.4666     164.574
   0  8 29       29.5500     163.892
   0  8 30       29.6367     163.214
   0  8 31       29.7267     162.541
   0  9  0       28.9748     184.543
   0  9  1       28.9537     183.832
   0  9  2       28.9363     183.120
   0  9  3       28.9226     182.406
   0  9  4       28.9127     181.691
   0  9  5       28.9066     180.975
   0  9  6       28.9043     180.258
   0  9  7       28.9057     179.541
   0  9  8       28.9110     178.823
   0  9  9       28.9201     178.105
   0  9 10       28.9329     177.387
   0  9 11       28.9496     176.670
   0  9 12       28.9702     175.953
   0  9 13       28.9945     175.237
   0  9 14       29.0226     174.522
   0  9 15       29.0545     173.808
   0  9 16       29.0901     173.096
   0  9 17       29.1295     172.385
   0  9 18       29.1727     171.677
   0  9 19       29.2195     170.970
   0  9 20       29.2701     170.266
   0  9 21       29.3243     169.564
   0  9 22       29.3822     168.864
   0  9 23       29.4436     168.168
   0  9 24       29.5087     167.475
   0  9 25       29.5773     166.785
   0  9 26       29.6494     166.098
   0  9 27       29.7249     165.415
   0  9 28       29.8039     164.736
   0  9 29       29.8863     164.060
   0  9 30       29.9720     163.389
   0  9 31       30.0610     162.722
   0 10  0       29.3202     184.499
   0 10  1       29.2995     183.795
   0 10  2       29.2825     183.090
   0 10  3       29.2691     182.384
   0 10  4       29.2595     181.677
   0 10  5       29.2535     180.968
   0 10  6       29.2513     180.259
   0 10  7       29.2529     179.549
   0 10  8       29.2582     178.839
   0 10  9       29.2673     178.129
   0 10 10       29.2801     177.419
   0 10 11       29.2967     176.709
   0 10 12       29.3170     176.000
   0 10 13       29.3411     175.291
   0 10 14       29.3690     174.584
   0 10 15       29.4006     173.877
   0 10 16       29.4358     173.173
   0 10 17       29.4748     172.469
   0 10 18       29.5175     171.768
   0 10 19       29.5639     171.068
   0 10 20       29.6139     170.371
   0 10 21       29.6675     169.676
   0 10 22       29.7247     168.984
   0 10 23       29.7855     168.294
   0 10 24       29.8497     167.608
   0 10 25       29.9175     166.924
   0 10 26       29.9888     166.244
   0 10 27       30.0635     165.568
   0 10 28       30.1415     164.895
   0 10 29       30.2230     164.226
   0 10 30       30.3077     163.560
   0 10 31       30.3956     162.899
   0 11  0       29.6658     184.455
   0 11  1       29.6455     183.759
   0 11  2       29.6288     183.062
   0 11  3       29.6157     182.363
   0 11  4       29.6063     181.663
   0 11  5       29.6006     180.962
   0 11  6       29.5986     180.260
   0 11  7       29.6002     179.558
   0 11  8       29.6056     178.855
   0 11  9       29.6147     178.152
   0 11 10       29.6274     177.450
   0 11 11       29.6439     176.747
   0 11 12       29.6641     176.045
   0 11 13       29.6880     175.344
   0 11 14       29.7156     174.644
   0 11 15       29.7468     173.945
   0 11 16       29.7818     173.247
   0 11 17       29.8204     172.551
   0 11 18       29.8626     171.857
   0 11 19       29.9084     171.164
   0 11 20       29.9579     170.474
   0 11 21       30.0109     169.786
   0 11 22       30.0675     169.101
   0 11 23       30.1275     168.418
   0 11 24       30.1911     167.738
   0 11 25       30.2581     167.061
   0 11 26       30.3285     166.388
   0 11 27       30.4024     165.717
   0 11 28       30.4795     165.051
   0 11 29       30.5600     164.388
   0 11 30       30.6437     163.728
   0 11 31       30.7307     163.073
   0 12  0       30.0115     184.413
   0 12  1       29.9916     183.724
   0 12  2       29.9752     183.034
   0 12  3       29.9625     182.342
   0 12  4       29.9533     181.649
   0 12  5       29.9478     180.955
   0 12  6       29.9459     180.261
   0 12  7       29.9477     179.566
   0 12  8       29.9531     178.870
   0 12  9       29.9622     178.175
   0 12 10       29.9749     177.480
   0 12 11       29.9913     176.784
   0 12 12       30.0113     176.090
   0 12 13       30.0350     175.396
   0 12 14       30.0623     174.703
   0 12 15       30.0933     174.011
   0 12 16       30.1279     173.321
   0 12 17       30.1661     172.631
   0 12 18       30.2078     171.944
   0 12 19       30.2532     171.259
   0 12 20       30.3021     170.575
   0 12 21       30.3545     169.894
   0 12 22       30.4104     169.215
   0 12 23       30.4698     168.539
   0 12 24       30.5327     167.866
   0 12 25       30.5989     167.195
   0 12 26       30.6686     166.528
   0 12 27       30.7415     165.864
   0 12 28       30.8178     165.203
   0 12 29       30.8974     164.546
   0 12 30       30.9801     163.893
   0 12 31       31.0661     163.244
   0 13  0       30.3573     184.371
   0 13  1       30.3378     183.690
   0 13  2       30.3218     183.006
   0 13  3       30.3093     182.322
   0 13  4       30.3004     181.636
   0 13  5       30.2951     180.949
   0 13  6       30.2934     180.262
   0 13  7       30.2952     179.574
   0 13  8       30.3007     178.886
   0 13  9       30.3098     178.197
   0 13 10       30.3224     177.509
   0 13 11       30.3387     176.821
   0 13 12       30.3586     176.134
   0 13 13       30.3821     175.447
   0 13 14       30.4092     174.761
   0 13 15       30.4399     174.076
   0 13 16       30.4741     173.392
   0 13 17       30.5119     172.710
   0 13 18       30.5532     172.030
   0 13 19       30.5981     171.351
   0 13 20       30.6465     170.674
   0 13 21       30.6983     170.000
   0 13 22       30.7536     169.327
   0 13 23       30.8124     168.658
   0 13 24       30.8745     167.991
   0 13 25       30.9400     167.327
   0 13 26       31.0088     166.666
   0 13 27       31.0810     166.008
   0 13 28       31.1564     165.353
   0 13 29       31.2350     164.702
   0 13 30       31.3168     164.055
   0 13 31       31.4018     163.411
   0 14  0       30.7032     184.331
   0 14  1       30.6841     183.656
   0 14  2       30.6684     182.979
   0 14  3       30.6562     182.301
   0 14  4       30.6476     181.623
   0 14  5       30.6425     180.943
   0 14  6       30.6409     180.263
   0 14  7       30.6429     179.582
   0 14  8       30.6484     178.900
   0 14  9       30.6574     178.219
   0 14 10       30.6701     177.538
   0 14 11       30.6863     176.857
   0 14 12       30.7060     176.176
   0 14 13       30.7293     175.497
   0 14 14       30.7562     174.817
   0 14 15       30.7865     174.139
   0 14 16       30.8204     173.463
   0 14 17       30.8579     172.787
   0 14 18       30.8988     172.113
   0 14 19       30.9432     171.441
   0 14 20       30.9910     170.771
   0 14 21       31.0423     170.103
   0 14 22       31.0970     169.437
   0 14 23       31.1551     168.774
   0 14 24       31.2165     168.114
