*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    0      1  462.913     7.33018           27.475           27.255      27.695     80.2672     2.90758    0.487473  0.00877806  
    0      1  451.391     8.48138           28.355           28.135      28.575      78.837     2.87173    0.473772   0.0100775  
    0      1  449.269     8.38523           29.235           29.015      29.455     77.3786     2.83486    0.471254  0.00995638  
    0      1  439.368     8.79147           30.115           29.895      30.335     75.8932     2.79699    0.459492   0.0104444  
    0      2  448.897     7.07177           31.875           31.655      32.095     72.8473     2.71848    0.459541   0.0086988  
    0      2  440.313     9.02105           33.085           32.865      33.305     70.6997     2.66254    0.448948   0.0111326  
    0      2  426.923     10.1195           34.295           34.075      34.515     68.5127     2.60517    0.432405    0.012501  
    0      2  415.676     11.4718           35.505           35.285      35.725     66.2899     2.54651    0.418557   0.0141265  
    0      3  381.8     7.84857           32.205           31.985      32.425     72.2657     2.70339    0.448407  0.00995809  
    0      3  368.935     9.10135           33.415           33.195      33.635      70.107     2.64704    0.432359   0.0113137  
    0      3  360.346     8.97622           34.625           34.405      34.845     67.9099     2.58929    0.421805   0.0110313  
    0      3  352.805     7.58439           35.835           35.615      36.055     65.6779     2.53031    0.412579  0.00927954  
    1      0  503.667     7.58165           28.135           27.915      28.355     79.2235     2.88004    0.494471  0.00905472  
    1      0  495.831      7.6776           29.125           28.905      29.345      77.589     2.83876    0.485102  0.00918026  
    1      0  485.842     8.08679           30.115           29.895      30.335     75.9203      2.7962    0.473171  0.00965679  
    1      0  477.606     8.96437           31.105           30.885      31.325     74.2193     2.75246    0.463371    0.010668  
    1      1  484.222     9.26496           28.905           28.685      29.125     77.9553     2.84804    0.485349   0.0108255  
    1      1  470.659     8.12528           30.115           29.895      30.335     75.9203      2.7962    0.469324  0.00961565  
    1      1  462.896     7.51031           31.325           31.105      31.545     73.8371     2.74258    0.460134   0.0088906  
    1      1  450.778     6.22857           32.535           32.315      32.755     71.7093     2.68732    0.445886  0.00730052  
    1      2  413.178     7.49307           34.185           33.965      34.405     68.7423     2.60956    0.436134  0.00913857  
    1      2  399.959     7.70063           35.395           35.175      35.615     66.5233     2.55097    0.419859  0.00949634  
    1      2  390.238     7.20166           36.605           36.385      36.825     64.2718     2.49123    0.407872  0.00887749  
    1      2  379.619     6.42151           37.815           37.595      38.035     61.9914     2.43051    0.394874  0.00784229  
    1      3  434.647     7.09549           32.975           32.755      33.195     70.9252     2.66684    0.429085  0.00851998  
    1      3  425.56     8.57631           34.185           33.965      34.405     68.7423     2.60956    0.418253   0.0102218  
    1      3  416.88     8.38443           35.395           35.175      35.615     66.5233     2.55097    0.407935  0.00996621  
    1      3  406.377     7.32873           36.605           36.385      36.825     64.2718     2.49123     0.39541  0.00874805  
    2      0  420.35      8.4426           32.315           32.095      32.535     72.1363      2.6964    0.435097   0.0100358  
    2      0  412.119      8.2943           33.635           33.415      33.855     69.7771     2.63463    0.425338  0.00983374  
    2      0  401.667     7.31817           34.955           34.735      35.175     67.3731     2.57124    0.413004  0.00862774  
    2      0  391.095     7.59639           36.275           36.055      36.495      64.929      2.5064    0.400622  0.00888676  
    2      1  395.14     8.14286           35.725           35.505      35.945     65.9519     2.53358    0.384045  0.00993359  
    2      1  381.928     8.16198           37.155           36.935      37.375     63.2795     2.46248    0.367728   0.0101051  
    2      1  371.103     7.28174           38.585           38.365      38.805      60.569     2.39008    0.354245  0.00907775  
    2      1  359.703     6.34531           40.015           39.795      40.235     57.8262     2.31667    0.340009    0.007924  
    2      2  359.962     6.87795           40.015           39.795      40.235     57.8262     2.31667    0.371017  0.00808185  
    2      2  345.754     1.73899           41.445           41.225      41.665     55.0567      2.2425    0.354365  0.00204061  
    2      2  334.431     1.76103           42.875           42.655      43.095     52.2659     2.16791    0.341012  0.00208622  
    2      2  320.605     6.71405           44.305           44.085      44.525     49.4589     2.09321    0.324515  0.00803577  
    2      3  394.9      7.7711           37.155           36.935      37.375     63.2795     2.46248    0.385657  0.00939046  
    2      3  384.114     7.10676           38.475           38.255      38.695     60.7788      2.3957     0.37249  0.00869078  
    2      3  371.578     7.67741           39.795           39.575      40.015     58.2501     2.32801    0.357065  0.00945788  
    2      3  361.618     7.54981           41.115           40.895      41.335     55.6979     2.25967    0.344776  0.00931577  
    3      0  351.4     8.52291           41.225           41.005      41.445     55.4926     2.25368    0.349398  0.00982153  
    3      0  341.02     5.21099           42.655           42.435      42.875     52.7051     2.17909    0.337347  0.00606526  
    3      0  324.517     2.06545           44.085           43.865      44.305     49.9006     2.10438    0.317967  0.00243764  
    3      0  315.809     6.50577           45.515           45.295      45.735      47.084     2.02983    0.307659  0.00770578  
    3      1  329.456     6.36406           45.845           45.625      46.065     46.4328      2.0127    0.306675  0.00781973  
    3      1  318.231    0.906779           47.055           46.835      47.275     44.0422     1.95018    0.293012  0.00109625  
    3      1  303.335    0.524016           48.265           48.045      48.485     41.6491     1.88839    0.275144  0.000625525  
    3      1  294.202     1.37742           49.475           49.255      49.695     39.2553     1.82761    0.264251  0.00164308  
    3      2  232.542     4.12335           48.485           48.265      48.705     41.2139     1.87724     0.19113  0.00500529  
    3      2  224.089    0.996059           50.025           49.805      50.245     38.1674      1.8004    0.180893  0.00120435  
    3      2  214.971    0.421207           51.565           51.345      51.785      35.123     1.72605    0.169905  0.000505902  
    3      2  203.248    0.607265           53.105           52.885      53.325     32.0816     1.65511    0.155909  0.000720471  
    3      3  325.4     7.51344           44.635           44.415      44.855     48.8185     2.07567    0.317968  0.00897167  
    3      3  307.315    0.488222           46.175           45.955      46.395     45.7812     1.99559    0.296258  0.000586579  
    3      3  294.495    0.591782           47.715           47.495      47.935     42.7371     1.91637    0.280884  0.000707921  
    3      3  282.232     2.04509           49.255           49.035      49.475     39.6906     1.83859     0.26628  0.00242526  
    4      0  385.02     1.25471           45.955           45.735      46.175     46.1634     2.00887    0.275235  0.00116958  
    4      0  370.792       1.178           47.165           46.945      47.385     43.7702     1.94653    0.261948  0.00110121  
    4      0  355.345     1.01595           48.375           48.155      48.595     41.3745     1.88497    0.247509  0.000949043  
    4      0  343.195     1.14041           49.585           49.365      49.805      38.978     1.82449    0.236174  0.00106292  
    4      1  369.292     2.38315           45.735           45.515      45.955      46.598     2.02024    0.282162   0.0021533  
    4      1  352.814    0.672293           46.945           46.725      47.165     44.2056     1.95781    0.267305  0.000604591  
    4      1  340.529    0.687338           48.155           47.935      48.375     41.8102     1.89608     0.25629  0.00061443  
    4      1  322.465     1.32379           49.365           49.145      49.585     39.4137     1.83537     0.24024  0.00116969  
    4      2  304.412    0.645723           51.345           51.125      51.565     35.4934     1.73913    0.238299  0.000704027  
    4      2  290.233    0.796371           52.555           52.335      52.775     33.0994      1.6829    0.222844  0.000866756  
    4      2  274.684    0.722908           53.765           53.545      53.985     30.7065     1.62928    0.206011  0.000777583  
    4      2  262.081    0.714031           54.975           54.755      55.195      28.313     1.57901    0.192567  0.000755709  
    4      3  299.784     1.08925           51.455           51.235      51.675     35.2757     1.73393    0.229333  0.00108751  
    4      3  286.603    0.822317           52.665           52.445      52.885     32.8819     1.67791     0.21618  0.000821169  
    4      3  271.054    0.870309           53.875           53.655      54.095      30.489     1.62454    0.200582  0.000878139  
    4      3  255.768    0.901923           55.085           54.865      55.305     28.0954     1.57466    0.185028  0.000923922  
    5      0  365.197    0.822654           46.065           45.845      46.285     45.9588     2.00271    0.294601  0.000820308  
    5      0  350.296    0.852562           47.275           47.055      47.495     43.5659     1.94039    0.279752  0.000848894  
    5      0  337.271     1.02357           48.485           48.265      48.705     41.1707     1.87887    0.266797  0.00101704  
    5      0  320.483     4.87691           49.695           49.475      49.915     38.7749     1.81847    0.250149   0.0048296  
    5      1  409.985     2.11452           46.835           46.615      47.055     44.4365     1.96298    0.328252  0.00203095  
    5      1  390.201     1.23222           48.155           47.935      48.375     41.8241     1.89556    0.309261  0.00118298  
    5      1  377.046     1.13272           49.475           49.255      49.695     39.2104     1.82935    0.296621  0.00108933  
    5      1  357.872    0.483105           50.795           50.575      51.015     36.5974     1.76478    0.278164  0.000464941  
    5      2  322.956     1.41657           52.335           52.115      52.555     33.5511     1.69226    0.270921  0.00144548  
    5      2  302.124    0.543788           53.655           53.435      53.875     30.9417     1.63324     0.24959  0.000557881  
    5      2  285.165     0.92934           54.975           54.755      55.195      28.332     1.57812    0.232197  0.000951976  
    5      2  263.181     0.79461           56.295           56.075      56.515     25.7181     1.52818    0.209782  0.000805424  
    5      3  497.194    0.975641           51.565           51.345      51.785      35.074     1.72807    0.386346  0.000888153  
    5      3  471.994    0.971494           52.775           52.555      52.995     32.6812     1.67221    0.363392  0.000886372  
    5      3  445.937     2.02827           53.985           53.765      54.205     30.2894     1.61904    0.339515    0.001867  
    5      3  423.582     23.5575           55.195           54.975      55.415     27.8968      1.5694    0.318914   0.0217081  
    6      0  303.032    0.577955           48.705           48.485      48.925     40.7928     1.86563    0.246344  0.000567045  
    6      0  288.19     1.21233           50.025           49.805      50.245     38.1824     1.79982    0.231766  0.00119113  
    6      0  276.249    0.553812           51.345           51.125      51.565     35.5736     1.73586    0.220047  0.000542621  
