*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    1      2  764.912     10.8141           34.295           34.075      34.515      97.196     2.53666    0.619093  0.00952513  
    1      2  744.157     11.4342           35.505           35.285      35.725     94.1075     2.48244    0.600903   0.0100003  
    1      2  721.573     10.0722           36.715           36.495      36.935     90.9801     2.42678    0.581363  0.00867622  
    1      2  703.353     11.9367           37.925           37.705      38.145     87.8191     2.36982    0.565764   0.0102103  
    1      3  772.525     10.3249           32.865           32.645      33.085     100.788     2.59871    0.614159  0.00914649  
    1      3  757.638     11.0576           33.965           33.745      34.185     98.0308     2.55118    0.600955  0.00980976  
    1      3  739.12     11.8386           35.065           34.845      35.285     95.2354     2.50234    0.584511   0.0105145  
    1      3  718.059     4.59083           36.165           35.945      36.385     92.4061     2.45225    0.565792  0.00408189  
    1      3  703.2     10.9325           37.265           37.045      37.485     89.5471     2.40104    0.552573  0.00972636  
    2      0  786.576     10.3902           32.425           32.205      32.645     101.908     2.61677    0.618751  0.00874421  
    2      0  761.764     11.3795           33.745           33.525      33.965     98.6147     2.56023    0.597929  0.00954165  
    2      0  740.537     11.1139           35.065           34.845      35.285     95.2654     2.50174    0.580151  0.00930599  
    2      0  722.454     13.3295           36.385           36.165      36.605     91.8674     2.44148    0.565011   0.0111596  
    2      1  689.6     10.1933           35.505           35.285      35.725     94.1378     2.48184    0.544612  0.00919659  
    2      1  669.793     9.68111           36.825           36.605      37.045     90.7251     2.42103    0.526722  0.00874548  
    2      1  646.144     2.52445           38.145           37.925      38.365     87.2732     2.35868    0.505372  0.00227695  
    2      1  632.4     10.1201           39.465           39.245      39.685     83.7892       2.295     0.49299  0.00911473  
    2      2  661.632     9.57224           40.125           39.905      40.345     82.0373     2.26271    0.526429  0.00826672  
    2      2  637.712     10.3122           41.445           41.225      41.665     78.5179     2.19735    0.505794   0.0088917  
    2      2  614.303     1.17569           42.765           42.545      42.985     74.9835     2.13114    0.485632  0.00101198  
    2      2  586.746     1.65361           44.085           43.865      44.305     71.4406     2.06427    0.461915  0.00142372  
    2      3  694.506     11.0635           36.935           36.715      37.155     90.4389     2.41588    0.550608  0.00992494  
    2      3  671.607     10.1115           38.365           38.145      38.585     86.6946     2.34816    0.530067  0.00906615  
    2      3  644.858     2.04022           39.795           39.575      40.015      82.914     2.27889    0.506108  0.00182665  
    2      3  626.599     9.46918           41.225           41.005      41.445     79.1057     2.20832     0.48976  0.00847819  
    3      0  648.129     8.20073           41.115           40.895      41.335     79.4057     2.21365    0.499517  0.00690421  
    3      0  619.914     1.92373           42.545           42.325      42.765     75.5799     2.14208    0.475763  0.00161961  
    3      0  592.879    0.575525           43.975           43.755      44.195     71.7428     2.06971    0.453002  0.000484559  
    3      0  573.883     8.57187           45.405           45.185      45.625     67.9027     1.99678    0.437008  0.00721738  
    3      1  583.906     9.64014           44.855           44.635      45.075     69.3795     2.02487    0.452156  0.00865214  
    3      1  560.315     9.69424           46.285           46.065      46.505     65.5413     1.95172    0.431001  0.00869003  
    3      1  534.429    0.576295           47.715           47.495      47.935     61.7125     1.87848    0.407783  0.000517494  
    3      1  510.264    0.732329           49.145           48.925      49.365     57.8999     1.80544    0.386037  0.000660327  
    3      1  489.111     11.0623           50.575           50.355      50.795     54.1102     1.73289     0.36698  0.00995877  
    3      2  393.656     5.62048           48.705           48.485      48.925     59.0709     1.82788    0.275749  0.00486939  
    3      2  376.014    0.517303           50.135           49.915      50.355     55.2735     1.75514    0.260486  0.000447108  
    3      2  355.599      2.0192           51.565           51.345      51.785      51.503     1.68318    0.242857  0.00174258  
    3      2  338.031    0.559113           52.995           52.775      53.215     47.7646     1.61238    0.227701  0.000482211  
