*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    0      0  490.649      8.3786           27.365           27.145      27.585     80.0559     3.32256    0.485098  0.00988095  
    0      0  479.639     9.43296           28.465           28.245      28.685     78.2771     3.26909    0.472115    0.011122  
    0      0  469.981     9.61097           29.565           29.345      29.785     76.4546     3.21386     0.46077   0.0112901  
    0      0  458.602      9.8915           30.665           30.445      30.885      74.591     3.15694     0.44751    0.011519  
    0      1  461.875     9.33101           26.925           26.705      27.145     80.7546     3.34341    0.486235    0.011174  
    0      1  458.839     7.30749           27.915           27.695      28.135     79.1721     3.29605    0.482619  0.00871813  
    0      1  445.266     1.25903           28.905           28.685      29.125     77.5532      3.2472    0.466503  0.00149452  
    0      1  455.308     29.6783           29.895           29.675      30.115     75.8997     3.19694    0.478422   0.0356642  
    0      2  447.655     1.05655           31.875           31.655      32.095     72.4969     3.09253    0.458011  0.00130244  
    0      2  432.43    0.783282           33.085           32.865      33.305     70.3599      3.0264    0.439206  0.000967839  
    0      2  430.763    0.931657           34.295           34.075      34.515     68.1837     2.95872    0.437147  0.00115094  
    0      2  417.512     6.91548           35.505           35.285      35.725     65.9718     2.88963    0.420812  0.00851502  
    0      3  382.404     9.38152           32.205           31.985      32.425     71.9181     3.07467     0.44917     0.01192  
    0      3  371.812     9.03972           33.525           33.305      33.745     69.5729     3.00196    0.435916   0.0112947  
    0      3  360.496     8.67514           34.845           34.625      35.065     67.1825     2.92747    0.421989    0.010661  
    0      3  349.246     8.85216           36.165           35.945      36.385     64.7516     2.85143    0.408221   0.0108317  
    1      0  511.304     9.63678           27.145           26.925      27.365     80.4321     3.33217    0.503592     0.01147  
    1      0  496.232     1.73296           28.465           28.245      28.685     78.3035     3.26822    0.485581  0.00207225  
    1      0  491.817     2.13431           29.785           29.565      30.005     76.1121     3.20169    0.480303  0.00255082  
    1      0  476.951     3.93712           31.105           30.885      31.325     73.8623     3.13279    0.462594  0.00467643  
    1      1  479.12     9.57168           28.575           28.355      28.795     78.1233     3.26278    0.479336   0.0112529  
    1      1  467.411     6.93523           30.005           29.785      30.225      75.741     3.19038    0.465477  0.00821407  
    1      1  464.125     1.03066           31.435           31.215      31.655     73.2913     3.11523    0.461587  0.00121942  
    1      1  445.751     9.32956           32.865           32.645      33.085       70.78     3.03757    0.440043   0.0108798  
    1      2  409.986     9.06125           34.295           34.075      34.515     68.2131      2.9577    0.432217   0.0110837  
    1      2  395.59     10.0833           35.505           35.285      35.725      66.002     2.88857    0.414467   0.0124415  
    1      2  387.353     2.26902           36.715           36.495      36.935     63.7589     2.81823    0.404326  0.00278801  
    1      2  377.942     9.05152           37.925           37.705      38.145     61.4874     2.74687    0.392837   0.0110476  
    1      3  438.372    0.917818           32.975           32.755      33.195     70.5845      3.0315    0.433549  0.00110277  
    1      3  419.373    0.754696           34.185           33.965      34.405     68.4124     2.96391    0.410898  0.000896947  
    1      3  410.126     1.54132           35.395           35.175      35.615     66.2044      2.8949    0.399891  0.00183838  
    1      3  404.387     8.71969           36.605           36.385      36.825      63.964     2.82467    0.393025     0.01042  
    2      0  422.115     9.18066           31.985           31.765      32.205     72.3693      3.0844    0.437192   0.0109176  
    2      0  412.13     4.42754           33.415           33.195      33.635     69.8369      3.0058    0.425351  0.00524527  
    2      0  397.859     1.44459           34.845           34.625      35.065     67.2512     2.92507    0.408532  0.00169513  
    2      0  386.436     9.53834           36.275           36.055      36.495     64.6183     2.84251    0.395202   0.0111216  
    2      1  391.81      8.8338           35.505           35.285      35.725     66.0415     2.88718    0.379954   0.0108193  
    2      1  379.915     1.49156           37.045           36.825      37.265      63.183      2.7974    0.365227   0.0018541  
    2      1  363.62     1.01612           38.585           38.365      38.805       60.28     2.70602      0.3449  0.00126911  
    2      1  352.62     7.18702           40.125           39.905      40.345     57.3399     2.61343    0.331176   0.0089636  
    2      2  357.813     9.69211           40.015           39.795      40.235      57.551     2.62007    0.368498   0.0113849  
    2      2  343.406     0.94208           41.445           41.225      41.665     54.7954     2.53338    0.351606  0.00110724  
    2      2  327.486    0.718486           42.875           42.655      43.095     52.0188     2.44632     0.33275  0.000857192  
    2      2  311.102    0.423393           44.305           44.085      44.525     49.2261     2.35925    0.313076  0.000511031  
    2      3  393.744     8.00841           37.045           36.825      37.265      63.183      2.7974    0.384253  0.00968999  
    2      3  380.728     2.45807           38.475           38.255      38.695     60.4887      2.7126    0.368333  0.00301875  
    2      3  364.979     3.79514           39.905           39.685      40.125     57.7619     2.62671    0.348922  0.00468322  
    2      3  356.231     7.51518           41.335           41.115      41.555     55.0082     2.54006    0.338134  0.00926656  
    3      0  354.596     8.26735           40.895           40.675      41.115     55.8663     2.56648    0.353087   0.0095122  
    3      0  338.78    0.501174           42.435           42.215      42.655     52.8837     2.47279    0.334731  0.000585716  
    3      0  324.208    0.552317           43.975           43.755      44.195     49.8808     2.37898    0.317602  0.000652265  
    3      0  312.766    0.555754           45.515           45.295      45.735     46.8637     2.28546    0.304047  0.000660088  
    3      1  332.6     9.66644           45.075           44.855      45.295     47.7268      2.3121    0.310533   0.0119172  
