*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    6      3  447.89    0.814888           55.965           55.745      56.185     61.4386     1.39339    0.368414  0.000790975  
    6      3  421.636    0.992758           57.175           56.955      57.395     57.1429     1.34269    0.342899  0.000963873  
    6      3  397.886    0.589748           58.385           58.165      58.605     52.9224      1.2927    0.319872  0.000571591  
    7      0  507.084     9.69825           54.095           53.875      54.315     68.2736     1.47167    0.420401  0.00928862  
    7      0  476.087      1.2081           55.525           55.305      55.745     63.0789     1.41089    0.390591  0.00117372  
    7      0  445.849    0.525939           56.955           56.735      57.175     57.9828     1.35066    0.360923  0.000518753  
    7      0  417.286     1.64103           58.385           58.165      58.605     52.9914     1.29136    0.332797  0.00161113  
    7      1  470.31     10.9699           56.405           56.185      56.625     59.9307     1.37374    0.389517   0.0104546  
    7      1  442.52     2.67918           57.945           57.725      58.165     54.5157     1.30949    0.362673  0.00260009  
    7      1  407.016    0.727256           59.485           59.265      59.705     49.2261     1.24664    0.328317  0.00070069  
    7      1  376.752     1.38221           61.025           60.805      61.245     44.0658     1.18585    0.299145  0.00133582  
    7      2  386.744     12.1149           60.695           60.475      60.915     45.1606     1.19866    0.287463   0.0114335  
    7      2  369.639     1.05852           61.905           61.685      62.125     41.1753     1.15235    0.271435  0.000990245  
    7      2  339.169     3.67267           63.115           62.895      63.335     37.2689     1.10823    0.242808  0.00347534  
    7      2  317.061     1.30102           64.325           64.105      64.545     33.4377     1.06704    0.221737  0.00124525  
    7      3  395.767     10.1757           58.495           58.275      58.715     52.6119     1.28684    0.337425   0.0102188  
    7      3  374.241     0.77397           59.595           59.375      59.815     48.8532     1.24222    0.315572  0.000788393  
    7      3  355.357     1.32673           60.695           60.475      60.915     45.1606     1.19866    0.296362  0.00134554  
    7      3  330.661     1.63719           61.795           61.575      62.015     41.5343     1.15647    0.271452  0.00164694  
    8      2  201.856    0.512014           69.715           69.495      69.935     16.4999    0.990048      0.1115  0.000463828  
    8      2  179.879     0.44143           70.705           70.485      70.925     13.3196     1.02585   0.0915903  0.000399886  
    8      2  156.389    0.496549           71.695           71.475      71.915     9.91413     1.12078   0.0703113  0.000449817  
    8      2  129.027    0.804381           72.685           72.465      72.905     5.95707     1.47868   0.0455244  0.000728679  
    8      3  185.37    0.418661           70.045           69.825      70.265     15.4551    0.997815    0.101585  0.000414926  
    8      3  167.339    0.391689           71.035           70.815      71.255      12.219     1.04853   0.0837151  0.000388195  
    8      3  144.637    0.368075           72.025           71.805      72.245      8.6905     1.18653   0.0612164  0.000364792  
    8      3  119.313     1.20828           73.015           72.795      73.235     4.30342     1.93722   0.0361177  0.00119751  
    9      2  210.99    0.874606           69.935           69.715      70.155     15.8106    0.994547    0.101497  0.00078581  
