*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    8      0  639.811      10.764           65.425           65.205      65.645     76.7661     1.53972    0.484344  0.00926954  
    8      0  594.117      9.6867           66.415           66.195      66.635     70.4365     1.48503    0.444992  0.00833329  
    8      0  558.089     10.2029           67.405           67.185      67.625      64.313     1.43099    0.414106  0.00872692  
    8      0  519.676     11.1013           68.395           68.175      68.615     58.3938     1.37803    0.381417  0.00942051  
    8      2  448.961     15.8441           70.045           69.825      70.265     48.9727     1.29323    0.339097   0.0145776  
    8      2  413.495    0.984418           71.255           71.035      71.475     42.4015     1.23549    0.306845  0.000895033  
    8      2  365.716     5.16842           72.465           72.245      72.685     36.0928     1.18375    0.262776  0.00483757  
    8      2  322.716     1.59073           73.675           73.455      73.895     30.0097     1.14212    0.222035   0.0014969  
    8      3  394.308      7.8657           70.375           70.155      70.595     47.1531     1.27703    0.311139   0.0079683  
    8      3  362.191     7.62364           71.585           71.365      71.805     40.6562     1.22064    0.278445  0.00778114  
    8      3  326.628     3.21362           72.795           72.575      73.015     34.4134     1.17121    0.242556  0.00319135  
    8      3  289.014     2.04512           74.005           73.785      74.225     28.3823     1.13335    0.205249  0.00206378  
    9      2  479.902     1.38071           70.045           69.825      70.265     48.9751     1.29318    0.336464   0.0012031  
    9      2  432.693     12.6516           71.255           71.035      71.475     42.4042     1.23543    0.295387   0.0109836  
    9      2  390.08     6.31824           72.465           72.245      72.685     36.0958     1.18367    0.258441  0.00549876  
    9      2  344.535     4.00397           73.675           73.455      73.895     30.0132     1.14201    0.218437  0.00350253  
    9      3  449.485     1.52812           70.045           69.825      70.265     48.9751     1.29318    0.355228  0.00150352  
    9      3  409.436     8.66646           71.145           70.925      71.365     42.9903     1.24045     0.31577  0.00851727  
    9      3  373.606     8.83643           72.245           72.025      72.465     37.2246      1.1925    0.281201  0.00841965  
    9      3  330.648      2.1446           73.345           73.125      73.565     31.6527     1.15207    0.239572  0.00214704  
   10      2  468.84     10.2324           71.255           71.035      71.475     42.5767     1.23135    0.327114  0.00899346  
   10      2  418.476     1.76812           72.465           72.245      72.685     36.2917     1.17841    0.282956  0.00154388  
   10      2  376.236      4.5011           73.675           73.455      73.895     30.2401      1.1349    0.245974  0.00396337  
   10      2  331.369     3.03911           74.885           74.665      75.105     24.3615     1.10802    0.206503  0.00264027  
   10      3  412.333     13.6658           70.595           70.375      70.815      46.116     1.26276    0.316144   0.0128911  
   10      3  374.734     11.8039           71.805           71.585      72.025     39.6884     1.20643    0.281177   0.0108744  
   10      3  334.198     3.47622           73.015           72.795      73.235     33.5149     1.15717    0.243945  0.00321573  
   10      3  296.519     1.27768           74.225           74.005      74.445     27.5517     1.11994    0.208593  0.00121283  
   11      0  569.148     10.7253           67.295           67.075      67.515     65.0709     1.43543    0.419363  0.00948404  
   11      0  527.156     16.9857           68.505           68.285      68.725     57.8447     1.37039    0.382081   0.0151565  
   11      0  487.614     14.6149           69.715           69.495      69.935     50.9196     1.30754    0.346457   0.0131956  
   11      0  445.76     15.9521           70.925           70.705      71.145      44.285     1.24802    0.308723   0.0143637  
   11      1  490.229     9.33652           68.395           68.175      68.615      58.489     1.37625    0.399623  0.00915654  
   11      1  455.302      10.665           69.495           69.275      69.715     52.1567     1.31879    0.365294   0.0104935  
   11      1  414.277     8.82637           70.595           70.375      70.815     46.0665     1.26386    0.324868  0.00869946  
   11      1  375.314     8.67236           71.695           71.475      71.915     40.2066     1.21264    0.286631  0.00847504  
   11      2  387.147     15.8791           73.565           73.345      73.785     30.7136     1.14039    0.228866   0.0128205  
   11      2  348.53     1.53852           74.775           74.555      74.995     24.8102      1.1125    0.197618  0.00125026  
   11      2  299.989       1.161           75.985           75.765      76.205      18.971     1.11762    0.158463  0.000929787  
   11      2  244.608     2.38968           77.195           76.975      77.415     12.9343     1.21178    0.114362  0.00190514  
   11      3  363.138     8.75562           72.685           72.465      72.905      35.114     1.17139    0.257644  0.00805769  
   11      3  326.354     9.85382           73.895           73.675      74.115     29.0894     1.13076    0.223192   0.0092246  
   11      3  275.873     1.04235           75.105           74.885      75.325     23.2182      1.1095     0.17848  0.00105931  
   11      3  240.154     12.3717           76.315           76.095      76.535     17.3622     1.12989    0.145681   0.0111168  
