*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    2      2  657.444     7.90374           41.445           41.225      41.665     117.147     1.84156     0.72655  0.00932221  
    2      2  637.286     6.48179           42.545           42.325      42.765       112.8     1.80546    0.702902  0.00760989  
    2      2  619.923     6.40266           43.645           43.425      43.865     108.454     1.76839    0.682276  0.00766265  
    2      2  596.7     8.39702           44.745           44.525      44.965     104.115     1.73043    0.654161   0.0101819  
    3      0  657.667     11.0353           41.995           41.775      42.215     114.979     1.82358    0.708189    0.013078  
    3      0  632.808     9.52131           43.315           43.095      43.535     109.763     1.77955     0.67862   0.0113186  
    3      0    612     9.17294           44.635           44.415      44.855     104.553      1.7342    0.654048    0.010796  
    3      0  583.923     6.99958           45.955           45.735      46.175     99.3608     1.68766    0.621503  0.00805122  
    3      1    575     6.85565           46.725           46.505      46.945     96.3434     1.66002    0.607267  0.00846787  
    3      1  559.353     7.36399           47.935           47.715      48.155     91.6247     1.61598    0.587823  0.00916688  
    3      1  541.222     7.89436           49.145           48.925      49.365       86.94     1.57126    0.565245   0.0098188  
    3      1  522.778     5.74349           50.355           50.135      50.575     82.2962     1.52601    0.542552  0.00701427  
    3      2    396     7.65942           49.255           49.035      49.475     86.5161     1.56717     0.38743  0.00913743  
    3      2  374.818     5.32265           50.795           50.575      51.015      80.619     1.50944    0.361828  0.00646627  
    3      2  357.375     5.63702           52.335           52.115      52.555     74.8021     1.45114    0.340585   0.0068658  
    3      2  338.472     6.52601           53.875           53.655      54.095     69.0774     1.39256    0.317651  0.00789478  
    3      3  597.059     7.10402           45.515           45.295      45.735     101.089     1.70329    0.637902   0.0083159  
    3      3  572.937     6.20259           46.835           46.615      47.055     95.9132     1.65606    0.609914  0.00719004  
    3      3  546.783     6.67544           48.155           47.935      48.375     90.7702     1.60789    0.579174  0.00793809  
    3      3  522.727     7.05293           49.475           49.255      49.695     85.6692     1.55896    0.550398  0.00842313  
    4      0  708.944     6.75748           45.845           45.625      46.065     99.7636     1.69195    0.575207  0.00617422  
    4      0  682.529     7.11351           47.055           46.835      47.275     95.0235     1.64848    0.551112  0.00649622  
    4      0  656.674     7.12585           48.265           48.045      48.485     90.3122     1.60426    0.527303  0.00659779  
    4      0  628.955     7.40379           49.475           49.255      49.695     85.6368     1.55941    0.501481  0.00691147  
    4      1  694.939     6.88406           46.065           45.845      46.285        98.9      1.6841    0.574251  0.00621207  
    4      1  670.323     5.93583           47.055           46.835      47.275     95.0235     1.64848    0.552094    0.005327  
    4      1  648.961     7.20011           48.045           47.825      48.265     91.1663     1.61235    0.533072  0.00638232  
    4      1  628.543     7.34591           49.035           48.815      49.255     87.3324     1.57578    0.515072  0.00646634  
    4      2  556.227      9.6934           51.345           51.125      51.565      78.497     1.48917    0.509173   0.0102007  
    4      2  531.4     8.09399           52.555           52.335      52.775     73.9421     1.44333    0.482801  0.00865986  
    4      2  506.194     7.04327           53.765           53.545      53.985     69.4449     1.39735    0.455519  0.00765702  
    4      2  481.475     5.92658           54.975           54.755      55.195     65.0107      1.3514    0.428599  0.00644972  
    4      3  548.639      6.1084           51.675           51.455      51.895     77.2493     1.47668    0.483801  0.00629003  
