*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    8      2  420.585     10.4785           70.265           70.045      70.485     47.7573     1.28241    0.313285  0.00951179  
    8      2  381.684     10.0279           71.365           71.145      71.585     41.8176     1.23045    0.277663  0.00926353  
    8      2  347.526     2.11397           72.465           72.245      72.685     36.0928     1.18375    0.245599  0.00200865  
    8      2  313.81     4.61422           73.565           73.345      73.785     30.5547     1.14529    0.213734  0.00428161  
    8      3  373.298     9.40153           70.595           70.375      70.815     45.9516     1.26642    0.289781  0.00957642  
    8      3  338.806    0.703748           71.695           71.475      71.915     40.0786     1.21581    0.254716  0.00070805  
    8      3  309.987      1.9916           72.795           72.575      73.015     34.4134     1.17121    0.226133  0.00196342  
    8      3  276.481     1.03026           73.895           73.675      74.115     28.9235     1.13614    0.192406  0.00106574  
    9      2  472.931     1.51593           70.045           69.825      70.265     48.9751     1.29318     0.33039  0.00132107  
    9      2  420.676     15.3356           71.255           71.035      71.475     42.4042     1.23543     0.28498   0.0132856  
    9      2  368.791     2.42073           72.465           72.245      72.685     36.0958     1.18367    0.239774  0.00213348  
    9      2  328.319     1.49867           73.675           73.455      73.895     30.0132     1.14201    0.204436  0.00127829  
    9      3  425.737     2.28626           69.935           69.715      70.155     49.5863     1.29869    0.331813  0.00225617  
    9      3  389.553     13.2292           71.145           70.925      71.365     42.9903     1.24045    0.296436   0.0128251  
    9      3  346.31     1.61663           72.355           72.135      72.575     36.6592     1.18803    0.255054  0.00157085  
    9      3  309.409     2.21679           73.565           73.345      73.785     30.5582     1.14519    0.218276  0.00220224  
   10      2  443.083     2.77729           71.475           71.255      71.695     41.4148     1.22118    0.304485  0.00243689  
   10      2  393.534     1.80161           72.575           72.355      72.795     35.7326     1.17402    0.261165   0.0015769  
   10      2  353.226     1.11256           73.675           73.455      73.895     30.2401      1.1349    0.225651  0.000981741  
   10      2  319.428     1.50101           74.775           74.555      74.995     24.8912     1.10948     0.19623  0.00128152  
   10      3  391.224     10.8867           70.815           70.595      71.035     44.9271     1.25209    0.296394   0.0101524  
   10      3  355.389     2.07466           71.915           71.695      72.135     39.1172     1.20162    0.263447  0.00190084  
   10      3  315.884     1.93433           73.015           72.795      73.235     33.5149     1.15717    0.226873  0.00181339  
   10      3  280.64    0.920968           74.115           73.895      74.335     28.0868     1.12266    0.193449  0.000880135  
   11      2  367.975     11.8178           73.895           73.675      74.115     29.0894     1.13076     0.21338  0.00954942  
   11      2  320.143     2.39888           74.995           74.775      75.215     23.7485     1.11022    0.174751    0.001911  
   11      2  281.315     4.34408           76.095           75.875      76.315     18.4364     1.12098    0.143626  0.00346326  
   11      2  228.392     1.99676           77.195           76.975      77.415     12.9343     1.21178    0.101434  0.00159189  
   11      3  331.467     10.3889           73.235           73.015      73.455     32.3512     1.15124    0.227963  0.00977479  
   11      3  298.453     1.60352           74.225           74.005      74.445      27.477     1.12247    0.198377  0.00134428  
   11      3  268.604      6.7921           75.215           74.995      75.435     22.6882     1.10904    0.171123  0.00686986  
   11      3  223.288      6.6537           76.205           75.985      76.425     17.9003     1.12504    0.130661  0.00592552  
