*telnum  csinum       CsI V        err_CsI V      energy      err_energy
    2      2     0.72655       0.00932221     117.147          1.84156  
    2      2    0.702902       0.00760989       112.8          1.80546  
    2      2    0.682276       0.00766265     108.454          1.76839  
    2      2    0.654161        0.0101819     104.115          1.73043  
    3      0    0.708189         0.013078     114.979          1.82358  
    3      0     0.67862        0.0113186     109.763          1.77955  
    3      0    0.654048         0.010796     104.553           1.7342  
    3      0    0.621503       0.00805122     99.3608          1.68766  
    3      1    0.607267       0.00846787     96.3434          1.66002  
    3      1    0.587823       0.00916688     91.6247          1.61598  
    3      1    0.565245        0.0098188       86.94          1.57126  
    3      1    0.542552       0.00701427     82.2962          1.52601  
    3      2     0.38743       0.00913743     86.5161          1.56717  
    3      2    0.361828       0.00646627      80.619          1.50944  
    3      2    0.340585        0.0068658     74.8021          1.45114  
    3      2    0.317651       0.00789478     69.0774          1.39256  
    3      3    0.637902        0.0083159     101.089          1.70329  
    3      3    0.609914       0.00719004     95.9132          1.65606  
    3      3    0.579174       0.00793809     90.7702          1.60789  
    3      3    0.550398       0.00842313     85.6692          1.55896  
    4      0    0.575207       0.00617422     99.7636          1.69195  
    4      0    0.551112       0.00649622     95.0235          1.64848  
    4      0    0.527303       0.00659779     90.3122          1.60426  
    4      0    0.501481       0.00691147     85.6368          1.55941  
    4      1    0.574251       0.00621207        98.9           1.6841  
    4      1    0.552094         0.005327     95.0235          1.64848  
    4      1    0.533072       0.00638232     91.1663          1.61235  
    4      1    0.515072       0.00646634     87.3324          1.57578  
    4      2    0.509173        0.0102007      78.497          1.48917  
    4      2    0.482801       0.00865986     73.9421          1.44333  
    4      2    0.455519       0.00765702     69.4449          1.39735  
    4      2    0.428599       0.00644972     65.0107           1.3514  
    4      3    0.483801       0.00629003     77.2493          1.47668  
    4      3    0.459652       0.00711401     72.7096           1.4308  
    4      3    0.434418       0.00713441     68.2292          1.38481  
    4      3    0.409605       0.00685251      63.813          1.33888  
    5      0    0.602627       0.00720586     97.1822          1.66825  
    5      0    0.576422       0.00854072     92.4572          1.62435  
    5      0    0.549005       0.00629816     87.7649          1.57976  
    5      0    0.522072        0.0062343     83.1122          1.53461  
    5      1    0.674843         0.011062     94.6013          1.64439  
    5      1     0.64025       0.00945492      89.467          1.59604  
    5      1    0.608803       0.00813087     84.3768          1.54698  
    5      1    0.576882        0.0101096     79.3394          1.49737  
    5      2    0.580307       0.00915879     74.7749          1.45155  
    5      2    0.548062       0.00950856     70.2673          1.40558  
    5      2    0.517451         0.010167     65.8218          1.35959  
    5      2    0.485874       0.00178297     61.4431          1.31378  
    5      3    0.812403        0.0103855     76.4284          1.46823  
    5      3    0.776844        0.0115707     72.3088          1.42647  
    5      3    0.737573       0.00972924     68.2386          1.38466  
    5      3    0.700139       0.00988197     64.2216          1.34289  
    6      0    0.511072       0.00720931     87.3722          1.57524  
    6      0    0.481442       0.00637649     81.8846          1.52175  
    6      0    0.454766        0.0057003     76.4638          1.46771  
    6      0    0.426566       0.00812405     71.1198          1.41336  
    6      1    0.500787       0.00824534     79.7912          1.50102  
    6      1    0.475872       0.00728377     74.8109          1.45101  
    6      1    0.446872       0.00828574     69.8984          1.40079  
    6      1    0.421312       0.00737346     65.0606          1.35058  
    6      2    0.373778       0.00636597     61.0905          1.30891  
    6      2    0.352865      0.000807378     56.4047          1.25934  
    6      2    0.324376      0.000523327     51.8081          1.21053  
    6      2    0.302142       0.00209728     47.3036          1.16284  
    6      3    0.395102       0.00713714     66.2627          1.36312  
    6      3     0.36895       0.00859105     61.4849          1.31307  
    6      3    0.345194      0.000974686     56.7918          1.26345  
    6      3     0.32005       0.00052382     52.1876          1.21455  
    7      0     0.42032        0.0070824      68.738          1.38733  
    7      0    0.391197       0.00086472     63.5255          1.33289  
    7      0    0.364793      0.000578534     58.4104          1.27881  
    7      0    0.334603       0.00694766     53.3987          1.22542  
    7      1    0.382584       0.00686449     58.4104          1.27881  
    7      1    0.355061      0.000976544     53.7804           1.2295  
    7      1    0.331783      0.000401374     49.2422          1.18114  
    7      1    0.301544      0.000580552     44.7977          1.13411  
    7      2    0.288296       0.00648573     43.3371          1.11882  
    7      2    0.262382      0.000729049     38.6611          1.07087  
    7      2    0.236342      0.000633903     34.0892           1.0265  
    7      2    0.207043      0.000584398     29.6094         0.987388  
    7      3    0.340723       0.00644959     52.6372           1.2173  
    7      3    0.315459      0.000660079     48.1222          1.16922  
    7      3    0.290313      0.000579628     43.7013          1.12264  
    7      3    0.264571       0.00154964     39.3736          1.07808  
    8      0    0.202442      0.000574317     32.7973          1.02333  
    8      0    0.181174       0.00036571     28.9919         0.992406  
    8      0    0.158293      0.000512331     25.2287          0.96807  
    8      0    0.133777       0.00060687       21.48          0.95397  
    8      1    0.212182       0.00199298     33.4952          1.02948  
    8      1    0.187533      0.000490622       29.68         0.997617  
    8      1    0.165503      0.000353282     25.9108          0.97182  
    8      1    0.140376      0.000314738     22.1623         0.955451  
    8      2     0.10542      0.000249014      16.649         0.963354  
    8      2   0.0882325       0.00030813      13.419           1.0031  
    8      2   0.0680668      0.000497078     9.94384           1.1045  
    8      2   0.0442699       0.00674755     5.86287          1.48941  
    8      3   0.0964638      0.000617823     15.5892         0.972342  
    8      3   0.0801363      0.000333606     12.6751          1.01842  
    8      3   0.0628241      0.000561327     9.53299          1.12429  
    8      3   0.0402733       0.00112381     5.86287          1.48941  
    9      0    0.203888      0.000523498     33.8481           1.0325  
    9      0    0.179532      0.000621629     30.0282          1.00018  
    9      0    0.158793      0.000791394      26.256         0.973746  
    9      0    0.130333      0.000413253     22.5076         0.956293  
    9      1    0.198308      0.000538833     33.8481           1.0325  
    9      1    0.175149      0.000631489     30.0282          1.00018  
    9      1    0.154848      0.000568376      26.256         0.973746  
    9      1    0.131241      0.000349699     22.5076         0.956293  
    9      2    0.100273      0.000207424     16.6546         0.963084  
    9      2   0.0821441      0.000308493     13.4257          1.00269  
    9      2   0.0616427      0.000392621     9.95218          1.10376  
    9      2   0.0376869        0.0013156     5.87517          1.48651  
    9      3    0.113168      0.000339202     17.3543         0.958887  
    9      3   0.0942875      0.000401438     14.1578         0.990054  
    9      3   0.0729086       0.00041395     10.7575          1.07472  
    9      3   0.0524911       0.00046597     6.88123          1.33671  
   10      0    0.202204       0.00208752     32.3199          1.01169  
   10      0    0.178363       0.00107218     28.5465         0.980528  
   10      0    0.154994      0.000621476     24.8173         0.955855  
   10      0     0.13025      0.000538111     21.1047          0.94139  
   10      1    0.200502      0.000751787      30.598         0.996852  
   10      1    0.177248      0.000439765     26.5084         0.966067  
   10      1    0.150068      0.000348297     22.4553         0.945095  
   10      1    0.121072       0.00039337     18.3887         0.941241  
   10      2   0.0895684      0.000626536     14.5667         0.966978  
   10      2     0.07548      0.000463348      12.017          1.01376  
   10      2   0.0564461      0.000610035      9.2797          1.11127  
   10      2   0.0326185       0.00132761     6.14508          1.39973  
   10      3     0.10107      0.000714918     15.9747         0.952825  
   10      3   0.0878243      0.000543138     13.1264         0.989473  
   10      3   0.0693711       0.00048036     10.0873          1.07373  
   10      3   0.0477061      0.000612912     6.63608          1.33078  
   11      0    0.159335        0.0067231     26.4313         0.968397  
   11      0    0.137848      0.000303037     22.3673         0.948179  
   11      0    0.117095      0.000336011     18.2855         0.945651  
   11      0   0.0934387      0.000424179     14.0834         0.978977  
   11      1    0.143324      0.000659849     23.0441         0.950662  
   11      1    0.124934      0.000804975     18.9703          0.94424  
   11      1    0.102256      0.000305881     14.7994         0.969338  
   11      1   0.0760414       0.00114601     10.3228          1.07266  
