*telnum  csinum       CsI V        err_CsI V      energy      err_energy
    0      0    0.485098       0.00988095     80.0559          3.32256  
    0      0    0.472115         0.011122     78.2771          3.26909  
    0      0     0.46077        0.0112901     76.4546          3.21386  
    0      0     0.44751         0.011519      74.591          3.15694  
    0      1    0.486235         0.011174     80.7546          3.34341  
    0      1    0.482619       0.00871813     79.1721          3.29605  
    0      1    0.466503       0.00149452     77.5532           3.2472  
    0      1    0.478422        0.0356642     75.8997          3.19694  
    0      2    0.458011       0.00130244     72.4969          3.09253  
    0      2    0.439206      0.000967839     70.3599           3.0264  
    0      2    0.437147       0.00115094     68.1837          2.95872  
    0      2    0.420812       0.00851502     65.9718          2.88963  
    0      3     0.44917          0.01192     71.9181          3.07467  
    0      3    0.435916        0.0112947     69.5729          3.00196  
    0      3    0.421989         0.010661     67.1825          2.92747  
    0      3    0.408221        0.0108317     64.7516          2.85143  
    1      0    0.503592          0.01147     80.4321          3.33217  
    1      0    0.485581       0.00207225     78.3035          3.26822  
    1      0    0.480303       0.00255082     76.1121          3.20169  
    1      0    0.462594       0.00467643     73.8623          3.13279  
    1      1    0.479336        0.0112529     78.1233          3.26278  
    1      1    0.465477       0.00821407      75.741          3.19038  
    1      1    0.461587       0.00121942     73.2913          3.11523  
    1      1    0.440043        0.0108798       70.78          3.03757  
    1      2    0.432217        0.0110837     68.2131           2.9577  
    1      2    0.414467        0.0124415      66.002          2.88857  
    1      2    0.404326       0.00278801     63.7589          2.81823  
    1      2    0.392837        0.0110476     61.4874          2.74687  
    1      3    0.433549       0.00110277     70.5845           3.0315  
    1      3    0.410898      0.000896947     68.4124          2.96391  
    1      3    0.399891       0.00183838     66.2044           2.8949  
    1      3    0.393025          0.01042      63.964          2.82467  
    2      0    0.437192        0.0109176     72.3693           3.0844  
    2      0    0.425351       0.00524527     69.8369           3.0058  
    2      0    0.408532       0.00169513     67.2512          2.92507  
    2      0    0.395202        0.0111216     64.6183          2.84251  
    2      1    0.379954        0.0108193     66.0415          2.88718  
    2      1    0.365227        0.0018541      63.183           2.7974  
    2      1      0.3449       0.00126911       60.28          2.70602  
    2      1    0.331176        0.0089636     57.3399          2.61343  
    2      2    0.368498        0.0113849      57.551          2.62007  
    2      2    0.351606       0.00110724     54.7954          2.53338  
    2      2     0.33275      0.000857192     52.0188          2.44632  
    2      2    0.313076      0.000511031     49.2261          2.35925  
    2      3    0.384253       0.00968999      63.183           2.7974  
    2      3    0.368333       0.00301875     60.4887           2.7126  
    2      3    0.348922       0.00468322     57.7619          2.62671  
    2      3    0.338134       0.00926656     55.0082          2.54006  
    3      0    0.353087        0.0095122     55.8663          2.56648  
    3      0    0.334731      0.000585716     52.8837          2.47279  
    3      0    0.317602      0.000652265     49.8808          2.37898  
    3      0    0.304047      0.000660088     46.8637          2.28546  
    3      1    0.310533        0.0119172     47.7268           2.3121  
    3      1    0.294178       0.00073766     44.9192          2.22575  
    3      1    0.278971      0.000780545      42.107          2.14044  
    3      1    0.265083      0.000677392     39.2935           2.0567  
    3      2    0.191098      0.000707573     41.2413          2.11448  
    3      2    0.179431      0.000320942     38.2117          2.02502  
    3      2    0.167199       0.00040655     35.1845          1.93836  
    3      2     0.15447      0.000287687     32.1612          1.85553  
    3      3    0.309591       0.00322551     48.5891          2.33882  
    3      3    0.293735      0.000909704     45.5677          2.24561  
    3      3    0.277269      0.000884151     42.5398          2.15349  
    3      3    0.260234       0.00232198     39.5099          2.06307  
    4      0    0.275288      0.000514879     46.1636          2.26764  
    4      0    0.262742      0.000477012     43.7834          2.19506  
    4      0    0.249192      0.000348153     41.4007          2.12339  
    4      0    0.235411      0.000328912     39.0174          2.05296  
    4      1    0.277869      0.000785884     46.3798          2.27427  
    4      1    0.264956      0.000349872          44          2.20163  
    4      1    0.251998        0.0023412     41.6174          2.12986  
    4      1    0.237084      0.000647937      39.234           2.0593  
    4      2    0.232844      0.000689096      35.336          1.94743  
    4      2    0.220821      0.000366393     32.9563          1.88204  
    4      2     0.20346       0.00065034     30.5782          1.81957  
    4      2    0.190286      0.000715926     28.2004          1.76088  
    4      3    0.227222      0.000374849     35.1196          1.94138  
    4      3    0.213682      0.000461422       32.74          1.87623  
    4      3     0.19847      0.000422706      30.362          1.81407  
    4      3     0.18325      0.000793386     27.9842          1.75576  
    5      0    0.289805      0.000406446      45.744          2.25385  
    5      0    0.277221      0.000299874     43.3638           2.1814  
    5      0    0.263012      0.000438956     40.9815          2.10988  
    5      0    0.247799      0.000303456     38.5989          2.03965  
    5      1    0.323051      0.000520415     44.4461          2.21423  
    5      1    0.309476      0.000551093     41.8479          2.13574  
    5      1    0.291596      0.000722329     39.2486          2.05866  
    5      1    0.271973      0.000458219     36.6502          1.98344  
    5      2    0.264121      0.000754131     33.4054          1.89293  
    5      2    0.245146      0.000679769     30.8121          1.82424  
    5      2    0.225638       0.00101167     28.2194          1.75988  
    5      2    0.203228      0.000986462     25.6238          1.70123  
    5      3    0.378437      0.000782793     34.9192          1.93461  
    5      3    0.356313      0.000677849     32.5407          1.86962  
    5      3    0.330857       0.00102658     30.1639           1.8077  
    5      3    0.304505       0.00114096     27.7871          1.74966  
    6      0    0.242955       0.00121343     40.6062           2.0945  
    6      0    0.227823      0.000556735      37.794          2.01178  
    6      0    0.211131      0.000347483     34.9844          1.93157  
    6      0    0.193383      0.000469711     32.1783           1.8547  
    6      1    0.239872      0.000432305     37.5778          2.00551  
    6      1    0.224668      0.000296959     34.7684          1.92554  
    6      1    0.207209      0.000309571     31.9625          1.84895  
    6      1    0.190317       0.00110057     29.1592          1.77686  
    6      2    0.163581        0.0117702     27.2183          1.73034  
    6      2    0.151609       0.00158585     24.4101          1.66956  
    6      2    0.130245      0.000736087     21.5865          1.61913  
    6      2    0.112291      0.000675775     18.7295           1.5841  
    6      3    0.180285      0.000572472     30.0216          1.79849  
    6      3    0.165491      0.000496017     27.4341          1.73534  
    6      3    0.148666      0.000792267     24.8428          1.67833  
    6      3    0.130102      0.000925292     22.2402          1.62964  
    7      0    0.197208      0.000563383       31.42          1.82673  
    7      0    0.177755      0.000474413     28.4101          1.74986  
    7      0    0.156378      0.000456202     25.3992          1.68031  
    7      0    0.136632      0.000991805     22.3775           1.6211  
    7      1    0.175361        0.0109184     26.4751          1.70416  
    7      1    0.155676      0.000950909     23.4588          1.64079  
    7      1    0.134436      0.000304359     20.4213          1.59071  
    7      1    0.114447      0.000611574     17.3355          1.56143  
    7      2     0.10622      0.000635106     17.1122          1.56047  
    7      2   0.0887518      0.000513225     14.3838          1.56663  
    7      2    0.065563      0.000576703      11.517          1.62666  
    7      2   0.0412258       0.00442077     8.38191          1.81377  
    7      3    0.141109      0.000649874     22.1608          1.61737  
    7      3    0.119166      0.000412571     19.1069          1.57499  
    7      3   0.0960433      0.000488804     15.9872          1.55868  
    7      3   0.0714587      0.000753109     12.7344          1.59183  
