*telnum  csinum       CsI V        err_CsI V      energy      err_energy
    8      0    0.484344       0.00926954     76.7661          1.53972  
    8      0    0.444992       0.00833329     70.4365          1.48503  
    8      0    0.414106       0.00872692      64.313          1.43099  
    8      0    0.381417       0.00942051     58.3938          1.37803  
    8      2    0.339097        0.0145776     48.9727          1.29323  
    8      2    0.306845      0.000895033     42.4015          1.23549  
    8      2    0.262776       0.00483757     36.0928          1.18375  
    8      2    0.222035        0.0014969     30.0097          1.14212  
    8      3    0.311139        0.0079683     47.1531          1.27703  
    8      3    0.278445       0.00778114     40.6562          1.22064  
    8      3    0.242556       0.00319135     34.4134          1.17121  
    8      3    0.205249       0.00206378     28.3823          1.13335  
    9      2    0.336464        0.0012031     48.9751          1.29318  
    9      2    0.295387        0.0109836     42.4042          1.23543  
    9      2    0.258441       0.00549876     36.0958          1.18367  
    9      2    0.218437       0.00350253     30.0132          1.14201  
    9      3    0.355228       0.00150352     48.9751          1.29318  
    9      3     0.31577       0.00851727     42.9903          1.24045  
    9      3    0.281201       0.00841965     37.2246           1.1925  
    9      3    0.239572       0.00214704     31.6527          1.15207  
   10      2    0.327114       0.00899346     42.5767          1.23135  
   10      2    0.282956       0.00154388     36.2917          1.17841  
   10      2    0.245974       0.00396337     30.2401           1.1349  
   10      2    0.206503       0.00264027     24.3615          1.10802  
   10      3    0.316144        0.0128911      46.116          1.26276  
   10      3    0.281177        0.0108744     39.6884          1.20643  
   10      3    0.243945       0.00321573     33.5149          1.15717  
   10      3    0.208593       0.00121283     27.5517          1.11994  
   11      0    0.419363       0.00948404     65.0709          1.43543  
   11      0    0.382081        0.0151565     57.8447          1.37039  
   11      0    0.346457        0.0131956     50.9196          1.30754  
   11      0    0.308723        0.0143637      44.285          1.24802  
   11      1    0.399623       0.00915654      58.489          1.37625  
   11      1    0.365294        0.0104935     52.1567          1.31879  
   11      1    0.324868       0.00869946     46.0665          1.26386  
   11      1    0.286631       0.00847504     40.2066          1.21264  
   11      2    0.228866        0.0128205     30.7136          1.14039  
   11      2    0.197618       0.00125026     24.8102           1.1125  
   11      2    0.158463      0.000929787      18.971          1.11762  
   11      2    0.114362       0.00190514     12.9343          1.21178  
   11      3    0.257644       0.00805769      35.114          1.17139  
   11      3    0.223192        0.0092246     29.0894          1.13076  
   11      3     0.17848       0.00105931     23.2182           1.1095  
   11      3    0.145681        0.0111168     17.3622          1.12989  
