*telnum  csinum       CsI V        err_CsI V      energy      err_energy
    2      2    0.734006       0.00929786     117.253          2.03301  
    2      2    0.705622        0.0116945     112.952          1.99029  
    2      2    0.684232        0.0102071     108.649          1.94661  
    2      2    0.666021        0.0114791     104.351          1.90208  
    3      3    0.623815       0.00897745     98.3564          1.83841  
    3      3    0.595577        0.0100872     93.2415          1.78289  
    3      3    0.569905       0.00928903     88.1618          1.72664  
    3      3    0.539669       0.00682041     83.1262          1.66985  
    4      2    0.506706       0.00956413     76.4598          1.59414  
    4      2    0.484303       0.00108682     72.3697          1.54641  
    4      2     0.45984       0.00800565     68.3272          1.49871  
    4      2    0.437589       0.00881297     64.3363          1.45123  
    4      3    0.496764       0.00799488     77.2832          1.60369  
    4      3    0.474023       0.00829304     72.7766          1.55118  
    4      3    0.446467       0.00219786     68.3272          1.49871  
    4      3     0.42205       0.00127164     63.9401           1.4465  
    5      0    0.606571       0.00937903     96.6256           1.8203  
    5      0    0.582168        0.0100611     91.9446          1.76923  
    5      0    0.558617       0.00769547      87.295          1.71756  
    5      0    0.529093       0.00884647     82.6836          1.66548  
    5      1     0.67627       0.00914985     92.7936          1.77857  
    5      1    0.644142        0.0096746     88.1378            1.727  
    5      1     0.61714       0.00887266     83.5189          1.67498  
    5      1    0.590468        0.0124068     78.9436          1.62264  
    5      2    0.580047       0.00826318     72.3787          1.54626  
    5      2     0.54759       0.00190397     67.9352          1.49379  
    5      2    0.519144      0.000686162     63.5546          1.44158  
    5      2    0.486772       0.00137163     59.2411          1.38984  
    5      3    0.820271        0.0132784     74.4179          1.57013  
    5      3    0.781855        0.0128029     70.3515          1.52239  
    5      3    0.737095         0.001619     66.3347          1.47477  
    5      3     0.69971       0.00202904     62.3713          1.42742  
    6      0     0.50736       0.00861959     84.3885          1.68397  
    6      0    0.483037        0.0098904     80.2209          1.63641  
    6      0    0.463485        0.0110698      76.093          1.58866  
    6      0    0.442604        0.0125529     72.0093          1.54087  
    6      1    0.496915       0.00918779     77.3269          1.60299  
    6      1    0.473441       0.00858933     72.8223          1.55042  
    6      1    0.448648       0.00807581     68.3752          1.49789  
    6      1    0.420951       0.00871919     63.9906           1.4456  
    6      2     0.38605       0.00860639     60.8437          1.40781  
    6      2    0.362146       0.00295255     56.1932          1.35174  
    6      2    0.334984       0.00128803     51.6301          1.29667  
    6      2    0.312465      0.000598241     47.1571            1.243  
    6      3    0.403183       0.00158269     65.5775          1.46458  
    6      3    0.380222       0.00335138     60.8437          1.40781  
    6      3     0.35413       0.00103469     56.1932          1.35174  
    6      3    0.326703        0.0026049     51.6301          1.29667  
    7      0    0.421854      0.000957666     67.2303          1.48262  
    7      0    0.399158      0.000768506     62.4733          1.42557  
    7      0    0.371814      0.000589628     57.7983          1.36912  
    7      0    0.341084        0.0017024       53.21          1.31352  
    7      1    0.396531        0.0110615     59.3472          1.38787  
    7      1    0.368101      0.000846519     54.3487          1.32733  
    7      1     0.33916      0.000623529      49.455          1.26813  
    7      1    0.311865       0.00106313      44.669          1.21081  
    7      2    0.293544       0.00911026      42.857          1.18938  
