*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    2      2  663.771     7.82774           41.115           40.895      41.335     117.253     2.03301    0.734006  0.00929786  
    2      2  639.6     9.97451           42.215           41.995      42.435     112.952     1.99029    0.705622   0.0116945  
    2      2  621.552     8.56286           43.315           43.095      43.535     108.649     1.94661    0.684232   0.0102071  
    2      2  606.48     9.47924           44.415           44.195      44.635     104.351     1.90208    0.666021   0.0114791  
    3      3  584.933     7.73793           45.955           45.735      46.175     98.3564     1.83841    0.623815  0.00897745  
    3      3  560.64     8.63889           47.275           47.055      47.495     93.2415     1.78289    0.595577   0.0100872  
    3      3  539.032     7.76744           48.595           48.375      48.815     88.1618     1.72664    0.569905  0.00928903  
    3      3  513.671     5.76927           49.915           49.695      50.135     83.1262     1.66985    0.539669  0.00682041  
    4      2  553.886      9.0841           51.675           51.455      51.895     76.4598     1.59414    0.506706  0.00956413  
    4      2  532.8     1.01379           52.775           52.555      52.995     72.3697     1.54641    0.484303  0.00108682  
    4      2  510.166     7.37527           53.875           53.655      54.095     68.3272     1.49871     0.45984  0.00800565  
    4      2  489.733      8.0884           54.975           54.755      55.195     64.3363     1.45123    0.437589  0.00881297  
    4      3  561.22      7.7472           51.455           51.235      51.675     77.2832     1.60369    0.496764  0.00799488  
    4      3  539.133     8.06281           52.665           52.445      52.885     72.7766     1.55118    0.474023  0.00829304  
    4      3  512.36     2.13118           53.875           53.655      54.095     68.3272     1.49871    0.446467  0.00219786  
    4      3  488.738     1.23051           55.085           54.865      55.305     63.9401      1.4465     0.42205  0.00127164  
    5      0  681.6     9.44295           46.395           46.175      46.615     96.6256      1.8203    0.606571  0.00937903  
    5      0  656.784     10.2877           47.605           47.385      47.825     91.9446     1.76923    0.582168   0.0100611  
    5      0  632.509     7.94269           48.815           48.595      49.035      87.295     1.71756    0.558617  0.00769547  
    5      0  602.28      8.9952           50.025           49.805      50.245     82.6836     1.66548    0.529093  0.00884647  
    5      1    774         9.6           47.385           47.165      47.605     92.7936     1.77857     0.67627  0.00914985  
    5      1  740.123     10.2112           48.595           48.375      48.815     88.1378       1.727    0.644142   0.0096746  
    5      1  711.704     9.32148           49.805           49.585      50.025     83.5189     1.67498     0.61714  0.00887266  
    5      1  683.788     12.9652           51.015           50.795      51.235     78.9436     1.62264    0.590468   0.0124068  
    5      2  628.08     8.06873           52.775           52.555      52.995     72.3787     1.54626    0.580047  0.00826318  
    5      2  596.248     1.88392           53.985           53.765      54.205     67.9352     1.49379     0.54759  0.00190397  
    5      2  567.729    0.692654           55.195           54.975      55.415     63.5546     1.44158    0.519144  0.000686162  
    5      2  535.338     1.35112           56.405           56.185      56.625     59.2411     1.38984    0.486772  0.00137163  
    5      3  974.7     14.7916           52.225           52.005      52.445     74.4179     1.57013    0.820271   0.0132784  
    5      3  931.8      14.245           53.325           53.105      53.545     70.3515     1.52239    0.781855   0.0128029  
    5      3  882.604     1.77323           54.425           54.205      54.645     66.3347     1.47477    0.737095    0.001619  
    5      3  841.631     2.22389           55.525           55.305      55.745     62.3713     1.42742     0.69971  0.00202904  
    6      0  569.883     8.74138           49.585           49.365      49.805     84.3885     1.68397     0.50736  0.00861959  
    6      0  545.172     10.0701           50.685           50.465      50.905     80.2209     1.63641    0.483037   0.0098904  
    6      0  525.2     11.3137           51.785           51.565      52.005      76.093     1.58866    0.463485   0.0110698  
    6      0  503.897     12.7944           52.885           52.665      53.105     72.0093     1.54087    0.442604   0.0125529  
    6      1  551.4     9.39696           51.455           51.235      51.675     77.3269     1.60299    0.496915  0.00918779  
    6      1  527.707     8.62055           52.665           52.445      52.885     72.8223     1.55042    0.473441  0.00858933  
    6      1  502.947     8.06127           53.875           53.655      54.095     68.3752     1.49789    0.448648  0.00807581  
    6      1  475.164     8.76597           55.085           54.865      55.305     63.9906      1.4456    0.420951  0.00871919  
    6      2  468.8     9.20497           55.965           55.745      56.185     60.8437     1.40781     0.38605  0.00860639  
