*telnum  csinum       CsI V        err_CsI V      energy      err_energy
    7      2   0.0747802      0.000683566     10.9445          1.50202  
    7      2   0.0462942       0.00111935     7.36361          1.77542  
    7      3     0.13882      0.000463195     20.9106          1.44009  
    7      3    0.121737      0.000401112     18.0281          1.41554  
    7      3    0.101981      0.000322811     15.0664          1.41691  
    7      3   0.0822193       0.00089584     11.9531          1.46886  
    8      0   0.0469813       0.00033137     8.67499           1.6894  
    8      0   0.0363824        0.0015521     7.17467          1.87357  
    8      0   0.0265851      0.000491266     5.48725          2.28423  
    8      1   0.0452579      0.000619795      9.5185          1.62154  
    8      1   0.0339426      0.000714536     7.79174          1.78526  
    8      1   0.0259908       0.00172833     5.84601          2.16531  
    9      0   0.0403701      0.000553683     9.52709          1.62025  
    9      0   0.0253789      0.000745037     7.80171          1.78316  
    9      0   0.0106203       0.00137423     5.85833          2.16044  
    9      1   0.0474972      0.000445389     9.52709          1.62025  
    9      1   0.0351366      0.000681326     7.80171          1.78316  
    9      1    0.023715       0.00268587     5.85833          2.16044  
   10      0   0.0447497       0.00101865     9.26674          1.59361  
   10      0   0.0344747        0.0014372     7.55203          1.75967  
   10      0    0.025778      0.000732321     5.61312          2.15558  
   10      1   0.0334114       0.00303784     7.84978          1.72301  
   10      1   0.0239223      0.000861287     6.29469          1.97435  
   10      1    0.019732      0.000642278     4.48874          2.70187  
