      *tel    numcsi               AZ2/E               Leff
         0         0            0.395831          0.00840257
         0         0            0.268778          0.00788252
         0         0            0.203469          0.00705217
         0         0            0.163693          0.00661917
         0         0            0.136926          0.00656025
         0         0            0.117683           0.0065523
         0         0            0.103182          0.00655255
         0         0           0.0918624           0.0064801
         0         0            0.082781          0.00631899
         0         0           0.0753336          0.00621461
         0         0           0.0691157          0.00624764
         0         0           0.0638459          0.00633687
         0         0           0.0593228          0.00635443
         0         0           0.0553981          0.00630556
         0         0           0.0519605          0.00622187
         0         0           0.0489247          0.00611083
         0         0            0.046224          0.00606109
         0         0           0.0438058          0.00611128
         0         0           0.0416281          0.00620495
         0         0           0.0396566          0.00625236
         0         1            0.333035          0.00742475
         0         1            0.234126          0.00707521
         0         1            0.180515           0.0064587
         0         1            0.146881          0.00619553
         0         1            0.123812          0.00638369
         0         1            0.107006          0.00650865
         0         1           0.0942173          0.00638359
         0         1            0.084159          0.00626086
         0         1           0.0760411          0.00633938
         0         1           0.0693515          0.00648345
         0         1           0.0637438          0.00644858
         0         1           0.0589751          0.00628741
         0         1           0.0548702           0.0062365
         0         1           0.0512996          0.00630751
         0         1           0.0481653          0.00633217
         0         1           0.0453919          0.00626145
         0         1           0.0429205          0.00619138
         0         1           0.0407044          0.00619339
         0         1           0.0387058          0.00623737
         0         1           0.0368944          0.00626035
         0         2            0.435072          0.00763564
         0         2            0.284468          0.00739151
         0         2            0.211318          0.00695283
         0         2            0.168093          0.00669151
         0         2            0.139549           0.0066727
         0         2            0.119292          0.00671167
         0         2             0.10417          0.00674298
         0         2           0.0924508          0.00673353
         0         2           0.0831018          0.00665746
         0         2             0.07547          0.00657249
         0         2            0.069122          0.00658432
         0         2           0.0637591           0.0066595
         0         2           0.0591684          0.00664765
         0         2           0.0551944          0.00654533
         0         2           0.0517206          0.00652048
         0         2           0.0486582          0.00662308
         0         2           0.0459382          0.00669646
         0         2           0.0435061          0.00662162
         0         2           0.0413187          0.00646972
         0         2           0.0393407          0.00639133
         0         3             0.19789          0.00720446
         0         3            0.157302          0.00699718
         0         3            0.130529          0.00662712
         0         3            0.111545          0.00646565
         0         3           0.0973815          0.00658071
         0         3           0.0864096           0.0066404
         0         3           0.0776597          0.00651137
         0         3            0.070519          0.00640563
         0         3           0.0645808          0.00648398
         0         3            0.059565          0.00660134
