      *tel    numcsi         Z         A               AZ2/E               Leff
         0         0         1         2            0.279419          0.00774538
         0         0         1         2            0.143127          0.00691294
         0         0         1         2           0.0962027          0.00656951
         0         0         1         2           0.0724499          0.00648659
         0         0         1         2           0.0581038          0.00634433
         0         0         1         2           0.0485001          0.00606699
         0         0         1         2           0.0416208          0.00617339
         0         0         1         2           0.0364506          0.00613354
         0         0         1         2            0.032423          0.00591206
         0         0         1         2           0.0291969          0.00586408
         0         0         1         2           0.0265547          0.00597319
         0         0         1         2            0.024351          0.00585736
         0         0         1         2            0.022485          0.00565061
         0         0         1         2           0.0208847          0.00572991
         0         0         1         2            0.019497          0.00565054
         0         0         1         2           0.0182823          0.00546846
         0         0         1         2             0.01721          0.00560554
         0         0         1         2           0.0162565          0.00559204
         0         0         1         2           0.0154032          0.00539614
         0         0         1         2            0.014635           0.0052886
         0         1         1         2             0.32071          0.00726009
         0         1         1         2            0.148994          0.00733078
         0         1         1         2           0.0970374          0.00612756
         0         1         1         2           0.0719481          0.00662416
         0         1         1         2           0.0571673          0.00622097
         0         1         1         2           0.0474245          0.00640103
         0         1         1         2           0.0405191          0.00631152
         0         1         1         2            0.035369          0.00607473
         0         1         1         2           0.0313805           0.0062172
         0         1         1         2           0.0282003           0.0060066
         0         1         1         2           0.0256054          0.00600515
         0         1         1         2           0.0234479          0.00605827
         0         1         1         2           0.0216256          0.00590096
         0         1         1         2           0.0200662          0.00575702
         0         1         1         2           0.0187166          0.00586699
         0         1         1         2            0.017537          0.00583165
         0         1         1         2           0.0164973          0.00559068
         0         1         1         2            0.015574          0.00564846
         0         1         1         2           0.0147486          0.00558897
         0         1         1         2           0.0140063          0.00547277
         0         2         1         2            0.291831          0.00742265
         0         2         1         2            0.146905          0.00702303
         0         2         1         2           0.0981585          0.00673501
         0         2         1         2           0.0737024          0.00685848
         0         2         1         2            0.059002          0.00671571
         0         2         1         2           0.0491907          0.00650177
         0         2         1         2           0.0421771          0.00664603
         0         2         1         2            0.036914          0.00637253
         0         2         1         2           0.0328186          0.00647986
         0         2         1         2           0.0295413          0.00648417
         0         2         1         2            0.026859          0.00622472
         0         2         1         2           0.0246233           0.0062385
         0         2         1         2           0.0227312           0.0062512
