      *tel    numcsi               AZ2/E               Leff
         0         0            0.269982          0.00817808
         0         0            0.187853          0.00770739
         0         0            0.144037          0.00694832
         0         0            0.116795          0.00656186
         0         0           0.0982188          0.00653277
         0         0           0.0847407          0.00653073
         0         0           0.0745153          0.00651372
         0         0            0.066492          0.00645551
         0         0           0.0600285          0.00635159
         0         0           0.0547103          0.00623935
         0         0           0.0502577          0.00613638
         0         0           0.0464753          0.00607681
         0         0           0.0432224          0.00610388
         0         0            0.040395          0.00618261
         0         0           0.0379149          0.00618247
         0         0           0.0357217          0.00609551
         0         0           0.0337683          0.00599855
         0         0           0.0320175          0.00591969
         0         0           0.0304393          0.00586312
         0         0           0.0290094          0.00583482
         0         1            0.214869          0.00729385
         0         1            0.157345          0.00702606
         0         1            0.124117          0.00655491
         0         1            0.102476          0.00636105
         0         1           0.0872617          0.00651354
         0         1           0.0759807          0.00657911
         0         1           0.0672826          0.00641683
         0         1           0.0603714          0.00626839
         0         1           0.0547478          0.00627811
         0         1           0.0500826          0.00635814
         0         1             0.04615          0.00639571
         0         1           0.0427901          0.00638078
         0         1           0.0398862           0.0062855
         0         1           0.0373513          0.00612928
         0         1           0.0351195          0.00607677
         0         1           0.0331393          0.00615986
         0         1           0.0313704           0.0062147
         0         1           0.0297809          0.00614699
         0         1           0.0283446          0.00602203
         0         1           0.0270406          0.00595833
         0         2            0.277808          0.00772513
         0         2            0.191339          0.00744975
         0         2            0.145921          0.00695947
         0         2            0.117929          0.00669357
         0         2           0.0989471           0.0067234
         0         2           0.0852289          0.00680809
         0         2           0.0748514          0.00686685
         0         2           0.0667267          0.00684485
         0         2           0.0601931          0.00670926
         0         2           0.0548248          0.00656565
         0         2           0.0503357          0.00655032
         0         2           0.0465261          0.00661188
         0         2           0.0432526          0.00659916
         0         2           0.0404094          0.00651439
         0         2            0.037917          0.00645007
         0         2           0.0357142          0.00642561
         0         2           0.0337532          0.00642815
         0         2           0.0319964          0.00645032
         0         2           0.0304134          0.00647994
         0         2           0.0289797          0.00649498
         0         3            0.128842          0.00718059
         0         3             0.10505          0.00701058
         0         3           0.0886759          0.00670984
         0         3           0.0767176          0.00658233
         0         3           0.0676013          0.00666857
         0         3           0.0604215          0.00665853
         0         3           0.0546204          0.00646164
         0         3           0.0498356           0.0063169
         0         3           0.0458216          0.00635095
         0         3            0.042406          0.00644258
         0         3           0.0394643          0.00645859
         0         3           0.0369043          0.00640171
         0         3           0.0346561          0.00627901
         0         3           0.0326662          0.00611552
         0         3           0.0308923          0.00607471
         0         3           0.0293012          0.00618163
         0         3            0.027866          0.00623921
         0         3           0.0265647          0.00614491
         0         3           0.0253796          0.00598388
         0         3           0.0242958          0.00590212
         1         0            0.366296          0.00870002
         1         0            0.232504          0.00819462
         1         0              0.1703          0.00737593
         1         0            0.134355          0.00696368
         1         0            0.110939          0.00692315
         1         0           0.0944741          0.00680943
         1         0           0.0822647          0.00659711
         1         0           0.0728499          0.00650459
         1         0           0.0653687          0.00657641
         1         0            0.059281          0.00661633
         1         0           0.0542306          0.00652471
         1         0           0.0499731          0.00639291
