      *tel    numcsi         Z         A               AZ2/E               Leff
         0         0         4        10             6.36337          0.00353256
         0         0         4        10             4.89295          0.00397408
         0         0         4        10             3.97453          0.00399285
         0         0         4        10              3.3464          0.00444019
         0         0         4        10             2.88972          0.00479479
         0         0         4        10             2.54271           0.0051253
         0         0         4        10             2.27011          0.00530399
         0         0         4        10              2.0503          0.00531575
         0         0         4        10              1.8693          0.00562203
         0         0         4        10             1.71766           0.0056961
         0         0         4        10             1.58878          0.00571625
         0         0         4        10             1.47789          0.00581951
         0         0         4        10             1.38147          0.00597468
         0         0         4        10             1.29686          0.00608036
         0         0         4        10             1.22202          0.00588334
         0         0         4        10             1.15534          0.00622645
         0         0         4        10             1.09557          0.00610248
         0         0         4        10             1.04167          0.00641088
         0         0         4        10            0.992829          0.00642787
         0         0         4        10            0.948362          0.00629386
         0         1         4        10             6.79164          0.00481877
         0         1         4        10             5.09708          0.00465469
         0         1         4        10             4.07928          0.00510563
         0         1         4        10             3.40029          0.00454932
         0         1         4        10             2.91508          0.00512025
         0         1         4        10             2.55106          0.00497687
         0         1         4        10             2.26786          0.00523749
         0         1         4        10             2.04125          0.00542073
         0         1         4        10             1.85582          0.00539004
         0         1         4        10             1.70127          0.00550199
         0         1         4        10             1.57048          0.00569224
         0         1         4        10             1.45837          0.00569307
         0         1         4        10             1.36119          0.00590444
         0         1         4        10             1.27616          0.00600328
         0         1         4        10             1.20113          0.00595153
         0         1         4        10             1.13443          0.00623594
         0         1         4        10             1.07474          0.00635927
         0         1         4        10             1.02103          0.00622471
         0         1         4        10            0.972427          0.00651038
         0         1         4        10            0.928242          0.00642115
         0         2         4        10              6.5406          0.00458448
         0         2         4        10             4.99651          0.00506585
         0         2         4        10             4.04223          0.00489264
         0         2         4        10             3.39401          0.00497991
         0         2         4        10             2.92496          0.00525372
         0         2         4        10             2.56981          0.00534583
         0         2         4        10             2.29157          0.00530253
         0         2         4        10             2.06769          0.00554429
         0         2         4        10             1.88367          0.00553885
         0         2         4        10             1.72972          0.00562205
         0         2         4        10             1.59904          0.00584668
         0         2         4        10             1.48671          0.00589959
         0         2         4        10             1.38913          0.00588224
         0         2         4        10             1.30357          0.00617241
         0         2         4        10             1.22794          0.00610299
         0         2         4        10             1.16061          0.00632923
         0         2         4        10             1.10027          0.00644387
         0         2         4        10              1.0459          0.00626754
         0         2         4        10            0.996647          0.00657967
         0         2         4        10            0.951825           0.0064947
         0         3         4        10             6.22504          0.00429212
         0         3         4        10             4.72526          0.00488671
         0         3         4        10             3.80785           0.0052083
         0         3         4        10             3.18875          0.00514795
         0         3         4        10             2.74281          0.00528352
         0         3         4        10              2.4063          0.00543732
         0         3         4        10             2.14333          0.00541435
         0         3         4        10             1.93218          0.00573947
         0         3         4        10              1.7589          0.00578325
         0         3         4        10             1.61414          0.00570676
         0         3         4        10              1.4914          0.00616683
         0         3         4        10               1.386          0.00598696
         0         3         4        10             1.29452            0.006307
         0         3         4        10             1.21437          0.00617142
         0         3         4        10             1.14356          0.00643626
         0         3         4        10             1.08056           0.0064703
         0         3         4        10             1.02414          0.00645343
         0         3         4        10            0.973312          0.00662781
         0         3         4        10            0.927294          0.00671126
         0         3         4        10            0.885431          0.00698906
         1         0         4        10             7.50206          0.00350896
         1         0         4        10              5.5642          0.00452983
         1         0         4        10             4.42196           0.0040012
         1         0         4        10             3.66882          0.00447161
         1         0         4        10             3.13488          0.00470601
         1         0         4        10             2.73662          0.00495128
         1         0         4        10             2.42814          0.00535498
         1         0         4        10             2.18216          0.00544993
         1         0         4        10             1.98143          0.00564229
         1         0         4        10             1.81452          0.00584684
         1         0         4        10             1.67355          0.00585413
         1         0         4        10              1.5529          0.00602116
         1         0         4        10             1.44848          0.00617659
         1         0         4        10             1.35721          0.00615105
         1         0         4        10             1.27677          0.00623824
         1         0         4        10             1.20533           0.0063899
         1         0         4        10             1.14146           0.0064189
         1         0         4        10             1.08401          0.00642129
         1         0         4        10             1.03208          0.00664699
         1         0         4        10            0.984887          0.00650783
         1         1         4        10             6.48421          0.00512299
         1         1         4        10             5.01728          0.00569768
         1         1         4        10             4.09163          0.00505192
         1         1         4        10             3.45433          0.00522019
         1         1         4        10              2.9888          0.00540569
         1         1         4        10             2.63385          0.00546472
         1         1         4        10             2.35426          0.00538948
         1         1         4        10             2.12833           0.0055708
         1         1         4        10             1.94196          0.00576974
         1         1         4        10             1.78561          0.00569808
         1         1         4        10             1.65256          0.00566861
         1         1         4        10             1.53796          0.00597062
         1         1         4        10             1.43822          0.00591417
         1         1         4        10             1.35063          0.00609279
         1         1         4        10              1.2731          0.00623222
         1         1         4        10             1.20399          0.00620515
         1         1         4        10             1.14199           0.0062405
         1         1         4        10             1.08606          0.00646213
         1         1         4        10             1.03536          0.00637777
         1         1         4        10            0.989182          0.00642983
         1         2         4        10             6.08794          0.00504863
         1         2         4        10             4.72741          0.00518429
         1         2         4        10              3.8639          0.00514018
         1         2         4        10             3.26713          0.00513939
