      *tel    numcsi               AZ2/E               Leff
         0         0            0.925334          0.00715813
         0         0            0.648904          0.00716353
         0         0            0.499643          0.00717377
         0         0            0.406208          0.00718052
         0         0            0.342212          0.00718096
         0         0            0.295636           0.0071719
         0         0             0.26022          0.00715138
         0         0            0.232381          0.00712143
         0         0            0.209924          0.00708461
         0         0            0.191424          0.00704861
         0         0            0.175921          0.00703401
         0         0            0.162741          0.00703648
         0         0            0.151398          0.00702291
         0         0            0.141533          0.00698972
         0         0            0.132875          0.00697736
         0         0            0.125216          0.00700164
         0         0            0.118391          0.00704246
         0         0            0.112272          0.00708125
         0         0            0.106754          0.00711376
         0         0            0.101753          0.00713021
         0         1            0.824443          0.00685848
         0         1            0.590817          0.00687408
         0         1            0.460362          0.00690517
         0         1            0.377097          0.00694867
         0         1            0.319339          0.00700312
         0         1            0.276924          0.00705698
         0         1            0.244455          0.00709673
         0         1            0.218801          0.00712125
         0         1             0.19802          0.00712769
         0         1            0.180844           0.0071208
         0         1             0.16641          0.00712704
         0         1             0.15411          0.00714849
         0         1            0.143503          0.00716011
         0         1            0.134262          0.00715435
         0         1            0.126139          0.00715745
         0         1            0.118943          0.00718581
         0         1            0.112523           0.0072313
         0         1            0.106762          0.00728312
         0         1            0.101561          0.00733303
         0         1           0.0968435          0.00735862
         0         2            0.947587          0.00713063
         0         2            0.659875          0.00714687
         0         2            0.506185          0.00717928
         0         2            0.410562          0.00722548
         0         2            0.345326          0.00728432
         0         2            0.297979          0.00734548
         0         2             0.26205           0.0073952
         0         2            0.233853          0.00743198
         0         2            0.211135          0.00745146
         0         2             0.19244          0.00745684
         0         2            0.176786          0.00747172
         0         2            0.163487          0.00749948
         0         2            0.152049          0.00752052
         0         2            0.142107           0.0075274
         0         2            0.133386          0.00754082
         0         2            0.125673          0.00757642
         0         2            0.118803          0.00762894
         0         2            0.112645          0.00769025
         0         2            0.107094           0.0077507
         0         2            0.102065          0.00778186
         0         3            0.612737          0.00725524
         0         3            0.473547          0.00727817
         0         3            0.385887          0.00732267
         0         3            0.325613          0.00736052
         0         3            0.281624          0.00738042
         0         3            0.248106          0.00738081
         0         3            0.221717          0.00736033
         0         3            0.200403          0.00734386
         0         3            0.182827           0.0073777
         0         3            0.168085          0.00743651
         0         3            0.155544           0.0074201
         0         3            0.144744          0.00733494
         0         3            0.135346          0.00732191
         0         3            0.127094          0.00740995
         0         3            0.119791          0.00747494
         0         3            0.113281          0.00745651
         0         3            0.107443          0.00743904
         0         3            0.102176           0.0075148
         0         3           0.0974023          0.00763988
         0         3           0.0930544          0.00770499
         1         0             1.11816          0.00724471
         1         0            0.746566          0.00730244
         1         0            0.560347          0.00741481
         1         0            0.448481          0.00749684
         1         0            0.373847          0.00751022
         1         0             0.32051          0.00749368
         1         0            0.280492          0.00748093
         1         0            0.249357          0.00746718
         1         0            0.224444           0.0074438
         1         0            0.204057          0.00741611
         1         0            0.187065           0.0074045
         1         0            0.172686          0.00740846
         1         0            0.160359          0.00740709
         1         0            0.149675          0.00739616
         1         0            0.140325          0.00739723
         1         0            0.132075          0.00742096
         1         0            0.124742          0.00745645
         1         0            0.118179          0.00749145
         1         0            0.112273          0.00752186
         1         0            0.106929          0.00753732
         1         1            0.987432          0.00709156
         1         1            0.683254          0.00708225
         1         1            0.522345           0.0070653
         1         1             0.42278          0.00708802
         1         1            0.355094           0.0071721
         1         1             0.30609          0.00725513
         1         1            0.268971          0.00726051
         1         1            0.239881          0.00722545
         1         1             0.21647          0.00725537
         1         1            0.197222          0.00734072
         1         1            0.181117          0.00738114
         1         1            0.167444          0.00736231
         1         1             0.15569          0.00734302
         1         1            0.145479          0.00734495
         1         1            0.136524          0.00736268
         1         1            0.128608          0.00739219
         1         1            0.121559          0.00743078
         1         1            0.115243          0.00747429
         1         1            0.109551           0.0075163
         1         1            0.104395          0.00753793
         1         2            0.825252          0.00731111
         1         2            0.596697          0.00729502
         1         2            0.467282          0.00726434
         1         2            0.383999          0.00725587
         1         2            0.325912          0.00728554
         1         2            0.283089          0.00733369
         1         2            0.250213          0.00737939
         1         2            0.224178          0.00741603
         1         2            0.203051          0.00742789
         1         2            0.185562          0.00741997
         1         2            0.170848          0.00742105
         1         2            0.158295          0.00743401
         1         2            0.147461          0.00744405
         1         2            0.138015          0.00744695
         1         2            0.129706          0.00746323
         1         2            0.122341          0.00750555
         1         2            0.115767          0.00756264
         1         2            0.109864          0.00761951
         1         2            0.104534          0.00766961
         1         2           0.0996966          0.00769517
         1         3             1.02165          0.00691315
         1         3             0.68571          0.00691142
         1         3            0.516029          0.00690916
         1         3            0.413666          0.00695216
         1         3            0.345192           0.0070639
         1         3            0.296167            0.007172
         1         3            0.259336          0.00718356
         1         3            0.230652          0.00714232
         1         3            0.207681          0.00716734
         1         3            0.188872          0.00724314
         1         3            0.173186          0.00724745
         1         3            0.159906          0.00717126
         1         3            0.148518          0.00714748
         1         3            0.138644           0.0072167
         1         3            0.130001          0.00726793
         1         3            0.122372          0.00723248
         1         3            0.115589           0.0071901
         1         3            0.109519          0.00724563
         1         3            0.104054          0.00735861
         1         3           0.0991088          0.00741819
         2         0            0.821789           0.0073633
         2         0            0.597998          0.00729951
         2         0            0.470006          0.00717806
         2         0            0.387143          0.00709804
         2         0            0.329119          0.00709408
         2         0            0.286221          0.00712432
         2         0            0.253217          0.00715457
         2         0            0.227036          0.00718159
         2         0            0.205763          0.00719898
         2         0            0.188134          0.00720836
         2         0            0.173288          0.00721773
         2         0            0.160613          0.00722933
         2         0            0.149667          0.00725796
         2         0            0.140117          0.00730692
         2         0            0.131712          0.00732938
         2         0            0.124259          0.00729803
         2         0            0.117604          0.00727712
         2         0            0.111626          0.00734923
         2         0            0.106226          0.00747355
         2         0            0.101325          0.00753881
         2         1             1.05303           0.0065997
         2         1            0.680679          0.00662972
         2         1            0.502867          0.00668863
         2         1            0.398712           0.0067522
         2         1              0.3303          0.00681035
         2         1            0.281926          0.00682672
         2         1            0.245911          0.00677498
         2         1            0.218056           0.0067103
         2         1            0.195869          0.00670966
         2         1             0.17778          0.00673823
         2         1             0.16275          0.00670155
         2         1            0.150063           0.0066147
         2         1            0.139211          0.00659014
         2         1            0.129822          0.00663881
         2         1             0.12162          0.00665816
         2         1            0.114393          0.00661264
         2         1            0.107977          0.00656979
         2         1            0.102242          0.00658428
         2         1           0.0970853          0.00663068
         2         1            0.092424          0.00665477
         2         2            0.829778          0.00712851
         2         2            0.602895          0.00716301
         2         2            0.473443          0.00723111
         2         2            0.389756          0.00730118
