      *tel    numcsi         Z         A               AZ2/E               Leff
         0         0         3         7             3.77655          0.00460701
         0         0         3         7             2.72889          0.00502973
         0         0         3         7             2.13626          0.00540728
         0         0         3         7             1.75511          0.00577076
         0         0         3         7             1.48938          0.00610885
         0         0         3         7             1.29353          0.00642359
         0         0         3         7              1.1432          0.00633857
         0         0         3         7             1.02418          0.00640541
         0         0         3         7              0.9276          0.00667798
         0         0         3         7            0.847667          0.00668419
         0         0         3         7            0.780417          0.00656848
         0         0         3         7            0.723054          0.00683208
         0         0         3         7            0.673545          0.00689182
         0         0         3         7            0.630383          0.00674127
         0         0         3         7            0.592419          0.00689994
         0         0         3         7            0.558768          0.00690671
         0         0         3         7            0.528734          0.00683268
         0         0         3         7            0.501764          0.00711736
         0         0         3         7            0.477412          0.00707275
         0         0         3         7            0.455315          0.00691729
         0         1         3         7             3.95748          0.00595215
         0         1         3         7              2.7752          0.00562965
         0         1         3         7             2.13683          0.00592336
         0         1         3         7             1.73723          0.00559496
         0         1         3         7             1.46353          0.00611001
         0         1         3         7             1.26434           0.0059065
         0         1         3         7             1.11287          0.00624785
         0         1         3         7            0.993815          0.00635551
         0         1         3         7             0.89777          0.00629738
         0         1         3         7            0.818652          0.00653116
         0         1         3         7             0.75235          0.00656961
         0         1         3         7            0.695983          0.00659343
         0         1         3         7            0.647474          0.00683961
         0         1         3         7            0.605286          0.00682052
         0         1         3         7            0.568259          0.00676316
         0         1         3         7            0.535501          0.00703651
         0         1         3         7            0.506315          0.00706513
         0         1         3         7            0.480145          0.00692373
         0         1         3         7            0.456547          0.00719304
         0         1         3         7            0.435161          0.00705938
         0         2         3         7             3.79529          0.00570088
         0         2         3         7             2.72916          0.00673473
         0         2         3         7             2.13064          0.00588885
         0         2         3         7             1.74743           0.0060228
         0         2         3         7             1.48105          0.00628801
         0         2         3         7             1.28514          0.00629568
         0         2         3         7               1.135          0.00627073
         0         2         3         7             1.01628           0.0065583
         0         2         3         7            0.920038          0.00648298
         0         2         3         7            0.840449            0.006682
         0         2         3         7            0.773534          0.00688378
         0         2         3         7            0.716488          0.00679538
         0         2         3         7            0.667278          0.00684656
         0         2         3         7            0.624394          0.00706214
         0         2         3         7            0.586689          0.00688913
         0         2         3         7            0.553278          0.00722056
         0         2         3         7            0.523468          0.00725277
         0         2         3         7            0.496705           0.0070656
         0         2         3         7            0.472546          0.00739745
         0         2         3         7            0.450628          0.00725349
         0         3         3         7             3.54515          0.00540855
         0         3         3         7             2.53843          0.00617225
         0         3         3         7             1.97702          0.00630383
         0         3         3         7             1.61896          0.00611813
         0         3         3         7             1.37071          0.00641726
         0         3         3         7             1.18847          0.00640969
         0         3         3         7               1.049          0.00647975
         0         3         3         7            0.938832          0.00675751
         0         3         3         7            0.849602          0.00669511
         0         3         3         7            0.775861           0.0067911
         0         3         3         7            0.713899          0.00693769
         0         3         3         7            0.661101          0.00690712
         0         3         3         7            0.615576          0.00708136
         0         3         3         7            0.575916          0.00704426
         0         3         3         7            0.541058          0.00729161
         0         3         3         7            0.510178          0.00717305
         0         3         3         7            0.482633          0.00729087
         0         3         3         7             0.45791           0.0072987
         0         3         3         7            0.435596          0.00744036
         0         3         3         7            0.415356           0.0076666
         1         0         3         7             4.31202           0.0045488
         1         0         3         7             3.02332          0.00554437
         1         0         3         7             2.32767          0.00528276
         1         0         3         7             1.89227          0.00592415
         1         0         3         7             1.59409          0.00603031
         1         0         3         7             1.37709          0.00642583
         1         0         3         7             1.21209          0.00665377
         1         0         3         7              1.0824          0.00665938
         1         0         3         7            0.977779          0.00679544
         1         0         3         7            0.891601          0.00693877
         1         0         3         7            0.819383          0.00680369
         1         0         3         7            0.757988          0.00706841
         1         0         3         7            0.705152          0.00718688
         1         0         3         7            0.659202          0.00700531
         1         0         3         7            0.618874          0.00712937
         1         0         3         7            0.583196          0.00731762
         1         0         3         7            0.551407          0.00721195
         1         0         3         7            0.522905           0.0072515
         1         0         3         7            0.497204          0.00740979
         1         0         3         7            0.473912          0.00724538
         1         1         3         7              3.9326          0.00602867
         1         1         3         7             2.82577          0.00685349
         1         1         3         7             2.20513          0.00598786
         1         1         3         7             1.80803          0.00617526
         1         1         3         7             1.53212          0.00635842
         1         1         3         7             1.32927          0.00635062
         1         1         3         7             1.17386          0.00625604
         1         1         3         7             1.05098          0.00648456
         1         1         3         7            0.951389          0.00663916
         1         1         3         7             0.86904          0.00657055
         1         1         3         7             0.79981          0.00661706
         1         1         3         7            0.740797           0.0068603
         1         1         3         7            0.689894          0.00670296
         1         1         3         7            0.645536          0.00694858
         1         1         3         7            0.606538          0.00705701
         1         1         3         7            0.571983          0.00686955
         1         1         3         7            0.541154          0.00705283
         1         1         3         7            0.513478          0.00722936
         1         1         3         7            0.488494          0.00710208
         1         1         3         7             0.46583          0.00715365
         1         2         3         7             3.60541          0.00606092
         1         2         3         7             2.62177          0.00623921
         1         2         3         7              2.0598          0.00600502
         1         2         3         7             1.69622          0.00625125
         1         2         3         7             1.44174          0.00631689
         1         2         3         7             1.25366          0.00628044
         1         2         3         7             1.10898          0.00657489
         1         2         3         7            0.994244          0.00657501
         1         2         3         7            0.901022          0.00653941
         1         2         3         7            0.823783          0.00683874
         1         2         3         7            0.758741          0.00671204
         1         2         3         7            0.703218          0.00690657
         1         2         3         7            0.655267          0.00710176
         1         2         3         7            0.613438          0.00693971
         1         2         3         7            0.576629          0.00710237
         1         2         3         7            0.543987          0.00709924
         1         2         3         7            0.514843          0.00713721
         1         2         3         7            0.488662          0.00737777
         1         2         3         7            0.465016          0.00727418
         1         2         3         7            0.443552          0.00735606
         1         3         3         7             3.98338           0.0050426
         1         3         3         7             2.81066          0.00627086
         1         3         3         7             2.17139          0.00568058
         1         3         3         7             1.76903          0.00584932
         1         3         3         7             1.49248          0.00587506
         1         3         3         7              1.2907          0.00619501
         1         3         3         7             1.13699           0.0060801
         1         3         3         7             1.01599          0.00633578
         1         3         3         7            0.918265          0.00654049
         1         3         3         7            0.837692          0.00649041
         1         3         3         7            0.770118          0.00656361
         1         3         3         7            0.712633          0.00681014
         1         3         3         7            0.663133          0.00664882
         1         3         3         7            0.620063          0.00694891
         1         3         3         7            0.582247          0.00701515
         1         3         3         7            0.548778          0.00684724
         1         3         3         7            0.518948           0.0071447
         1         3         3         7            0.492193           0.0069803
         1         3         3         7            0.468062          0.00716038
         1         3         3         7            0.446187          0.00735982
         2         0         3         7             4.15846          0.00435765
         2         0         3         7             2.89692           0.0051383
         2         0         3         7             2.22264          0.00575903
         2         0         3         7             1.80298          0.00616173
         2         0         3         7             1.51663          0.00628813
         2         0         3         7             1.30876          0.00615833
         2         0         3         7             1.15101          0.00650016
         2         0         3         7              1.0272          0.00652597
         2         0         3         7            0.927434          0.00642651
         2         0         3         7            0.845333          0.00657314
         2         0         3         7            0.776586          0.00677392
         2         0         3         7             0.71818          0.00671673
         2         0         3         7            0.667945           0.0066848
         2         0         3         7            0.624278          0.00696287
         2         0         3         7             0.58597          0.00675668
         2         0         3         7            0.552092          0.00704498
         2         0         3         7            0.521917          0.00712224
         2         0         3         7            0.494869          0.00696209
         2         0         3         7            0.470487          0.00721034
         2         0         3         7            0.448394          0.00734988
         2         1         3         7             4.58606          0.00433921
