      *tel    numcsi         Z         A               AZ2/E               Leff
         1         3         2         6            0.196523          0.00718716
         1         3         2         6            0.186982           0.0073287
         2         0         2         6             2.16574          0.00640378
         2         0         2         6             1.40262          0.00729579
         2         0         2         6             1.03717          0.00725222
         2         0         2         6            0.822789          0.00719397
         2         0         2         6            0.681852          0.00684944
         2         0         2         6            0.582137          0.00690636
         2         0         2         6            0.507866          0.00699878
         2         0         2         6            0.450403          0.00687615
         2         0         2         6            0.404621          0.00683699
         2         0         2         6            0.367287          0.00708721
         2         0         2         6            0.336261          0.00714684
         2         0         2         6            0.310068          0.00693704
         2         0         2         6            0.287661          0.00719109
         2         0         2         6            0.268275          0.00713401
         2         0         2         6            0.251336          0.00708739
         2         0         2         6            0.236409          0.00734558
         2         0         2         6            0.223156          0.00730878
         2         0         2         6             0.21131          0.00716221
         2         0         2         6            0.200658          0.00740063
         2         0         2         6            0.191029          0.00748096
         2         1         2         6              2.3731          0.00554623
         2         1         2         6             1.44116          0.00663748
         2         1         2         6             1.03479           0.0063551
         2         1         2         6            0.807184          0.00648311
         2         1         2         6            0.661652          0.00653166
         2         1         2         6            0.560581          0.00663199
         2         1         2         6            0.486296          0.00648471
         2         1         2         6            0.429396          0.00669002
         2         1         2         6            0.384416          0.00676963
         2         1         2         6            0.347966          0.00651504
         2         1         2         6             0.31783          0.00681165
         2         1         2         6            0.292497          0.00665035
         2         1         2         6            0.270905          0.00669387
         2         1         2         6            0.252282           0.0068547
         2         1         2         6            0.236054          0.00672319
         2         1         2         6            0.221788          0.00665467
         2         1         2         6            0.209148          0.00684634
         2         1         2         6            0.197871          0.00661114
         2         1         2         6            0.187748          0.00684175
         2         1         2         6             0.17861          0.00693592
         2         2         2         6             2.88589          0.00663786
         2         2         2         6             1.65863          0.00655595
         2         2         2         6             1.16374          0.00673667
         2         2         2         6            0.896305          0.00682599
         2         2         2         6            0.728819          0.00669491
         2         2         2         6            0.614071          0.00681768
         2         2         2         6            0.530541          0.00704711
         2         2         2         6            0.467015          0.00698246
         2         2         2         6            0.417074          0.00692433
         2         2         2         6            0.376783          0.00731377
         2         2         2         6            0.343591          0.00708426
         2         2         2         6            0.315773          0.00733043
         2         2         2         6            0.292122          0.00746462
         2         2         2         6            0.271768          0.00725446
         2         2         2         6            0.254065          0.00740828
         2         2         2         6            0.238527          0.00741684
         2         2         2         6             0.22478          0.00736115
         2         2         2         6            0.212531          0.00761032
         2         2         2         6            0.201549           0.0075186
         2         2         2         6            0.191645          0.00742825
         2         3         2         6             2.40922          0.00589969
         2         3         2         6             1.48909          0.00708871
         2         3         2         6             1.07755          0.00684356
         2         3         2         6            0.844231          0.00695367
         2         3         2         6            0.693968           0.0070388
         2         3         2         6            0.589112          0.00689085
         2         3         2         6            0.511784          0.00678156
         2         3         2         6            0.452401           0.0069606
         2         3         2         6            0.405366          0.00700607
         2         3         2         6             0.36719          0.00683229
         2         3         2         6            0.335586          0.00710544
         2         3         2         6            0.308991          0.00695572
         2         3         2         6            0.286301          0.00702831
         2         3         2         6            0.266716          0.00724712
         2         3         2         6            0.249639          0.00712754
         2         3         2         6            0.234617          0.00703723
         2         3         2         6            0.221301          0.00729626
         2         3         2         6            0.209414          0.00706994
         2         3         2         6             0.19874          0.00727304
         2         3         2         6            0.189101          0.00741831
         3         0         2         6             2.39447          0.00593119
         3         0         2         6             1.50349          0.00669023
         3         0         2         6             1.09576          0.00694852
         3         0         2         6            0.861992          0.00702831
         3         0         2         6            0.710432          0.00714488
         3         0         2         6            0.604198          0.00699032
         3         0         2         6            0.525603          0.00726274
         3         0         2         6            0.465102          0.00716651
         3         0         2         6            0.417091          0.00702163
         3         0         2         6            0.378065          0.00732663
         3         0         2         6            0.345717          0.00740681
         3         0         2         6            0.318468          0.00720299
         3         0         2         6            0.295201          0.00734729
         3         0         2         6            0.275102           0.0074329
         3         0         2         6            0.257566          0.00727776
         3         0         2         6            0.242131          0.00751678
         3         0         2         6            0.228441          0.00752552
         3         0         2         6            0.216217          0.00734291
         3         0         2         6            0.205235          0.00756931
         3         0         2         6            0.195314          0.00767772
         3         1         2         6             2.43405          0.00600747
         3         1         2         6              1.5266          0.00606151
         3         1         2         6             1.11203          0.00622285
         3         1         2         6             0.87453          0.00651302
         3         1         2         6            0.720626           0.0068808
         3         1         2         6            0.612785          0.00694392
         3         1         2         6            0.533019          0.00693204
         3         1         2         6            0.471628          0.00728385
         3         1         2         6            0.422917          0.00736801
         3         1         2         6            0.383327          0.00744467
         3         1         2         6            0.350514          0.00764996
         3         1         2         6            0.322876          0.00765297
         3         1         2         6            0.299278          0.00762048
         3         1         2         6            0.278895          0.00793263
         3         1         2         6            0.261111          0.00781255
         3         1         2         6            0.245459          0.00770894
         3         1         2         6            0.231577          0.00799069
         3         1         2         6            0.219181          0.00773815
         3         1         2         6            0.208045           0.0079333
         3         1         2         6            0.197986          0.00803276
         3         2         2         6             2.12304          0.00445938
         3         2         2         6             1.22711          0.00540648
         3         2         2         6            0.862947          0.00467076
         3         2         2         6            0.665461          0.00485178
         3         2         2         6            0.541531          0.00504673
         3         2         2         6            0.456514          0.00503867
         3         2         2         6            0.394569          0.00505676
         3         2         2         6            0.347426          0.00525412
         3         2         2         6            0.310346          0.00531697
         3         2         2         6            0.280418          0.00518953
         3         2         2         6            0.255754          0.00536668
         3         2         2         6            0.235078          0.00527195
         3         2         2         6            0.217495          0.00527965
         3         2         2         6            0.202359          0.00543324
         3         2         2         6            0.189193          0.00533053
         3         2         2         6            0.177636          0.00525977
         3         2         2         6            0.167409           0.0054028
         3         2         2         6            0.158296          0.00519477
         3         2         2         6            0.150123          0.00534396
         3         2         2         6            0.142753          0.00540182
         3         3         2         6             2.37401          0.00635684
         3         3         2         6              1.5008          0.00667115
         3         3         2         6             1.09722          0.00705583
         3         3         2         6            0.864697          0.00678564
         3         3         2         6            0.713492          0.00715641
         3         3         2         6            0.607298          0.00692742
         3         3         2         6            0.528619          0.00724872
         3         3         2         6            0.467989          0.00730328
         3         3         2         6            0.419835          0.00710144
         3         3         2         6            0.380667          0.00743487
         3         3         2         6            0.348183           0.0075792
         3         3         2         6            0.320808          0.00743319
         3         3         2         6            0.297423          0.00751443
         3         3         2         6            0.277216          0.00765344
         3         3         2         6             0.25958          0.00749685
         3         3         2         6            0.244053           0.0077445
         3         3         2         6             0.23028          0.00778708
         3         3         2         6            0.217978          0.00757194
         3         3         2         6            0.206923          0.00782294
         3         3         2         6            0.196936          0.00788249
         4         0         2         6             3.22425          0.00499335
         4         0         2         6              1.9504          0.00573502
         4         0         2         6             1.39805          0.00615269
         4         0         2         6             1.08951          0.00644313
         4         0         2         6            0.892531           0.0065946
         4         0         2         6            0.755872          0.00659703
         4         0         2         6            0.655506          0.00663037
         4         0         2         6            0.578669          0.00668588
         4         0         2         6            0.517955          0.00672244
         4         0         2         6            0.468772          0.00664251
         4         0         2         6            0.428119          0.00663866
         4         0         2         6            0.393954          0.00687071
         4         0         2         6             0.36484          0.00692359
         4         0         2         6            0.339732          0.00694874
         4         0         2         6            0.317858          0.00699907
         4         0         2         6             0.29863          0.00705588
         4         0         2         6            0.281596          0.00701126
         4         0         2         6              0.2664          0.00695885
         4         0         2         6             0.25276          0.00710857
         4         0         2         6            0.240449          0.00718741
         4         1         2         6             2.99285           0.0046218
         4         1         2         6             1.86298          0.00548832
         4         1         2         6             1.35241          0.00592272
         4         1         2         6              1.0615          0.00644419
         4         1         2         6            0.873584          0.00676785
         4         1         2         6            0.742195          0.00688751
         4         1         2         6            0.645161          0.00680061
         4         1         2         6            0.570566          0.00683348
         4         1         2         6            0.511433          0.00697121
         4         1         2         6            0.463406          0.00697822
         4         1         2         6            0.423625          0.00695031
         4         1         2         6            0.390133          0.00702516
         4         1         2         6             0.36155          0.00702732
         4         1         2         6            0.336869          0.00704877
         4         1         2         6            0.315342          0.00700389
         4         1         2         6            0.296401          0.00689883
         4         1         2         6            0.279607          0.00701108
         4         1         2         6            0.264614          0.00709099
         4         1         2         6            0.251146          0.00705598
         4         1         2         6            0.238984          0.00707058
         4         2         2         6             3.09642          0.00539621
         4         2         2         6             1.86256          0.00679748
         4         2         2         6             1.33184           0.0065698
         4         2         2         6              1.0365          0.00698351
         4         2         2         6            0.848375          0.00699906
         4         2         2         6            0.718047          0.00724816
         4         2         2         6            0.622429          0.00750216
         4         2         2         6            0.549284          0.00748205
         4         2         2         6            0.491523          0.00754586
         4         2         2         6            0.444753          0.00741581
         4         2         2         6            0.406111          0.00750942
         4         2         2         6            0.373647          0.00776354
         4         2         2         6            0.345989          0.00774222
         4         2         2         6            0.322143          0.00757117
         4         2         2         6            0.301373          0.00770906
         4         2         2         6            0.283118          0.00787415
         4         2         2         6            0.266949          0.00780443
         4         2         2         6            0.252527          0.00765551
         4         2         2         6            0.239583          0.00788514
         4         2         2         6            0.227901          0.00796652
         4         3         2         6             2.83896          0.00530442
         4         3         2         6             1.77563          0.00693202
         4         3         2         6             1.29179          0.00650194
         4         3         2         6             1.01517          0.00683094
         4         3         2         6            0.836123          0.00706243
         4         3         2         6            0.710765          0.00700887
         4         3         2         6            0.618096          0.00694503
         4         3         2         6            0.546803          0.00717635
         4         3         2         6            0.490256          0.00728661
         4         3         2         6            0.444309          0.00720104
         4         3         2         6            0.406235          0.00717287
         4         3         2         6            0.374172          0.00744583
         4         3         2         6              0.3468          0.00747826
         4         3         2         6             0.32316          0.00752391
         4         3         2         6            0.302537          0.00752721
         4         3         2         6            0.284388          0.00739474
         4         3         2         6            0.268294          0.00757773
         4         3         2         6            0.253923           0.0076846
         4         3         2         6            0.241014          0.00759637
         4         3         2         6            0.229354          0.00751003
         5         0         2         6             2.63636          0.00595116
         5         0         2         6             1.70394          0.00643527
         5         0         2         6             1.25875          0.00671219
         5         0         2         6            0.997998          0.00697631
         5         0         2         6            0.826739          0.00687668
         5         0         2         6            0.705648          0.00687909
         5         0         2         6            0.615497           0.0069748
         5         0         2         6            0.545772          0.00706802
         5         0         2         6            0.490236          0.00713124
         5         0         2         6            0.444959          0.00707964
         5         0         2         6            0.407338          0.00705796
         5         0         2         6            0.375583          0.00730104
         5         0         2         6            0.348421          0.00736012
         5         0         2         6            0.324922          0.00739198
         5         0         2         6            0.304393          0.00741753
         5         0         2         6            0.286304          0.00729873
         5         0         2         6            0.270244          0.00742033
         5         0         2         6            0.255891          0.00756636
         5         0         2         6            0.242985          0.00755757
         5         0         2         6            0.231318          0.00765559
         5         1         2         6             4.30044          0.00672418
         5         1         2         6             2.42754           0.0068269
         5         1         2         6             1.69107          0.00685864
