      *tel    numcsi               AZ2/E               Leff
         2         1             0.51958          0.00736194
         2         1            0.495379          0.00747561
         2         2             2.97751          0.00546739
         2         2             2.39998          0.00555778
         2         2             2.01009          0.00573855
         2         2             1.72918          0.00596758
         2         2             1.51715          0.00615068
         2         2             1.35145          0.00628721
         2         2             1.21837          0.00643354
         2         2             1.10916          0.00661155
         2         2             1.01791          0.00678816
         2         2            0.940534          0.00691739
         2         2            0.874091          0.00701396
         2         2            0.816417          0.00712524
         2         2            0.765882          0.00725452
         2         2            0.721239           0.0074008
         2         2            0.681513          0.00756136
         2         2            0.645935          0.00771696
         2         2            0.613888           0.0078697
         2         2             0.58487          0.00807093
         2         2            0.558472          0.00831315
         2         2            0.534353          0.00844959
         2         3             4.31128          0.00439951
         2         3             3.11056          0.00456981
         2         3             2.43296          0.00491039
         2         3             1.99777          0.00538125
         2         3             1.69464           0.0057374
         2         3             1.47138          0.00593722
         2         3             1.30011          0.00606685
         2         3             1.16454            0.006205
         2         3             1.05458          0.00634007
         2         3            0.963597          0.00644194
         2         3            0.887064          0.00651948
         2         3            0.821794          0.00662607
         2         3             0.76547          0.00676135
         2         3            0.716372          0.00686085
         2         3            0.673192          0.00692015
         2         3            0.634922          0.00704295
         2         3            0.600769           0.0072511
         2         3            0.570103          0.00748232
         2         3            0.542415          0.00770853
         2         3            0.517292          0.00783272
         3         0             3.08529          0.00489632
         3         0             2.46392          0.00505236
         3         0             2.05088          0.00536444
         3         0             1.75643          0.00577979
         3         0             1.53592          0.00609223
         3         0              1.3646          0.00628208
         3         0             1.22767          0.00641324
         3         0             1.11571          0.00652257
         3         0             1.02246          0.00662384
         3         0            0.943602          0.00674107
         3         0            0.876035          0.00686929
         3         0            0.817497          0.00698948
         3         0            0.766292           0.0070981
         3         0            0.721124          0.00718437
         3         0            0.680984           0.0072559
         3         0            0.645077          0.00738335
         3         0            0.612767          0.00757549
         3         0             0.58354          0.00778292
         3         0            0.556973          0.00798346
         3         0             0.53272          0.00809252
         3         1              3.5561          0.00511526
         3         1             2.73658          0.00520731
         3         1             2.22404          0.00539141
         3         1              1.8732          0.00564377
         3         1             1.61797          0.00588172
         3         1             1.42395          0.00609824
         3         1             1.27148          0.00629955
         3         1             1.14851           0.0064902
         3         1             1.04722          0.00666543
         3         1             0.96235          0.00681257
         3         1            0.890206           0.0069376
         3         1            0.828124          0.00708018
         3         1            0.774137          0.00724177
         3         1            0.726758          0.00737152
         3         1            0.684844          0.00746334
         3         1            0.647501          0.00760644
         3         1             0.61402          0.00782328
         3         1            0.583831          0.00806157
         3         1            0.556471          0.00829496
         3         1            0.531561          0.00842344
         3         2             2.89145          0.00374069
         3         2             2.20966          0.00384619
         3         2             1.78805          0.00405719
         3         2             1.50155          0.00435086
         3         2             1.29418          0.00460746
         3         2             1.13714          0.00480966
         3         2             1.01409          0.00497794
         3         2            0.915065           0.0051332
         3         2            0.833661           0.0052722
         3         2            0.765557          0.00538493
         3         2            0.707739          0.00547553
         3         2            0.658042          0.00557217
         3         2            0.614866          0.00567516
         3         2            0.577007          0.00574844
         3         2             0.54354          0.00579153
         3         2            0.513743          0.00587796
         3         2            0.487042          0.00601998
         3         2             0.46298          0.00616173
         3         2            0.441183          0.00628475
         3         2            0.421347          0.00635027
         3         3             3.39618          0.00486684
         3         3              2.6717          0.00500373
         3         3             2.20198           0.0052775
         3         3             1.87272          0.00566094
         3         3             1.62913            0.005988
         3         3             1.44161          0.00623054
         3         3              1.2928          0.00641832
         3         3             1.17184          0.00659049
         3         3             1.07158          0.00675252
         3         3            0.987121           0.0069282
         3         3            0.915004          0.00711751
         3         3            0.852708          0.00728936
         3         3            0.798353          0.00743576
         3         3            0.750512          0.00756515
         3         3            0.708081          0.00768303
         3         3            0.670191          0.00784166
         3         3             0.63615          0.00806113
         3         3              0.6054          0.00830732
         3         3            0.577486           0.0085571
         3         3            0.552032           0.0086973
         4         0             4.55518          0.00475951
         4         0             3.44722           0.0048464
         4         0             2.77279          0.00502018
         4         0             2.31908           0.0052474
         4         0             1.99297          0.00542828
         4         0             1.74727          0.00555728
         4         0              1.5555          0.00568654
         4         0             1.40166          0.00584465
         4         0             1.27551          0.00601106
         4         0              1.1702          0.00614385
         4         0             1.08095          0.00624716
         4         0             1.00435          0.00634628
         4         0            0.937883          0.00644701
         4         0             0.87967          0.00657109
         4         0            0.828261          0.00671656
         4         0             0.78253          0.00680371
         4         0            0.741584          0.00682172
         4         0             0.70471          0.00691098
         4         0            0.671329          0.00709384
         4         0            0.640968          0.00720514
         4         1             3.80921          0.00422085
         4         1             3.01695          0.00434191
         4         1              2.4975          0.00458404
         4         1             2.13065          0.00493254
         4         1             1.85777          0.00526866
         4         1             1.64685          0.00556647
         4         1             1.47894          0.00581918
         4         1             1.34211          0.00601649
         4         1             1.22845          0.00615947
         4         1             1.13253          0.00625285
         4         1             1.05051          0.00630755
         4         1            0.979571          0.00640513
         4         1            0.917605          0.00655435
         4         1            0.863011          0.00665534
         4         1            0.814549          0.00668646
         4         1            0.771241          0.00673586
         4         1            0.732305          0.00682768
         4         1            0.697111           0.0069269
         4         1            0.665146          0.00701945
         4         1            0.635983          0.00706986
         4         2             4.94337          0.00456715
         4         2              3.6081          0.00471032
         4         2             2.84077          0.00499667
         4         2             2.34258          0.00540902
         4         2             1.99305          0.00577414
         4         2             1.73429          0.00604708
         4         2             1.53499          0.00625674
         4         2             1.37678          0.00646155
         4         2             1.24814          0.00666084
         4         2             1.14148          0.00683989
         4         2             1.05161          0.00699656
         4         2            0.974866          0.00713747
         4         2            0.908558          0.00726477
         4         2            0.850696          0.00737657
         4         2            0.799763          0.00747276
         4         2            0.754584          0.00757204
         4         2            0.714237          0.00768405
         4         2            0.677985            0.007833
         4         2            0.645235          0.00801767
         4         2            0.615504           0.0081254
         4         3             4.69315          0.00427148
         4         3             3.44497          0.00439301
         4         3             2.72124          0.00463605
         4         3              2.2488          0.00498607
         4         3             1.91614          0.00530397
         4         3             1.66921          0.00555505
         4         3             1.47866          0.00576325
         4         3             1.32716          0.00597422
         4         3             1.20382          0.00618027
         4         3             1.10145          0.00632828
         4         3             1.01513          0.00641371
