      *tel    numcsi               AZ2/E               Leff
         0         0             2.29572          0.00564753
         0         0             1.67166          0.00579942
         0         0             1.31437          0.00610321
         0         0             1.08291          0.00644515
         0         0            0.920768          0.00664469
         0         0            0.800856          0.00671765
         0         0            0.708577          0.00676108
         0         0            0.635367          0.00679105
         0         0            0.575869          0.00684123
         0         0            0.526559          0.00692475
         0         0            0.485028          0.00702042
         0         0             0.44957          0.00711064
         0         0            0.418942          0.00720203
         0         0            0.392222          0.00730512
         0         0            0.368705          0.00742648
         0         0            0.347849          0.00758236
         0         0            0.329227          0.00776304
         0         0            0.312497          0.00793067
         0         0            0.297385          0.00807289
         0         0            0.283667          0.00814681
         0         1             2.19173          0.00579044
         0         1             1.60042          0.00587188
         0         1             1.26038          0.00603476
         0         1             1.03951          0.00623623
         0         1            0.884512          0.00641462
         0         1            0.769738          0.00657031
         0         1            0.681328          0.00670938
         0         1            0.611136          0.00683265
         0         1            0.554055          0.00692277
         0         1            0.506726          0.00697005
         0         1            0.466847          0.00702787
         0         1            0.432787          0.00716504
         0         1            0.403359          0.00734691
         0         1            0.377678          0.00749404
         0         1            0.355071          0.00762188
         0         1            0.335018          0.00779268
         0         1            0.317109          0.00799983
         0         1            0.301018          0.00819134
         0         1             0.28648          0.00835232
         0         1            0.273282          0.00843626
         0         2             2.43915          0.00603357
         0         2             1.73933          0.00609236
         0         2             1.35155          0.00620994
         0         2             1.10516          0.00636601
         0         2            0.934755          0.00653201
         0         2            0.809878          0.00670437
         0         2            0.714434          0.00686046
         0         2            0.639115          0.00699582
         0         2            0.578162          0.00709544
         0         2            0.527823          0.00715085
         0         2            0.485548          0.00720819
         0         2            0.449542          0.00732976
         0         2            0.418508          0.00750109
         0         2            0.391482          0.00768623
         0         2            0.367735          0.00787456
         0         2            0.346704          0.00803335
         0         2            0.327948          0.00817549
         0         2            0.311118          0.00837692
         0         2            0.295931          0.00862059
         0         2            0.282157          0.00875432
         0         3             1.69201           0.0062232
         0         3             1.31881          0.00630869
         0         3             1.08049          0.00647969
         0         3            0.915126          0.00667308
         0         3            0.793657          0.00681753
         0         3            0.700656           0.0069202
         0         3            0.627165          0.00701406
         0         3            0.567627          0.00710436
         0         3            0.518413          0.00721315
         0         3            0.477052          0.00734869
         0         3            0.441803          0.00746587
         0         3            0.411405          0.00752655
         0         3             0.38492          0.00760483
         0         3             0.36164          0.00782175
         0         3            0.341014          0.00811024
         0         3            0.322615          0.00829236
         0         3            0.306099          0.00839552
         0         3            0.291192          0.00855377
         0         3            0.277669          0.00875242
         0         3            0.265347           0.0088604
         1         0             2.81623           0.0054206
         1         0             1.94322          0.00562841
         1         0             1.48339          0.00604401
         1         0             1.19953          0.00655521
         1         0             1.00686          0.00685563
         1         0            0.867524          0.00694391
         1         0            0.762061          0.00700545
         1         0            0.679461          0.00709275
         1         0            0.613016          0.00717043
         1         0            0.558408          0.00721419
         1         0            0.512734          0.00726138
         1         0            0.473967          0.00736603
         1         0             0.44065          0.00751177
         1         0            0.411709          0.00765776
         1         0            0.386335          0.00779957
         1         0            0.363908          0.00792804
         1         0            0.343941          0.00805945
         1         0            0.326052          0.00827314
         1         0            0.309931          0.00854608
         1         0             0.29533          0.00869645
         1         1             2.54088          0.00615233
         1         1             1.80486          0.00620192
         1         1             1.39948          0.00630109
         1         1             1.14279          0.00641988
         1         1            0.965677          0.00652583
         1         1            0.836095          0.00662305
         1         1            0.737174          0.00673088
         1         1            0.659185          0.00685076
         1         1            0.596118          0.00696074
         1         1            0.544065          0.00705187
         1         1            0.500373          0.00713967
         1         1            0.463177          0.00723897
         1         1            0.431128           0.0073525
         1         1            0.403227          0.00748537
         1         1            0.378718          0.00762948
         1         1            0.357018          0.00776065
         1         1            0.337669          0.00789585
         1         1            0.320311          0.00811123
         1         1            0.304649          0.00838099
         1         1            0.290448           0.0085285
         1         2             2.16207          0.00620465
         1         2             1.59442          0.00626019
         1         2             1.26286          0.00637126
         1         2             1.04546          0.00651757
         1         2            0.891911          0.00667597
         1         2            0.777693          0.00683507
         1         2            0.689407           0.0069394
         1         2            0.619123          0.00698496
         1         2            0.561843          0.00705038
         1         2            0.514265           0.0071685
         1         2            0.474116          0.00730899
         1         2            0.439782          0.00744272
         1         2            0.410084          0.00756714
         1         2            0.384144          0.00767759
         1         2             0.36129          0.00779949
         1         2            0.341003          0.00800631
         1         2            0.322873          0.00827307
         1         2            0.306574          0.00848143
         1         2            0.291841          0.00861931
         1         2            0.278459          0.00868815
         1         3             2.67808          0.00562728
         1         3             1.84127          0.00574027
         1         3             1.40291          0.00596625
         1         3             1.13314           0.0062382
         1         3            0.950382          0.00642724
         1         3             0.81839          0.00653874
         1         3            0.718591          0.00665676
         1         3            0.640486          0.00680246
         1         3            0.577695          0.00694553
         1         3            0.526117          0.00706445
         1         3            0.482994          0.00715642
         1         3            0.446404          0.00721703
         1         3            0.414968          0.00727974
         1         3            0.387668          0.00743153
         1         3            0.363739          0.00764615
         1         3            0.342591          0.00780985
         1         3            0.323768            0.007936
         1         3            0.306905          0.00813797
         1         3            0.291712          0.00839859
         1         3            0.277953          0.00854234
         2         0             2.11764          0.00600682
