 *tel    numcsi         Z         A           CsIV        errCsIV           CsIE       errCsIE
    0         0         1         2      0.0307874              0        5.49952              0
    0         0         1         2       0.106359              0        15.4193              0
    0         0         1         2       0.174566              0        25.8076              0
    0         0         1         2       0.239652              0        35.9323              0
    0         0         1         2       0.298755              0        45.5951              0
    0         0         1         2       0.359547              0        55.4548              0
    0         0         1         2        0.41937              0        65.4865              0
    0         0         1         2       0.479613              0        75.6779              0
    0         0         1         2       0.535823              0        85.2219              0
    0         0         1         2       0.595338              0        95.7087              0
    0         1         1         2      0.0382516              0        5.92622              0
    0         1         1         2       0.108144              0        15.6701              0
    0         1         1         2       0.173487              0        25.9124              0
    0         1         1         2         0.2358              0        35.6205              0
    0         1         1         2       0.298574              0        45.5063              0
    0         1         1         2       0.361405              0        55.5479              0
    0         1         1         2          0.424              0        65.7351              0
    0         1         1         2       0.481621              0        75.2647              0
    0         1         1         2        0.54468              0        85.7246              0
    0         1         1         2       0.602895              0        95.5085              0
    0         2         1         2      0.0348195              0        5.41036              0
    0         2         1         2       0.109157              0        15.5079              0
    0         2         1         2       0.175866              0        25.3797              0
    0         2         1         2       0.244237              0        35.4336              0
    0         2         1         2       0.311349              0        45.6701              0
    0         2         1         2       0.374288              0        55.3244              0
    0         2         1         2       0.442382              0        65.8773              0
    0         2         1         2       0.505746              0        75.8216              0
    0         2         1         2       0.568661              0        85.9088              0
    0         2         1         2       0.626473              0        95.3522              0
    0         3         1         2      0.0321746              0        5.41567              0
    0         3         1         2       0.109839              0        15.7286              0
    0         3         1         2        0.18027              0        25.9924              0
    0         3         1         2       0.245379              0        35.8133              0
    0         3         1         2       0.309467              0        45.8796              0
    0         3         1         2         0.3705              0        55.3558              0
    0         3         1         2        0.43491              0        65.8005              0
    0         3         1         2       0.495625              0        75.5963              0
    0         3         1         2       0.555064              0         85.535              0
    0         3         1         2       0.615368              0         95.616              0
    1         0         1         2      0.0337714              0        5.49752              0
    1         0         1         2        0.11032              0        15.3521              0
    1         0         1         2       0.180004              0        25.6069              0
    1         0         1         2        0.24547              0        35.5488              0
    1         0         1         2       0.310687              0        45.7234              0
    1         0         1         2       0.371965              0        55.3209              0
    1         0         1         2       0.436843              0        65.7876              0
    1         0         1         2       0.498454              0        75.6138              0
    1         0         1         2        0.55945              0        85.5355              0
    1         0         1         2       0.620165              0        95.5504              0
    1         1         1         2      0.0381734              0         5.8651              0
    1         1         1         2       0.104781              0        15.3278              0
    1         1         1         2        0.17384              0        25.8686              0
    1         1         1         2       0.239705              0        35.8349              0
    1         1         1         2       0.304003              0        45.9355              0
    1         1         1         2       0.365364              0        55.4286              0
    1         1         1         2       0.429974              0        65.7746              0
    1         1         1         2       0.490949              0        75.4987              0
    1         1         1         2       0.550868              0        85.3397              0
    1         1         1         2       0.612293              0        95.3039              0
    1         2         1         2      0.0394564              0        5.82612              0
    1         2         1         2        0.11547              0        15.9637              0
    1         2         1         2        0.18205              0        25.9152              0
    1         2         1         2       0.244607              0        35.3516              0
    1         2         1         2       0.313284              0         45.718              0
    1         2         1         2       0.376073              0        55.5163              0
    1         2         1         2       0.439587              0        65.4741              0
    1         2         1         2       0.502188              0        75.5902              0
    1         2         1         2       0.566451              0        85.8667              0
    1         2         1         2        0.62453              0        95.4997              0
    1         3         1         2      0.0347221              0        5.93308              0
    1         3         1         2       0.104351              0        15.6229              0
    1         3         1         2       0.172221              0         25.773              0
    1         3         1         2       0.234971              0        35.4303              0
    1         3         1         2       0.297204              0        45.3094              0
    1         3         1         2       0.360983              0        55.3904              0
    1         3         1         2       0.423538              0        65.6641              0
    1         3         1         2       0.482111              0        75.3158              0
    1         3         1         2       0.544496              0        85.9549              0
    1         3         1         2       0.603462              0        95.9486              0
    2         0         1         2      0.0369322              0        5.78982              0
    2         0         1         2       0.107809              0        15.5624              0
    2         0         1         2       0.173877              0        25.6253              0
    2         0         1         2       0.238492              0        35.9554              0
    2         0         1         2       0.299434              0         45.705              0
    2         0         1         2       0.360207              0        55.5675              0
    2         0         1         2       0.420468              0        65.5274              0
    2         0         1         2       0.482093              0        75.5768              0
    2         0         1         2       0.542053              0        85.7116              0
    2         0         1         2        0.60333              0        95.9312              0
    2         1         1         2      0.0319755              0        5.54702              0
    2         1         1         2        0.10238              0        15.3482              0
    2         1         1         2       0.166023              0         25.454              0
    2         1         1         2       0.224194              0        35.2453              0
    2         1         1         2       0.282583              0        45.3771              0
    2         1         1         2       0.341628              0         55.784              0
    2         1         1         2       0.396059              0        65.5362              0
    2         1         1         2       0.449156              0        75.4769              0
    2         1         1         2       0.503717              0        85.5978              0
    2         1         1         2       0.557052              0        95.8959              0
    2         2         1         2      0.0383173              0        5.72908              0
    2         2         1         2       0.110708              0        15.8086              0
    2         2         1         2        0.17828              0        25.7112              0
    2         2         1         2       0.244157              0         35.836              0
    2         2         1         2       0.306909              0        45.4291              0
    2         2         1         2       0.373408              0        55.9415              0
    2         2         1         2       0.435916              0        65.8584              0
    2         2         1         2       0.497358              0        75.9176              0
    2         2         1         2       0.555642              0        85.3261              0
    2         2         1         2       0.617632              0        95.6518              0
    2         3         1         2      0.0339518              0        5.45836              0
    2         3         1         2       0.108332              0        15.4309              0
    2         3         1         2       0.175301              0        25.9411              0
    2         3         1         2       0.234025              0        35.2799              0
    2         3         1         2       0.296361              0        45.6199              0
    2         3         1         2       0.355118              0        55.3181              0
    2         3         1         2       0.418092              0        65.9639              0
    2         3         1         2       0.476451              0        75.9075              0
    2         3         1         2       0.534161              0        85.9571              0
    2         3         1         2       0.588016              0        95.2608              0
    3         0         1         2      0.0397573              0        5.87426              0
    3         0         1         2       0.112291              0        15.4695              0
    3         0         1         2       0.180549              0         25.914              0
    3         0         1         2       0.245272              0        35.9513              0
    3         0         1         2       0.306699              0        45.4461              0
    3         0         1         2       0.371945              0        55.8136              0
    3         0         1         2       0.432857              0        65.5535              0
    3         0         1         2       0.494435              0        75.3924              0
    3         0         1         2       0.554698              0        85.3254              0
    3         0         1         2       0.615845              0        95.3512              0
    3         1         1         2      0.0425638              0        5.92638              0
    3         1         1         2       0.113703              0        15.5715              0
    3         1         1         2       0.182174              0        25.4966              0
    3         1         1         2        0.25205              0        35.6739              0
    3         1         1         2       0.317182              0        45.5861              0
    3         1         1         2        0.38357              0        55.7296              0
    3         1         1         2       0.445461              0        65.4933              0
    3         1         1         2       0.508027              0        75.4128              0
    3         1         1         2       0.569939              0        85.4707              0
    3         1         1         2       0.633057              0        95.6548              0
    3         2         1         2      0.0286013              0        5.76785              0
    3         2         1         2      0.0801424              0        15.6307              0
    3         2         1         2        0.12754              0        25.5075              0
    3         2         1         2       0.174751              0        35.6391              0
    3         2         1         2       0.220819              0        45.5114              0
    3         2         1         2       0.266109              0        55.6095              0
    3         2         1         2       0.311058              0        65.9243              0
    3         2         1         2       0.354746              0        75.8911              0
    3         2         1         2       0.395784              0         85.476              0
    3         2         1         2       0.438332              0        95.8071              0
    3         3         1         2       0.036479              0        5.47372              0
    3         3         1         2       0.114572              0        15.7695              0
    3         3         1         2       0.178312              0        25.5064              0
    3         3         1         2       0.243759              0        35.4647              0
    3         3         1         2       0.310296              0         45.603              0
    3         3         1         2       0.376017              0        55.8962              0
    3         3         1         2       0.437467              0        65.5854              0
    3         3         1         2       0.499356              0        75.3983              0
    3         3         1         2       0.560282              0        85.3344              0
    3         3         1         2       0.621575              0        95.3955              0
    4         0         1         2      0.0335873              0        5.67364              0
    4         0         1         2       0.104232              0        15.9404              0
    4         0         1         2       0.164588              0        25.4959              0
    4         0         1         2       0.229472              0        35.9854              0
    4         0         1         2       0.290087              0        45.8607              0
    4         0         1         2       0.349702              0        55.8395              0
    4         0         1         2       0.410225              0        65.9132              0
    4         0         1         2       0.466085              0        75.2933              0
    4         0         1         2       0.526677              0         85.542              0
    4         0         1         2       0.586234              0        95.8828              0
    4         1         1         2      0.0327165              0        5.54991              0
    4         1         1         2       0.105987              0        15.7827              0
    4         1         1         2       0.168919              0        25.5191              0
    4         1         1         2       0.231019              0        35.5907              0
    4         1         1         2       0.293649              0        45.8701              0
    4         1         1         2       0.352289              0        55.5309              0
    4         1         1         2       0.410737              0        65.2681              0
    4         1         1         2       0.473794              0        75.8168              0
    4         1         1         2       0.531338              0        85.6568              0
    4         1         1         2        0.58964              0        95.5331              0
    4         2         1         2      0.0369378              0        5.73637              0
    4         2         1         2       0.116119              0        15.7525              0
    4         2         1         2       0.188259              0         25.974              0
    4         2         1         2       0.257418              0        35.9779              0
    4         2         1         2       0.322322              0        45.6114              0
    4         2         1         2       0.386135              0        55.4389              0
    4         2         1         2       0.450954              0        65.4337              0
    4         2         1         2        0.51525              0        75.5814              0
    4         2         1         2        0.57934              0        85.8744              0
    4         2         1         2       0.639958              0        95.6103              0
    4         3         1         2      0.0365524              0        5.86136              0
    4         3         1         2       0.111963              0        15.8058              0
    4         3         1         2       0.178075              0        25.4245              0
    4         3         1         2       0.246596              0        35.9979              0
    4         3         1         2       0.308332              0        45.5493              0
    4         3         1         2        0.37345              0        55.9122              0
    4         3         1         2       0.434731              0        65.7655              0
    4         3         1         2       0.496538              0        75.7374              0
    4         3         1         2       0.557834              0        85.8186              0
    4         3         1         2       0.614535              0        95.3221              0
    5         0         1         2      0.0352464              0        5.79532              0
    5         0         1         2       0.105909              0         15.422              0
    5         0         1         2         0.1752              0        25.7338              0
    5         0         1         2       0.238803              0        35.5144              0
    5         0         1         2        0.30338              0         45.444              0
    5         0         1         2       0.367399              0        55.4921              0
    5         0         1         2       0.431426              0        65.6463              0
    5         0         1         2       0.496077              0        75.9012              0
    5         0         1         2       0.555214              0        85.4546              0
    5         0         1         2       0.618892              0           95.9              0
    5         1         1         2      0.0394577              0        5.44352              0
    5         1         1         2       0.121293              0        15.3292              0
    5         1         1         2       0.201511              0         25.472              0
    5         1         1         2       0.281175              0        35.7501              0
    5         1         1         2       0.356188              0        45.4819              0
    5         1         1         2        0.43033              0        55.4106              0
    5         1         1         2       0.505194              0        65.5465              0
    5         1         1         2       0.580119              0        75.8976              0
    5         1         1         2       0.648763              0        85.6494              0
    5         1         1         2       0.717517              0        95.5973              0
    5         2         1         2      0.0461201              0        5.95872              0
    5         2         1         2       0.134544              0        15.9545              0
    5         2         1         2       0.214673              0        25.8707              0
    5         2         1         2       0.296301              0        35.9011              0
    5         2         1         2       0.371909              0        45.4344              0
    5         2         1         2       0.453575              0         55.761              0
    5         2         1         2       0.529328              0        65.6077              0
    5         2         1         2       0.605516              0         75.629              0
    5         2         1         2       0.681352              0        85.8369              0
    5         2         1         2        0.75215              0        95.5433              0
    5         3         1         2      0.0563853              0        5.43783              0
    5         3         1         2       0.179735              0        15.8748              0
    5         3         1         2       0.285656              0        25.3236              0
    5         3         1         2       0.400745              0        35.5966              0
    5         3         1         2       0.515578              0        45.9967              0
