 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             92            0.5        15.1955       0.151955
    0         0            146            0.5        28.1193       0.281193
    0         0            212            0.5         41.227        0.41227
    0         0            284            0.5        54.4725       0.544725
    0         0            356            0.5         67.303        0.67303
    0         0            434            0.5        80.8778       0.808778
    0         0            506            0.5        93.2273       0.932273
    0         0            584            0.5        106.437        1.06437
    0         0            662            0.5        119.486        1.19486
    0         0            740            0.5        132.388        1.32388
    0         0            818            0.5        145.156        1.45156
    0         0            902            0.5        158.769        1.58769
    0         0            980            0.5        171.295        1.71295
    0         0           1064            0.5        184.675        1.84675
    0         0           1148            0.5        197.954        1.97954
    0         0           1226            0.5        210.205        2.10205
    0         0           1310            0.5        223.323        2.23323
    0         0           1394            0.5        236.374        2.36374
    0         0           1478            0.5        249.368        2.49368
    0         0           1562            0.5        262.313        2.62313
    0         0           1646            0.5        275.217        2.75217
    0         0           1730            0.5        288.089        2.88089
    0         1             76            0.5         13.882        0.13882
    0         1            148            0.5        29.3274       0.293274
    0         1            220            0.5        44.0444       0.440444
    0         1            298            0.5        59.4167       0.594167
    0         1            376            0.5        74.2583       0.742583
    0         1            460            0.5        89.7195       0.897195
    0         1            544            0.5        104.775        1.04775
    0         1            628            0.5        119.498        1.19498
    0         1            718            0.5         134.97         1.3497
    0         1            802            0.5        149.173        1.49173
    0         1            892            0.5        164.178        1.64178
    0         1            988            0.5         179.98         1.7998
    0         1           1078            0.5        194.636        1.94636
    0         1           1168            0.5        209.161        2.09161
    0         1           1264            0.5        224.536        2.24536
    0         1           1360            0.5        239.809        2.39809
    0         1           1456            0.5        254.999        2.54999
    0         1           1546            0.5        269.179        2.69179
    0         1           1642            0.5        284.252        2.84252
    0         1           1738            0.5        299.283        2.99283
    0         1           1834            0.5        314.283        3.14283
    0         1           1930            0.5        329.263        3.29263
    0         2             93            0.5        14.7717       0.147717
    0         2            165            0.5        29.8596       0.298596
    0         2            243            0.5        45.2427       0.452427
    0         2            321            0.5         60.108        0.60108
    0         2            405            0.5        75.6058       0.756058
    0         2            489            0.5        90.6376       0.906376
    0         2            573            0.5        105.306        1.05306
    0         2            663            0.5        120.686        1.20686
    0         2            753            0.5        135.768        1.35768
    0         2            843            0.5        150.597        1.50597
    0         2            933            0.5        165.207        1.65207
    0         2           1029            0.5        180.583        1.80583
    0         2           1125            0.5        195.774        1.95774
    0         2           1221            0.5        210.805        2.10805
    0         2           1317            0.5        225.697        2.25697
    0         2           1413            0.5        240.472        2.40472
    0         2           1509            0.5        255.144        2.55144
    0         2           1611            0.5        270.639        2.70639
    0         2           1707            0.5        285.146        2.85146
    0         2           1809            0.5        300.492        3.00492
    0         2           1911            0.5        315.781        3.15781
    0         3             45            0.5        15.8341       0.158341
    0         3            111            0.5        30.1218       0.301218
    0         3            183            0.5        44.6125       0.446125
    0         3            255            0.5         58.637        0.58637
    0         3            327            0.5        72.2763       0.722763
    0         3            405            0.5         86.633        0.86633
    0         3            483            0.5        100.672        1.00672
    0         3            561            0.5        114.445        1.14445
    0         3            639            0.5        127.992        1.27992
    0         3            723            0.5        142.364        1.42364
    0         3            807            0.5        156.544        1.56544
    0         3            891            0.5        170.559        1.70559
    0         3            975            0.5        184.432        1.84432
    0         3           1059            0.5        198.182        1.98182
    0         3           1149            0.5        212.797        2.12797
    0         3           1233            0.5        226.344        2.26344
    0         3           1323            0.5        240.774        2.40774
    0         3           1407            0.5        254.176        2.54176
    0         3           1497            0.5        268.474        2.68474
    0         3           1587            0.5         282.72         2.8272
    0         3           1677            0.5        296.925        2.96925
    0         3           1761            0.5        310.153        3.10153
    1         0            106            0.5        13.5447       0.135447
    1         0            176            0.5        30.1336       0.301336
    1         0            267            0.5        47.4841       0.474841
    1         0            365            0.5        64.7494       0.647494
    1         0            463            0.5        81.3863       0.813863
    1         0            568            0.5        98.8078       0.988078
    1         0            673            0.5        115.905        1.15905
    1         0            778            0.5        132.718        1.32718
    1         0            883            0.5        149.279        1.49279
    1         0            995            0.5        166.699        1.66699
    1         0           1107            0.5        183.897        1.83897
    1         0           1219            0.5        200.904        2.00904
    1         0           1331            0.5        217.747        2.17747
    1         0           1443            0.5        234.452        2.34452
    1         0           1555            0.5        251.041        2.51041
    1         0           1674            0.5        268.563        2.68563
    1         0           1793            0.5        285.996        2.85996
    1         0           1905            0.5        302.341        3.02341
    1         0           2024            0.5        319.657        3.19657
    1         0           2143            0.5        336.935        3.36935
    1         0           2255            0.5        353.175        3.53175
    1         1             93            0.5        14.4633       0.144633
    1         1            181            0.5        31.4087       0.314087
    1         1            269            0.5        47.8008       0.478008
    1         1            365            0.5        65.1986       0.651986
    1         1            461            0.5         82.043        0.82043
    1         1            565            0.5        99.8078       0.998078
    1         1            661            0.5        115.841        1.15841
    1         1            765            0.5        132.877        1.32877
    1         1            877            0.5        150.893        1.50893
    1         1            981            0.5         167.36         1.6736
    1         1           1093            0.5        184.854        1.84854
    1         1           1197            0.5        200.905        2.00905
    1         1           1309            0.5        218.013        2.18013
    1         1           1421            0.5        234.965        2.34965
    1         1           1541            0.5        252.979        2.52979
    1         1           1653            0.5        269.677        2.69677
    1         1           1765            0.5        286.281        2.86281
    1         1           1885            0.5        303.985        3.03985
    1         1           1997            0.5        320.443        3.20443
    1         1           2109            0.5         336.85         3.3685
    1         1           2229            0.5        354.386        3.54386
    1         2             84            0.5        16.6648       0.166648
    1         2            156            0.5         31.103        0.31103
    1         2            234            0.5        46.2411       0.462411
    1         2            312            0.5        60.9627       0.609627
    1         2            396            0.5        76.3581       0.763581
    1         2            480            0.5        91.3375       0.913375
    1         2            564            0.5         105.99         1.0599
    1         2            654            0.5        121.385        1.21385
    1         2            744            0.5        136.513        1.36513
    1         2            834            0.5        151.413        1.51413
    1         2            924            0.5        166.117        1.66117
    1         2           1020            0.5        181.615        1.81615
    1         2           1116            0.5        196.948        1.96948
    1         2           1206            0.5        211.195        2.11195
    1         2           1302            0.5        226.274        2.26274
    1         2           1398            0.5        241.249        2.41249
    1         2           1494            0.5        256.137        2.56137
    1         2           1596            0.5        271.875        2.71875
    1         2           1692            0.5        286.625        2.86625
    1         2           1788            0.5        301.324        3.01324
    1         2           1890            0.5        316.899        3.16899
    1         3            104            0.5        14.1752       0.141752
    1         3            170            0.5        29.3473       0.293473
    1         3            242            0.5        44.2191       0.442191
    1         3            320            0.5        59.5639       0.595639
    1         3            398            0.5         74.323        0.74323
    1         3            482            0.5        89.6861       0.896861
    1         3            566            0.5         104.65         1.0465
    1         3            650            0.5        119.296        1.19296
    1         3            740            0.5        134.701        1.34701
    1         3            830            0.5        149.861        1.49861
    1         3            920            0.5        164.819        1.64819
    1         3           1010            0.5        179.608        1.79608
    1         3           1100            0.5        194.257        1.94257
    1         3           1196            0.5        209.754        2.09754
    1         3           1286            0.5        224.182        2.24182
    1         3           1382            0.5        239.485        2.39485
    1         3           1478            0.5        254.715        2.54715
    1         3           1574            0.5        269.888        2.69888
    1         3           1664            0.5        284.071        2.84071
    1         3           1760            0.5        299.169        2.99169
    1         3           1856            0.5        314.243        3.14243
    2         0             74            0.5        13.5991       0.135991
    2         0            134            0.5        27.6103       0.276103
    2         0            206            0.5        41.5227       0.415227
    2         0            284            0.5        55.8805       0.558805
    2         0            362            0.5        69.9563       0.699563
    2         0            440            0.5        83.7145       0.837145
    2         0            518            0.5        97.2224       0.972224
    2         0            602            0.5        111.495        1.11495
    2         0            686            0.5        125.501        1.25501
    2         0            770            0.5        139.262        1.39262
    2         0            860            0.5        153.764        1.53764
    2         0            944            0.5        167.097        1.67097
    2         0           1034            0.5        181.192        1.81192
    2         0           1124            0.5        195.114        1.95114
    2         0           1220            0.5        209.799        2.09799
    2         0           1310            0.5        223.431        2.23431
    2         0           1406            0.5         237.85         2.3785
    2         0           1496            0.5        251.269        2.51269
    2         0           1592            0.5        265.494        2.65494
    2         0           1688            0.5        279.641        2.79641
    2         0           1784            0.5        293.724        2.93724
    2         1            102            0.5        11.8443       0.118443
    2         1            157            0.5         26.977        0.26977
    2         1            217            0.5        40.7644       0.407644
    2         1            282            0.5        54.4913       0.544913
    2         1            352            0.5        68.6042       0.686042
    2         1            422            0.5        82.2149       0.822149
    2         1            497            0.5        96.4639       0.964639
    2         1            572            0.5        110.445        1.10445
    2         1            647            0.5         124.21         1.2421
    2         1            727            0.5        138.694        1.38694
    2         1            802            0.5        152.118        1.52118
    2         1            882            0.5        166.296        1.66296
    2         1            962            0.5        180.354        1.80354
    2         1           1042            0.5         194.31         1.9431
    2         1           1122            0.5        208.183        2.08183
    2         1           1207            0.5        222.849        2.22849
    2         1           1287            0.5        236.596        2.36596
    2         1           1367            0.5        250.302        2.50302
    2         1           1452            0.5        264.832        2.64832
    2         1           1532            0.5        278.484        2.78484
    2         1           1617            0.5        292.976        2.92976
    2         2             76            0.5        13.9967       0.139967
    2         2            126            0.5        24.4636       0.244636
    2         2            181            0.5        35.4955       0.354955
    2         2            236            0.5        46.1341       0.461341
    2         2            296            0.5        57.3774       0.573774
    2         2            356            0.5        68.2689       0.682689
    2         2            421            0.5        79.6812       0.796812
    2         2            486            0.5        90.8058       0.908058
    2         2            551            0.5        101.685        1.01685
    2         2            616            0.5        112.356        1.12356
    2         2            686            0.5        123.652        1.23652
    2         2            756            0.5        134.774        1.34774
    2         2            826            0.5        145.747        1.45747
    2         2            896            0.5        156.593        1.56593
    2         2            966            0.5         167.33         1.6733
    2         2           1041            0.5         178.73         1.7873
    2         2           1111            0.5        189.287        1.89287
    2         2           1186            0.5        200.521        2.00521
    2         2           1261            0.5        211.687        2.11687
    2         2           1336            0.5        222.797        2.22797
    2         2           1411            0.5        233.859        2.33859
    2         2           1486            0.5        244.881        2.44881
    2         3             99            0.5        11.4684       0.114684
    2         3            149            0.5         24.917        0.24917
    2         3            219            0.5        39.9009       0.399009
    2         3            289            0.5        53.6376       0.536376
    2         3            364            0.5         67.847        0.67847
    2         3            439            0.5        81.6412       0.816412
    2         3            514            0.5        95.1505       0.951505
    2         3            594            0.5        109.281        1.09281
    2         3            674            0.5        123.154        1.23154
    2         3            759            0.5         137.64         1.3764
    2         3            844            0.5        151.896        1.51896
    2         3            929            0.5        165.949        1.65949
    2         3           1014            0.5        179.824        1.79824
    2         3           1099            0.5        193.546        1.93546
    2         3           1189            0.5        207.927        2.07927
    2         3           1274            0.5        221.391        2.21391
    2         3           1364            0.5        235.539        2.35539
    2         3           1454            0.5        249.594        2.49594
    2         3           1544            0.5        263.569        2.63569
    2         3           1634            0.5        277.478        2.77478
    2         3           1724            0.5        291.332        2.91332
    3         0             81            0.5        14.9927       0.149927
    3         0            126            0.5        25.9777       0.259777
    3         0            176            0.5        36.2482       0.362482
    3         0            236            0.5        47.5238       0.475238
    3         0            296            0.5        58.3115       0.583115
    3         0            361            0.5        69.6652       0.696652
    3         0            426            0.5        80.7152       0.807152
    3         0            491            0.5        91.5681       0.915681
    3         0            556            0.5        102.245        1.02245
    3         0            626            0.5        113.568        1.13568
    3         0            696            0.5        124.726        1.24726
    3         0            766            0.5        135.738        1.35738
    3         0            836            0.5        146.617        1.46617
    3         0            906            0.5        157.377        1.57377
    3         0            981            0.5        168.787        1.68787
    3         0           1051            0.5        179.338        1.79338
    3         0           1126            0.5        190.549        1.90549
    3         0           1201            0.5        201.674        2.01674
    3         0           1276            0.5        212.723        2.12723
    3         0           1351            0.5        223.706        2.23706
    3         0           1426            0.5         234.63         2.3463
    3         0           1501            0.5        245.503        2.45503
    3         1            106            0.5        15.4891       0.154891
    3         1            150            0.5        25.5893       0.255893
    3         1            194            0.5         35.153        0.35153
    3         1            246            0.5        45.9076       0.459076
    3         1            294            0.5        55.3982       0.553982
    3         1            346            0.5         65.293        0.65293
    3         1            402            0.5        75.4987       0.754987
    3         1            458            0.5        85.3619       0.853619
    3         1            518            0.5        95.6229       0.956229
    3         1            578            0.5        105.629        1.05629
    3         1            638            0.5        115.428        1.15428
    3         1            702            0.5        125.694        1.25694
    3         1            766            0.5        135.804        1.35804
    3         1            830            0.5        145.786        1.45786
    3         1            894            0.5        155.664        1.55664
    3         1            958            0.5        165.456        1.65456
    3         1           1026            0.5        175.786        1.75786
    3         1           1090            0.5        185.451        1.85451
    3         1           1158            0.5        195.672        1.95672
    3         1           1226            0.5        205.855        2.05855
