 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0258517    0.000258517        20.7233       0.207233
    0         0      0.0685448    0.000685448        30.9728       0.309728
    0         0       0.124443     0.00124443        42.6611       0.426611
    0         0       0.179189     0.00179189        53.1687       0.531687
    0         0       0.244251     0.00244251        64.6306       0.646306
    0         0       0.307997     0.00307997        75.5359       0.755359
    0         0       0.378201     0.00378201        86.8734       0.868734
    0         0       0.446813     0.00446813        97.9188       0.979188
    0         0       0.517248     0.00517248        108.775        1.08775
    0         0       0.586076     0.00586076        119.464        1.19464
    0         0       0.660192     0.00660192        130.704        1.30704
    0         0       0.734167     0.00734167        141.796        1.41796
    0         0       0.808392     0.00808392        152.753        1.52753
    0         0       0.882692     0.00882692        163.587        1.63587
    0         0       0.962224     0.00962224        174.974        1.74974
    0         0        1.03797      0.0103797        185.583        1.85583
    0         0        1.11837      0.0111837        196.749        1.96749
    0         0        1.20101      0.0120101        207.815        2.07815
    0         0        1.28487      0.0128487        218.787        2.18787
    0         0        1.36971      0.0136971        229.675        2.29675
    0         0        1.45644      0.0145644        240.483        2.40483
    0         1      0.0204121    0.000204121        22.1615       0.221615
    0         1       0.102956     0.00102956        37.6645       0.376645
    0         1       0.180861     0.00180861        52.3391       0.523391
    0         1       0.266808     0.00266808        67.6625       0.676625
    0         1       0.354293     0.00354293        82.3408       0.823408
    0         1       0.448298     0.00448298        97.6714       0.976714
    0         1       0.542227     0.00542227        112.532        1.12532
    0         1       0.636131     0.00636131         126.99         1.2699
    0         1        0.73844      0.0073844        142.181        1.42181
    0         1       0.839453     0.00839453        157.036        1.57036
    0         1       0.948888     0.00948888        172.632        1.72632
    0         1        1.05938      0.0105938        187.946        1.87946
    0         1        1.16413      0.0116413        202.019        2.02019
    0         1        1.28732      0.0128732        217.878        2.17878
    0         1        1.40552      0.0140552        232.556        2.32556
    0         1        1.52584      0.0152584        247.075        2.47075
    0         1        1.65595      0.0165595        262.411        2.62411
    0         1        1.78894      0.0178894        277.611        2.77611
    0         1        1.92169      0.0192169        292.695        2.92695
    0         1         2.0565       0.020565        307.678        3.07678
    0         1         2.1904       0.021904        322.575        3.22575
    0         2      0.0258548    0.000258548        22.8664       0.228664
    0         2       0.106761     0.00106761        37.8512       0.378512
    0         2       0.184405     0.00184405        51.7849       0.517849
    0         2        0.26333      0.0026333        65.1952       0.651952
    0         2       0.348019     0.00348019        79.1219       0.791219
    0         2       0.438675     0.00438675         93.591        0.93591
    0         2       0.529554     0.00529554         107.63         1.0763
    0         2       0.620543     0.00620543        121.345        1.21345
    0         2       0.718268     0.00718268        135.647        1.35647
    0         2       0.814768     0.00814768        149.655        1.49655
    0         2       0.911981     0.00911981        163.402        1.63402
    0         2        1.01675      0.0101675        177.757        1.77757
    0         2        1.12251      0.0112251        191.882        1.91882
    0         2        1.23182      0.0123182        205.803        2.05803
    0         2        1.34225      0.0134225        219.542        2.19542
    0         2        1.46158      0.0146158        233.912        2.33912
    0         2        1.57666      0.0157666        247.334        2.47334
    0         2         1.7011       0.017011        261.405        2.61405
    0         2        1.82612      0.0182612        275.345        2.75345
    0         2        1.95946      0.0195946        289.934        2.89934
    0         3      0.0233842    0.000233842         24.696        0.24696
    0         3      0.0944084    0.000944084        37.9322       0.379322
    0         3       0.158203     0.00158203        48.9511       0.489511
    0         3       0.232808     0.00232808        61.6938       0.616938
    0         3       0.300717     0.00300717        72.9997       0.729997
    0         3       0.383133     0.00383133         85.986        0.85986
    0         3       0.457539     0.00457539        97.6522       0.976522
    0         3       0.532572     0.00532572        109.083        1.09083
    0         3       0.614132     0.00614132         121.22         1.2122
    0         3       0.695659     0.00695659        133.133        1.33133
    0         3       0.783011     0.00783011         145.74         1.4574
    0         3       0.864645     0.00864645        157.263        1.57263
    0         3       0.953675     0.00953675        169.495        1.69495
    0         3        1.04211      0.0104211        181.563        1.81563
    0         3        1.13225      0.0113225        193.483        1.93483
    0         3        1.22424      0.0122424         205.27         2.0527
    0         3        1.32621      0.0132621        217.767        2.17767
    0         3        1.42162      0.0142162        229.318        2.29318
    0         3         1.5256       0.015256        241.587        2.41587
    0         3         1.6312       0.016312        253.755        2.53755
    0         3        1.73783      0.0173783        265.832        2.65832
    1         0      0.0262005    0.000262005        17.4212       0.174212
    1         0       0.091882     0.00091882        32.7718       0.327718
    1         0       0.161781     0.00161781        46.8736       0.468736
    1         0        0.24547      0.0024547        61.8921       0.618921
    1         0       0.336504     0.00336504        76.9408       0.769408
    1         0        0.43453      0.0043453        92.3924       0.923924
    1         0       0.534003     0.00534003        107.346        1.07346
    1         0       0.639238     0.00639238        122.984        1.22984
    1         0       0.737353     0.00737353        137.285        1.37285
    1         0       0.842626     0.00842626        152.338        1.52338
    1         0       0.949814     0.00949814        167.145        1.67145
    1         0        1.06417      0.0106417        182.697        1.82697
    1         0        1.17431      0.0117431        197.072        1.97072
    1         0        1.29359      0.0129359        212.209        2.12209
    1         0        1.41681      0.0141681        227.164        2.27164
    1         0        1.54928      0.0154928        242.874        2.42874
    1         0        1.67616      0.0167616        257.508        2.57508
    1         0        1.81336      0.0181336        272.913        2.72913
    1         0        1.94317      0.0194317        287.291        2.87291
    1         0        2.08152      0.0208152        302.453        3.02453
    1         0        2.22017      0.0222017        317.509        3.17509
    1         1      0.0333099    0.000333099         24.673        0.24673
    1         1        0.11843      0.0011843        39.5613       0.395613
    1         1       0.202133     0.00202133        53.9486       0.539486
    1         1       0.292425     0.00292425        69.0679       0.690679
    1         1       0.391112     0.00391112        84.8237       0.848237
    1         1       0.481555     0.00481555        99.0687       0.990687
    1         1       0.579094     0.00579094        114.063        1.14063
    1         1       0.683846     0.00683846        129.777        1.29777
    1         1       0.782642     0.00782642        144.156        1.44156
    1         1       0.887666     0.00887666        159.291        1.59291
    1         1       0.993489     0.00993489        174.176        1.74176
    1         1        1.10766      0.0110766         189.81         1.8981
    1         1        1.21771      0.0121771        204.264        2.04264
    1         1        1.33736      0.0133736        219.488        2.19488
    1         1        1.46023      0.0146023        234.533        2.34533
    1         1        1.58524      0.0158524         249.42         2.4942
    1         1        1.71233      0.0171233        264.163        2.64163
    1         1        1.84896      0.0184896        279.689        2.79689
    1         1        1.97762      0.0197762        294.185        2.94185
    1         1        2.11474      0.0211474        309.475        3.09475
    1         1        2.25368      0.0225368        324.665        3.24665
    1         1        2.39243      0.0239243        339.765        3.39765
    1         2      0.0318352    0.000318352        25.3728       0.253728
    1         2        0.10785      0.0010785        38.4736       0.384736
    1         2        0.17956      0.0017956        51.1296       0.511296
    1         2       0.257863     0.00257863        64.4316       0.644316
    1         2       0.337747     0.00337747        77.3069       0.773069
    1         2       0.422378     0.00422378        90.8123       0.908123
    1         2        0.50707      0.0050707        103.963        1.03963
    1         2       0.593388     0.00593388         116.84         1.1684
    1         2       0.678355     0.00678355        129.465        1.29465
    1         2       0.769142     0.00769142        142.747        1.42747
    1         2       0.860941     0.00860941        155.802        1.55802
    1         2       0.953001     0.00953001        168.657        1.68657
    1         2        1.04636      0.0104636        181.332        1.81332
    1         2         1.1467       0.011467        194.676        1.94676
    1         2         1.2495       0.012495        207.857        2.07857
    1         2        1.35429      0.0135429        220.891        2.20891
    1         2         1.4618       0.014618        233.794        2.33794
    1         2        1.57041      0.0157041        246.578        2.46578
