*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    1      2    0.619093       0.00952513      97.196          4.57755
    1      2    0.600903        0.0100003     94.1075          4.45971
    1      2    0.581363       0.00867622     90.9801          4.33997
    1      2    0.565764        0.0102103     87.8191          4.21864
    1      3    0.614159       0.00914649     100.788          4.71402
    1      3    0.600955       0.00980976     98.0308          4.60933
    1      3    0.584511        0.0105145     95.2354           4.5028
    1      3    0.565792       0.00408189     92.4061          4.39461
    1      3    0.552573       0.00972636     89.5471            4.285
    2      0    0.618751       0.00874421     101.908          4.75432
    2      0    0.597929       0.00954165     98.6147          4.62937
    2      0    0.580151       0.00930599     95.2654          4.50171
    2      0    0.565011        0.0111596     91.8674          4.37167
    2      1    0.544612       0.00919659     94.1378           4.4586
    2      1    0.526722       0.00874548     90.7251          4.32786
    2      1    0.505372       0.00227695     87.2732          4.19522
    2      1     0.49299       0.00911473     83.7892          4.06107
    2      2    0.526429       0.00826672     82.0373          3.99354
    2      2    0.505794        0.0088917     78.5179          3.85776
    2      2    0.485632       0.00101198     74.9835          3.72139
    2      2    0.461915       0.00142372     71.4406           3.5848
    2      3    0.550608       0.00992494     90.4389          4.31687
    2      3    0.530067       0.00906615     86.6946          4.17296
    2      3    0.506108       0.00182665      82.914          4.02734
    2      3     0.48976       0.00847819     79.1057          3.88045
    3      0    0.499517       0.00690421     79.4057          3.89153
    3      0    0.475763       0.00161961     75.5799          3.74389
    3      0    0.453002      0.000484559     71.7428          3.59591
    3      0    0.437008       0.00721738     67.9027          3.44806
    3      1    0.452156       0.00865214     69.3795          3.50487
    3      1    0.431001       0.00869003     65.5413          3.35734
    3      1    0.407783      0.000517494     61.7125          3.21079
    3      1    0.386037      0.000660327     57.8999          3.06572
    3      1     0.36698       0.00995877     54.1102          2.92267
    3      2    0.275749       0.00486939     59.0709          3.11018
    3      2    0.260486      0.000447108     55.2735          2.96643
    3      2    0.242857       0.00174258      51.503          2.82518
    3      2    0.227701      0.000482211     47.7646          2.68703
    3      3    0.445724       0.00885092     68.7887          3.48214
    3      3    0.423168       0.00116121     65.2464          3.34603
    3      3    0.403126       0.00133026     61.7125          3.21079
    3      3    0.382965       0.00167172     58.1925          3.07682
    4      0     0.40441       0.00175414     66.0919          3.38163
    4      0    0.388326      0.000632058     62.8481          3.25747
    4      0    0.371345      0.000490277     59.6143          3.13428
    4      0    0.351378      0.000427741     56.3946          3.01239
    4      1    0.411484      0.000977218     66.9777           3.4156
    4      1    0.394809      0.000626937     63.7319          3.29125
    4      1    0.383514       0.00637309      60.495          3.16777
    4      1    0.360733       0.00127964     57.2711          3.04548
    4      2    0.358935      0.000640527     52.0335          2.84888
    4      2    0.344074      0.000597824     49.1486          2.74208
    4      2    0.325911      0.000477761     46.2841          2.63738
    4      2    0.308328      0.000847426     43.4415          2.53516
    4      2    0.292678       0.00858331     40.6221          2.43587
    4      3    0.348459      0.000519918      51.455          2.82736
    4      3    0.332231      0.000478913      48.287          2.71042
    4      3    0.308165      0.000361207     45.1443          2.59616
    4      3    0.291449       0.00217432     42.0288          2.48511
    5      0    0.425165      0.000502606     66.1016          3.38123
    5      0    0.412289       0.00283144     62.8581          3.25705
    5      0    0.389873      0.000980474     59.6248          3.13383
    5      0    0.372253       0.00145379     56.4056          3.01191
    5      1    0.476237      0.000603791     64.0366          3.30211
    5      1    0.458465      0.000953797     60.7991          3.17852
    5      1    0.436027      0.000754722     57.5743          3.05609
    5      1    0.414599      0.000797111      54.366          2.93513
    5      1    0.396547       0.00822488     51.1778          2.81609
    5      2    0.402671        0.0010526     49.1608          2.74151
    5      2    0.380758       0.00093188     46.0117          2.62642
    5      2    0.359302      0.000482083     42.8894          2.51438
    5      2    0.336327       0.00138725     39.7952          2.40596
    5      3    0.579097      0.000766854     51.1778          2.81609
    5      3     0.55097       0.00107483     48.0127          2.69933
    5      3    0.517411      0.000709266     44.8731           2.5853
    5      3    0.491095        0.0115788     41.7609          2.47449
    6      0    0.360041      0.000774919     59.3745          3.12086
    6      0    0.341427       0.00060742     55.8671          2.98794
    6      0    0.320833      0.000585756      52.382          2.85701
    6      0    0.305063      0.000405425     48.9234          2.72861
    6      0    0.284543       0.00820505     45.4948          2.60327
    6      1    0.355805      0.000856434      54.412          2.93309
    6      1    0.333785      0.000301635     50.6492          2.79247
    6      1    0.313103      0.000264709     46.9196          2.65509
    6      1    0.291174      0.000713014     43.2272          2.52174
    6      2    0.261648      0.000447644     40.9746          2.44204
    6      2    0.244481      0.000425909     37.6245          2.32658
    6      2    0.225328      0.000693514     34.3083          2.21693
    6      2     0.20567      0.000263693     31.0234          2.11447
    6      2    0.189741       0.00682398     27.7639          2.02116
    6      3    0.277134      0.000360728     45.2106          2.59298
    6      3    0.262977      0.000385388     41.8175          2.47168
    6      3    0.243172      0.000830333     38.4587          2.35494
    6      3    0.225476      0.000246253     35.1343          2.24373
    7      0    0.290994       0.00134982     46.4256          2.63068
    7      0    0.269742       0.00035828     42.7443          2.49762
    7      0    0.253285      0.000563385     39.1039          2.36959
    7      0    0.229389       0.00212179     35.5048          2.24768
    7      1    0.269854       0.00117942     40.2196          2.40838
    7      1    0.248447      0.000337521     36.6079          2.28444
    7      1    0.226543      0.000371178     33.0365          2.16768
    7      1    0.205511      0.000395955      29.501          2.05995
    7      2    0.188779      0.000521402     28.1489           2.0215
    7      2    0.172087      0.000178661     24.6462           1.9315
    7      2    0.149872      0.000145823     21.1429          1.86103
    7      2    0.128173      0.000144568     17.6002          1.82166
    7      3    0.221726      0.000363315     33.5834          2.18509
    7      3    0.203901      0.000710369     30.0429          2.07582
    7      3    0.183015      0.000161865     26.5307          1.97803
    7      3    0.161607      0.000413031     23.0312          1.89608
    8      0    0.131047      0.000301556     19.1327          1.86978
    8      0    0.116978      0.000166066     16.9021          1.85999
    8      0    0.105381        0.0001862     14.6156          1.87685
    8      0   0.0901257      8.24429e-05     12.2341          1.94032
    8      0   0.0883307      0.000209471     9.68622          2.08782
    8      1    0.142495      0.000320668     20.7836          1.88881
    8      1     0.13116      0.000303201     19.1327          1.86978
    8      1     0.12088      0.000195902     17.4639          1.86041
    8      1    0.110191      0.000131541     15.7679          1.86424
    8      1    0.108022        0.0182721     14.0313          1.88728
    9      0    0.135092      0.000173464     20.2396          1.88117
    9      0    0.120626       0.00021545     18.3063          1.86328
    9      0    0.108269      0.000198107     16.3426          1.86063
    9      0   0.0998933      6.77483e-05     14.3305          1.88092
    9      0   0.0985695      7.74288e-11     12.2412          1.93931
    9      1    0.126656      0.000583129     20.2396          1.88117
    9      1    0.116551      0.000220534     18.3063          1.86328
    9      1    0.107915      0.000237731     16.3426          1.86063
    9      1   0.0946269      8.13045e-05     14.3305          1.88092
