 *tel    csi      Z      A           Jerzy's Formula                   Par0             Par1        Par2       Par3
    3      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00427607  0.00421407     20.0274     13.8776
    3      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00427607  0.00421407     20.0274     13.8776
    3      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00427607  0.00421407     20.0274     13.8776
    3      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00525221  0.00611091     24.1959     18.5245
    3      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00525221  0.00611091     24.1959     18.5245
    3      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00525221  0.00611091     24.1959     18.5245
    4      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00821693  0.00589216     13.8051     10.3034
    4      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00821693  0.00589216     13.8051     10.3034
    4      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00821693  0.00589216     13.8051     10.3034
    4      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00764741  0.00595575     18.1017     13.9675
    4      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00764741  0.00595575     18.1017     13.9675
    4      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00764741  0.00595575     18.1017     13.9675
    4      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0083616  0.00639219     24.4435     18.7423
    4      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0083616  0.00639219     24.4435     18.7423
    4      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0083616  0.00639219     24.4435     18.7423
    4      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00915192  0.00615451      20.138     14.8974
    4      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00915192  0.00615451      20.138     14.8974
    4      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00915192  0.00615451      20.138     14.8974
    5      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00074329  0.00607158     28.2497     23.0247
    5      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00074329  0.00607158     28.2497     23.0247
    5      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00074329  0.00607158     28.2497     23.0247
    5      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00134892  0.00760298     26.3284     26.3279
    5      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00134892  0.00760298     26.3284     26.3279
    5      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00134892  0.00760298     26.3284     26.3279
    5      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00136199  0.00522501     741.564     469.069
    5      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00136199  0.00522501     741.564     469.069
    5      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00136199  0.00522501     741.564     469.069
    5      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00404199   0.0099531     807.366     807.313
    5      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00404199   0.0099531     807.366     807.313
    5      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00404199   0.0099531     807.366     807.313
    6      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00363613  0.00665344      807.28      807.28
    6      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00363613  0.00665344      807.28      807.28
    6      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00363613  0.00665344      807.28      807.28
    6      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00661843  0.00603272     32.4994     24.7218
    6      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00661843  0.00603272     32.4994     24.7218
    6      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00661843  0.00603272     32.4994     24.7218
    6      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00480777  0.00555904       43.86     33.1032
    6      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00480777  0.00555904       43.86     33.1032
    6      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00480777  0.00555904       43.86     33.1032
