 *tel    csi      Z      A           Jerzy's Formula                 NumParPar0             Par1        Par2       Par3
    3      1      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00358739  0.00775477       1.646   1.76697
    3      2      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4   0.0233803  0.00462221     1.99001   2.07586
    3      2      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4   0.0233803  0.00462221     1.99001   2.07586
    3      2      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4   0.0233803  0.00462221     1.99001   2.07586
    3      3      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00160864  0.00754934     1.65363   1.76205
    3      3      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00160864  0.00754934     1.65363   1.76205
    3      3      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00160864  0.00754934     1.65363   1.76205
    4      0      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.00280772  0.00694774    0.656817  0.717145
    4      0      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.00280772  0.00694774    0.656817  0.717145
    4      0      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.00280772  0.00694774    0.656817  0.717145
    4      1      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.00287654  0.00701664    0.579596  0.636448
    4      1      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.00287654  0.00701664    0.579596  0.636448
    4      1      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.00287654  0.00701664    0.579596  0.636448
    4      2      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.00235372  0.00796165      1.6401   1.75628
    4      2      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.00235372  0.00796165      1.6401   1.75628
    4      2      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.00235372  0.00796165      1.6401   1.75628
