 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    1         2       0.117918     0.00117918        30.1715       0.301715
    1         2       0.211397     0.00211397        45.8172       0.458172
    1         2       0.298473     0.00298473        59.8559       0.598559
    1         2       0.400217     0.00400217        75.8031       0.758031
    1         2       0.494902     0.00494902        90.1496       0.901496
    1         2       0.598207     0.00598207        105.229        1.05229
    1         2        0.70017      0.0070017        119.983        1.19983
    1         2       0.809957     0.00809957        135.481        1.35481
    1         2        0.91991      0.0091991        150.703        1.50703
    1         2        1.03113      0.0103113        165.688        1.65688
    1         2        1.14411      0.0114411        180.465        1.80465
    1         2        1.26007      0.0126007        195.062        1.95062
    1         2         1.3868       0.013868        210.459        2.10459
    1         2        1.51651      0.0151651        225.699        2.25699
    1         2        1.64761      0.0164761        240.803        2.40803
    1         2        1.78099      0.0178099        255.788        2.55788
    1         2        1.91595      0.0191595        270.671        2.70671
    1         2        2.05078      0.0205078        285.465        2.85465
    1         2        2.18685      0.0218685        300.183        3.00183
    1         2        2.33272      0.0233272        315.748        3.15748
    1         3      0.0269819    0.000269819        13.9069       0.139069
    1         3       0.109216     0.00109216        29.6344       0.296344
    1         3       0.195958     0.00195958        44.9874       0.449874
    1         3       0.282852     0.00282852        59.6022       0.596022
    1         3       0.378069     0.00378069        74.8635       0.748635
    1         3       0.472261     0.00472261         89.564        0.89564
    1         3       0.573825     0.00573825        104.941        1.04941
    1         3       0.675851     0.00675851        119.943        1.19943
    1         3       0.777497     0.00777497        134.637        1.34637
    1         3       0.880592     0.00880592        149.074        1.49074
    1         3       0.990677     0.00990677        164.302        1.64302
    1         3        1.10279      0.0110279         179.32         1.7932
    1         3        1.21669      0.0121669        194.159        1.94159
    1         3        1.34138      0.0134138        209.822        2.09822
    1         3         1.4618       0.014618        224.373        2.24373
    1         3        1.59166      0.0159166        239.775        2.39775
    1         3        1.71492      0.0171492         254.12         2.5412
    1         3        1.84905      0.0184905        269.335        2.69335
    1         3        1.98327      0.0198327        284.477        2.84477
    1         3        2.11796      0.0211796         299.56         2.9956
    1         3        2.25398      0.0225398        314.593        3.14593
    2         0      0.0297253    0.000297253        14.6455       0.146455
    2         0       0.100814     0.00100814        28.9601       0.289601
    2         0       0.178596     0.00178596        41.9486       0.419486
    2         0       0.268697     0.00268697        56.5797       0.565797
    2         0       0.360207     0.00360207        70.9539       0.709539
    2         0       0.444189     0.00444189        83.9758       0.839758
    2         0       0.542053     0.00542053        98.8338       0.988338
    2         0       0.633119     0.00633119         112.35         1.1235
    2         0       0.732105     0.00732105        126.618        1.26618
    2         0       0.829992     0.00829992        140.611        1.40611
    2         0       0.928657     0.00928657        154.352        1.54352
    2         0        1.03517      0.0103517        168.825        1.68825
    2         0         1.1374       0.011374        182.125        1.82125
    2         0        1.24775      0.0124775        196.177        1.96177
    2         0        1.36942      0.0136942        210.967        2.10967
    2         0        1.48521      0.0148521        224.669        2.24669
    2         0        1.60258      0.0160258        238.231        2.38231
    2         0        1.73058      0.0173058        252.564        2.52564
    2         0        1.85893      0.0185893        266.775        2.66775
    2         0        1.98849      0.0198849        280.883        2.80883
    2         0        2.11887      0.0211887          294.9          2.949
    2         1      0.0228025    0.000228025         12.592        0.12592
    2         1      0.0807305    0.000807305        25.7227       0.257227
    2         1        0.15399      0.0015399        40.2361       0.402361
    2         1       0.232857     0.00232857        54.4518       0.544518
    2         1       0.317982     0.00317982        68.9625       0.689625
    2         1        0.40449      0.0040449        82.9653       0.829653
    2         1       0.490276     0.00490276        96.5596       0.965596
    2         1       0.581888     0.00581888        110.817        1.10817
    2         1       0.673787     0.00673787        124.812        1.24812
    2         1       0.765754     0.00765754        138.589        1.38589
    2         1       0.858525     0.00858525        152.178        1.52178
    2         1        0.95707      0.0095707        166.495        1.66495
    2         1        1.05692      0.0105692        180.656        1.80656
    2         1        1.15807      0.0115807        194.683        1.94683
    2         1         1.2622       0.012622        208.596        2.08596
    2         1        1.36802      0.0136802        222.412        2.22412
    2         1        1.47596      0.0147596        236.146        2.36146
    2         1        1.59271      0.0159271        250.663        2.50663
    2         1        1.70437      0.0170437        264.268        2.64268
    2         1        1.82381      0.0182381        278.673        2.78673
    2         1        1.93696      0.0193696        292.194        2.92194
    2         2      0.0308442    0.000308442        13.5197       0.135197
    2         2      0.0976373    0.000976373        25.4347       0.254347
    2         2       0.169885     0.00169885          37.82         0.3782
    2         2       0.240615     0.00240615        49.7142       0.497142
    2         2       0.312953     0.00312953        61.2019       0.612019
    2         2       0.389942     0.00389942        73.2634       0.732634
    2         2        0.47375      0.0047375        85.8022       0.858022
    2         2       0.558078     0.00558078        97.9681       0.979681
    2         2       0.641271     0.00641271        109.833        1.09833
    2         2       0.724853     0.00724853        121.448        1.21448
    2         2       0.815291     0.00815291        133.656        1.33656
    2         2       0.904704     0.00904704        145.656        1.45656
    2         2        0.99651      0.0099651        157.477        1.57477
    2         2         1.0941       0.010941        169.919        1.69919
    2         2        1.18775      0.0118775        181.446        1.81446
    2         2        1.28936      0.0128936        193.618        1.93618
    2         2        1.39302      0.0139302        205.679        2.05679
    2         2        1.49883      0.0149883        217.644        2.17644
    2         2        1.60613      0.0160613        229.528        2.29528
    2         2        1.71495      0.0171495        241.342        2.41342
    2         3      0.0247611    0.000247611         11.996        0.11996
    2         3      0.0880071    0.000880071        25.9186       0.259186
    2         3       0.165606     0.00165606        40.2585       0.402585
    2         3       0.250972     0.00250972        54.3586       0.543586
    2         3       0.341547     0.00341547        68.9198       0.689198
    2         3       0.426422     0.00426422        82.1644       0.821644
    2         3       0.523437     0.00523437        96.9008       0.969008
    2         3        0.61523      0.0061523        110.423        1.10423
    2         3       0.711927     0.00711927        124.561        1.24561
    2         3       0.808708     0.00808708        138.434        1.38434
    2         3       0.912935     0.00912935        152.914        1.52914
    2         3        1.01114      0.0101114        166.324        1.66324
    2         3        1.11807      0.0111807        180.366        1.80366
    2         3        1.22623      0.0122623         194.22         1.9422
    2         3        1.34317      0.0134317         208.71         2.0871
    2         3        1.45621      0.0145621        222.246        2.22246
    2         3         1.5792       0.015792        236.442        2.36442
    2         3        1.70273      0.0170273        250.514        2.50514
    2         3        1.82768      0.0182768        264.479        2.64479
    2         3        1.95395      0.0195395        278.352        2.78352
    2         3        2.08711      0.0208711         292.91         2.9291
    3         0      0.0262482    0.000262482        14.3564       0.143564
    3         0      0.0740928    0.000740928        24.8838       0.248838
    3         0       0.139113     0.00139113        36.7351       0.367351
    3         0       0.203016     0.00203016        47.4001       0.474001
    3         0       0.272197     0.00272197        58.4845       0.584845
    3         0       0.343143     0.00343143        69.2571       0.692571
    3         0       0.418583     0.00418583        80.6542       0.806542
    3         0       0.495593     0.00495593        91.7652       0.917652
    3         0       0.571389     0.00571389        102.683        1.02683
    3         0       0.647027     0.00647027        113.419        1.13419
    3         0       0.729862     0.00729862        124.799        1.24799
    3         0       0.805362     0.00805362        135.212        1.35212
    3         0       0.888552     0.00888552        146.274        1.46274
    3         0       0.977228     0.00977228         157.97         1.5797
    3         0        1.06031      0.0106031        168.753        1.68753
    3         0        1.14553      0.0114553        179.421        1.79421
    3         0        1.23809      0.0123809        190.736        1.90736
    3         0         1.3325       0.013325        201.944        2.01944
    3         0        1.42171      0.0142171        212.318        2.12318
    3         0        1.51892      0.0151892         223.35         2.2335
    3         0        1.61755      0.0161755        234.305        2.34305
    3         0        1.72507      0.0172507        245.915        2.45915
    3         1      0.0336156    0.000336156        16.1597       0.161597
    3         1      0.0894937    0.000894937        26.7383       0.267383
    3         1       0.142086     0.00142086        36.7222       0.367222
    3         1       0.195774     0.00195774        46.2196       0.462196
    3         1       0.259234     0.00259234        56.9359       0.569359
    3         1       0.317182     0.00317182        66.4092       0.664092
    3         1       0.381139     0.00381139        76.2871       0.762871
    3         1       0.449161     0.00449161        86.4801       0.864801
    3         1       0.517587     0.00517587        96.3455       0.963455
    3         1       0.591121     0.00591121         106.61         1.0661
    3         1       0.664331     0.00664331         116.62         1.1662
    3         1        0.73798      0.0073798        126.418        1.26418
    3         1       0.815619     0.00815619        136.678        1.36678
    3         1       0.894931     0.00894931        146.773        1.46773
    3         1       0.973904     0.00973904        156.731        1.56731
    3         1        1.05313      0.0105313        166.576        1.66576
    3         1        1.13863      0.0113863        176.933        1.76933
    3         1        1.22196      0.0122196        186.601        1.86601
    3         1        1.31075      0.0131075        196.801        1.96801
    3         1        1.40091      0.0140091        206.942        2.06942
    3         1        1.48708      0.0148708        216.441        2.16441
    3         2      0.0286013    0.000286013        15.6828       0.156828
    3         2       0.064989     0.00064989        25.3934       0.253934
    3         2       0.105338     0.00105338        35.4089       0.354089
    3         2       0.147354     0.00147354        45.7482       0.457482
    3         2       0.190473     0.00190473        55.6182       0.556182
    3         2        0.23769      0.0023769        65.8963       0.658963
    3         2       0.283716     0.00283716        75.8152       0.758152
    3         2       0.330401     0.00330401        85.3815       0.853815
    3         2       0.381424     0.00381424        95.4069       0.954069
    3         2       0.434759     0.00434759        105.888        1.05888
    3         2       0.485625     0.00485625        115.476        1.15476
    3         2        0.53886      0.0053886        125.576        1.25576
    3         2       0.593421     0.00593421        135.529        1.35529
    3         2       0.647652     0.00647652         145.36         1.4536
    3         2       0.704833     0.00704833        155.736        1.55736
    3         2       0.758903     0.00758903        165.378        1.65378
    3         2       0.816154     0.00816154        175.587        1.75587
    3         2       0.874845     0.00874845        185.732        1.85732
    3         2       0.932152     0.00932152        195.825        1.95825
    3         2       0.990959     0.00990959        205.877        2.05877
    3         2        1.04908      0.0104908        215.897        2.15897
    3         2        1.10929      0.0110929        225.891        2.25891
    3         3       0.022973     0.00022973        13.6756       0.136756
    3         3      0.0769661    0.000769661        25.1899       0.251899
    3         3       0.142397     0.00142397        36.9652       0.369652
    3         3       0.206932     0.00206932        47.8038       0.478038
    3         3       0.270751     0.00270751        58.1327       0.581327
    3         3       0.348271     0.00348271        69.8816       0.698816
    3         3        0.41827      0.0041827        80.3438       0.803438
    3         3       0.495859     0.00495859        91.2799       0.912799
    3         3        0.57824      0.0057824        102.735        1.02735
    3         3       0.660188     0.00660188        113.901        1.13901
    3         3       0.743682     0.00743682        124.825        1.24825
    3         3       0.825981     0.00825981        135.542        1.35542
    3         3       0.914954     0.00914954        146.831        1.46831
    3         3         1.0048       0.010048        157.948        1.57948
    3         3        1.09582      0.0109582        168.919        1.68919
    3         3        1.18775      0.0118775        179.765        1.79765
    3         3        1.28154      0.0128154        190.505        1.90505
    3         3        1.38483      0.0138483         201.86         2.0186
    3         3        1.48251      0.0148251        212.426        2.12426
    3         3        1.58798      0.0158798        223.625        2.23625
    3         3        1.69469      0.0169469        234.761        2.34761
    3         3        1.80325      0.0180325        245.845        2.45845
    4         0      0.0141645    0.000141645        10.3273       0.103273
    4         0      0.0583159    0.000583159         21.484        0.21484
    4         0       0.108846     0.00108846        32.2607       0.322607
    4         0       0.169218     0.00169218        43.4764       0.434764
    4         0       0.234128     0.00234128        54.7667       0.547667
    4         0       0.299315     0.00299315        65.6137       0.656137
    4         0       0.368252     0.00368252        76.8899       0.768899
    4         0        0.43816      0.0043816        87.7721       0.877721
    4         0       0.508058     0.00508058        98.3868       0.983868
    4         0       0.581654     0.00581654        109.443        1.09443
    4         0       0.660644     0.00660644         120.93         1.2093
    4         0       0.735038     0.00735038        131.528        1.31528
    4         0       0.813515     0.00813515        142.588        1.42588
    4         0       0.892434     0.00892434        153.466        1.53466
    4         0       0.976699     0.00976699         164.81         1.6481
    4         0        1.06055      0.0106055        175.997        1.75997
    4         0        1.14179      0.0114179        186.435        1.86435
    4         0        1.23435      0.0123435        197.973        1.97973
    4         0        1.32278      0.0132278        208.794        2.08794
    4         0        1.41334      0.0141334        219.522        2.19522
    4         0        1.50976      0.0150976        230.757        2.30757
    4         1      0.0198815    0.000198815        11.4813       0.114813
    4         1      0.0638974    0.000638974        22.7223       0.227223
    4         1       0.113147     0.00113147        33.1574       0.331574
    4         1       0.172518     0.00172518        44.2475       0.442475
    4         1       0.236301     0.00236301        55.2827       0.552827
    4         1       0.306304     0.00306304         66.607        0.66607
    4         1       0.376561     0.00376561        77.5457       0.775457
    4         1         0.4522       0.004522         88.968        0.88968
    4         1       0.521636     0.00521636         99.385        0.99385
    4         1        0.59684      0.0059684        110.431        1.10431
    4         1       0.672234     0.00672234        121.329        1.21329
    4         1        0.75295      0.0075295        132.861        1.32861
    4         1        0.82779      0.0082779        143.504        1.43504
    4         1       0.908892     0.00908892        154.792        1.54792
    4         1       0.990379     0.00990379        165.972        1.65972
    4         1        1.06626      0.0106626        176.319        1.76319
    4         1        1.14918      0.0114918        187.319        1.87319
    4         1        1.23945      0.0123945        198.964        1.98964
    4         1         1.3251       0.013251        209.807        2.09807
    4         1        1.41273      0.0141273        220.585        2.20585
    4         1        1.50111      0.0150111        231.305        2.31305
    4         1        1.59676      0.0159676        242.683        2.42683
    4         2       0.021394     0.00021394        10.5461       0.105461
    4         2      0.0751993    0.000751993        22.1629       0.221629
    4         2       0.139836     0.00139836        34.3845       0.343845
    4         2       0.209582     0.00209582         46.365        0.46365
    4         2       0.287674     0.00287674        58.5045       0.585045
    4         2       0.365019     0.00365019        70.0751       0.700751
    4         2       0.448775     0.00448775        82.1216       0.821216
    4         2       0.538451     0.00538451        94.6451       0.946451
    4         2       0.629263     0.00629263        106.849        1.06849
    4         2         0.7187       0.007187        118.793        1.18793
    4         2       0.809068     0.00809068        130.518        1.30518
    4         2       0.906227     0.00906227        142.872        1.42872
    4         2       0.996534     0.00996534        154.236        1.54236
    4         2        1.09552      0.0109552        166.255        1.66255
    4         2        1.20256      0.0120256         178.92         1.7892
    4         2        1.30453      0.0130453        190.665        1.90665
    4         2        1.40933      0.0140933        202.303        2.02303
    4         2         1.5236       0.015236        214.611        2.14611
    4         2        1.63827      0.0163827        226.826        2.26826
    4         2        1.75532      0.0175532        238.958        2.38958
    4         3      0.0206936    0.000206936        10.9261       0.109261
    4         3      0.0638059    0.000638059        20.9851       0.209851
    4         3       0.115041     0.00115041        31.5289       0.315289
    4         3       0.171887     0.00171887         41.867        0.41867
    4         3       0.227552     0.00227552        51.5091       0.515091
    4         3       0.288643     0.00288643        61.5453       0.615453
    4         3        0.35036      0.0035036        71.2537       0.712537
    4         3       0.416127     0.00416127        81.4313       0.814313
    4         3       0.483143     0.00483143        91.2975       0.912975
    4         3       0.554821     0.00554821        101.679        1.01679
    4         3       0.625878     0.00625878        111.836        1.11836
    4         3       0.697567     0.00697567        121.798        1.21798
    4         3        0.76874      0.0076874        131.589        1.31589
    4         3       0.845731     0.00845731        141.911        1.41911
    4         3       0.917216     0.00917216        151.403        1.51403
    4         3       0.994681     0.00994681         161.44         1.6144
    4         3        1.07195      0.0107195        171.352        1.71352
    4         3        1.15658      0.0115658        181.802        1.81802
    4         3        1.23723      0.0123723        191.496        1.91496
    4         3        1.32411      0.0132411        201.738        2.01738
    4         3        1.41245      0.0141245        211.889        2.11889
    4         3         1.5026       0.015026         221.96         2.2196
    5         0      0.0250537    0.000250537        14.9686       0.149686
    5         0      0.0765171    0.000765171        25.4756       0.254756
    5         0       0.135778     0.00135778        36.3537       0.363537
    5         0       0.199561     0.00199561        47.2469       0.472469
    5         0       0.268515     0.00268515        58.4405       0.584405
    5         0       0.338123     0.00338123         69.252        0.69252
    5         0       0.411494     0.00411494         80.494        0.80494
    5         0       0.486137     0.00486137        91.3734       0.913734
    5         0       0.564906     0.00564906        102.697        1.02697
