 *tel    numcsi         Z         A           CsIV        errCsIV           CsIE       errCsIE
    0         0         1         1      0.0344648              0        5.84678              0
    0         0         1         1       0.105225              0        15.5619              0
    0         0         1         1       0.169954              0         25.805              0
    0         0         1         1        0.22924              0        35.5211              0
    0         0         1         1       0.287328              0        45.6455              0
    0         0         1         1        0.34312              0        55.5091              0
    0         0         1         1       0.398917              0        65.6836              0
    0         0         1         1       0.450292              0        75.5022              0
    0         1         1         1      0.0357273              0        5.99478              0
    0         1         1         1       0.106868              0        15.8588              0
    0         1         1         1       0.169816              0        25.8016              0
    0         1         1         1       0.231112              0        35.6245              0
    0         1         1         1       0.292445              0        45.8143              0
    0         1         1         1       0.350727              0        55.7228              0
    0         1         1         1       0.408086              0        65.9383              0
    0         1         1         1       0.462623              0        75.7992              0
    0         2         1         1      0.0348195              0         5.8146              0
    0         2         1         1       0.109157              0        15.8414              0
    0         2         1         1       0.177084              0        25.9483              0
    0         2         1         1       0.243033              0         35.976              0
    0         2         1         1       0.304014              0        45.8191              0
    0         2         1         1        0.36239              0        55.4099              0
    0         2         1         1       0.423872              0        65.9552              0
    0         2         1         1       0.479286              0        75.5755              0
    0         3         1         1      0.0321746              0        5.81169              0
    0         3         1         1        0.10597              0        15.5623              0
    0         3         1         1       0.174157              0        25.5568              0
    0         3         1         1       0.237854              0        35.5371              0
    0         3         1         1       0.300717              0        45.9584              0
    0         3         1         1        0.35777              0        55.4886              0
    0         3         1         1        0.41771              0        65.9878              0
    0         3         1         1       0.470304              0        75.4557              0
    1         0         1         1      0.0374951              0        5.94945              0
    1         0         1         1       0.109153              0        15.5563              0
    1         0         1         1       0.175452              0        25.5818              0
    1         0         1         1       0.238388              0         35.564              0
    1         0         1         1       0.301353              0        45.8778              0
    1         0         1         1       0.361328              0        55.8691              0
    1         0         1         1       0.417274              0        65.4731              0
    1         0         1         1       0.476939              0        75.8791              0
    1         1         1         1      0.0333099              0        5.89877              0
    1         1         1         1       0.101366              0        15.5203              0
    1         1         1         1       0.166805              0        25.6164              0
    1         1         1         1       0.230378              0        35.5625              0
    1         1         1         1       0.292425              0        45.8551              0
    1         1         1         1       0.352349              0        55.8938              0
    1         1         1         1       0.408318              0         65.633              0
    1         1         1         1       0.463806              0        75.6666              0
    1         2         1         1      0.0344103              0        5.62492              0
    1         2         1         1        0.11044              0        15.7284              0
    1         2         1         1       0.178316              0        25.9855              0
    1         2         1         1       0.239842              0        35.6254              0
    1         2         1         1       0.302181              0        45.6652              0
    1         2         1         1       0.360568              0        55.4733              0
    1         2         1         1       0.418675              0        65.6357              0
    1         2         1         1       0.473284              0        75.4961              0
    1         3         1         1      0.0308617              0        5.78142              0
    1         3         1         1        0.10193              0        15.5748              0
    1         3         1         1       0.167491              0        25.4643              0
    1         3         1         1       0.232526              0        35.9052              0
    1         3         1         1       0.290004              0        45.6113              0
    1         3         1         1       0.348695              0         55.709              0
    1         3         1         1       0.403318              0        65.5361              0
    1         3         1         1       0.457449              0        75.7233              0
    2         0         1         1      0.0334029              0        5.56344              0
    2         0         1         1       0.104309              0        15.7878              0
    2         0         1         1       0.167964              0        25.7818              0
    2         0         1         1       0.227072              0        35.5938              0
    2         0         1         1       0.286407              0        45.6646              0
    2         0         1         1       0.346389              0        55.9505              0
    2         0         1         1       0.401677              0        65.8088              0
    2         0         1         1       0.458463              0        75.8294              0
    2         1         1         1      0.0359232              0        5.96501              0
    2         1         1         1       0.103577              0        15.9543              0
    2         1         1         1       0.162429              0        25.8444              0
    2         1         1         1       0.216769              0        35.7448              0
    2         1         1         1       0.268165              0         45.429              0
    2         1         1         1        0.31922              0        55.4972              0
    2         1         1         1        0.37154              0          65.93              0
    2         1         1         1       0.418854              0        75.9383              0
    2         2         1         1      0.0333671              0        5.77089              0
    2         2         1         1       0.105934              0        15.7464              0
    2         2         1         1       0.174687              0        25.8798              0
    2         2         1         1        0.23826              0         35.948              0
    2         2         1         1        0.29964              0        45.8099              0
    2         2         1         1       0.360516              0         55.985              0
    2         2         1         1       0.417718              0        65.8362              0
    2         2         1         1       0.474922              0        75.9498              0
    2         3         1         1      0.0378619              0        5.97089              0
    2         3         1         1       0.108332              0        15.9801              0
    2         3         1         1       0.169236              0        25.9002              0
    2         3         1         1       0.227922              0        35.7032              0
    2         3         1         1       0.285575              0        45.8307              0
    2         3         1         1       0.340314              0        55.5719              0
    2         3         1         1       0.395443              0          65.53              0
    2         3         1         1       0.449337              0        75.6944              0
    3         0         1         1      0.0385602              0        5.91945              0
    3         0         1         1       0.111091              0        15.8775              0
    3         0         1         1       0.172201              0        25.5668              0
    3         0         1         1        0.23498              0        35.6775              0
    3         0         1         1       0.294809              0        45.5094              0
    3         0         1         1       0.354705              0        55.5722              0
    3         0         1         1       0.413845              0        65.8453              0
    3         0         1         1       0.470988              0        75.6972              0
    3         1         1         1      0.0425638              0        5.94518              0
    3         1         1         1       0.113703              0        15.6524              0
    3         1         1         1       0.178474              0        25.5307              0
    3         1         1         1       0.244828              0         35.939              0
    3         1         1         1       0.302448              0        45.5244              0
    3         1         1         1       0.365278              0        55.9797              0
    3         1         1         1       0.419858              0         65.399              0
    3         1         1         1       0.478886              0        75.6208              0
    3         2         1         1      0.0261262              0        5.88602              0
    3         2         1         1      0.0773659              0        15.6843              0
    3         2         1         1       0.125217              0        25.6743              0
    3         2         1         1       0.169939              0        35.6842              0
    3         2         1         1       0.213546              0        45.5882              0
    3         2         1         1       0.256702              0        55.8822              0
    3         2         1         1       0.296713              0        65.9572              0
    3         2         1         1       0.335262              0         75.754              0
    3         3         1         1       0.038913              0        5.77181              0
    3         3         1         1       0.112151              0        15.8589              0
    3         3         1         1         0.1735              0         25.615              0
    3         3         1         1        0.23685              0        35.7833              0
    3         3         1         1       0.297081              0         45.695              0
    3         3         1         1       0.357559              0        55.8814              0
    3         3         1         1       0.413497              0        65.7123              0
    3         3         1         1       0.471062              0        75.7785              0
    4         0         1         1      0.0326197              0        5.70673              0
    4         0         1         1       0.100551              0        15.9168              0
    4         0         1         1       0.159954              0        25.5931              0
    4         0         1         1       0.219242              0        35.6026              0
    4         0         1         1       0.278943              0        45.8621              0
    4         0         1         1        0.33408              0        55.6788              0
    4         0         1         1       0.389706              0        65.6759              0
    4         0         1         1       0.445606              0        75.8489              0
    4         1         1         1      0.0327165              0        5.56656              0
    4         1         1         1       0.102412              0        15.6159              0
    4         1         1         1       0.167118              0        25.9154              0
    4         1         1         1       0.223988              0         35.432              0
    4         1         1         1       0.284608              0        45.7551              0
    4         1         1         1       0.342389              0        55.5986              0
    4         1         1         1       0.399937              0        65.5283              0
    4         1         1         1       0.457608              0        75.5225              0
    4         2         1         1      0.0369378              0        5.75069              0
    4         2         1         1       0.116119              0        15.9942              0
    4         2         1         1       0.184052              0        25.9938              0
    4         2         1         1       0.248739              0        35.9182              0
    4         2         1         1       0.309327              0         45.552              0
    4         2         1         1       0.369237              0        55.4975              0
    4         2         1         1        0.42917              0        65.7341              0
    4         2         1         1        0.48559              0         75.493              0
    4         3         1         1      0.0365524              0        5.92057              0
    4         3         1         1       0.107866              0        15.6818              0
    4         3         1         1       0.173952              0        25.7255              0
    4         3         1         1       0.234544              0        35.6227              0
    4         3         1         1       0.295896              0        45.8497              0
    4         3         1         1       0.353385              0        55.6336              0
    4         3         1         1       0.409948              0        65.6172              0
    4         3         1         1       0.467716              0        75.7828              0
