 *tel    numcsi           CsIV        errCsIV           CsIE       errCsIE
    0         0      0.0344648              0        5.84678              0
    0         0      0.0916457              0        13.5152              0
    0         0       0.145931              0        21.9438              0
    0         0       0.201264              0        30.8936              0
    0         0        0.26019              0        40.8339              0
    0         0       0.314977              0        50.5378              0
    0         0       0.371227              0        60.5576              0
    0         0       0.426184              0        70.8862              0
    0         1      0.0357273              0        5.99478              0
    0         1      0.0907733              0        13.7242              0
    0         1        0.14502              0        21.8739              0
    0         1       0.202817              0        30.9541              0
    0         1       0.263177              0        40.9753              0
    0         1       0.321806              0        50.7302              0
    0         1       0.379173              0        60.7918              0
    0         1       0.433776              0        70.5054              0
    0         2      0.0348195              0         5.8146              0
    0         2      0.0946633              0        13.7837              0
    0         2       0.148168              0        21.6291              0
    0         2       0.210145              0        30.9103              0
    0         2       0.271633              0        40.5637              0
    0         2       0.333435              0        50.5745              0
    0         2       0.394602              0        60.9462              0
    0         2       0.449796              0         70.407              0
    0         3      0.0321746              0        5.81169              0
    0         3      0.0944084              0        13.9643              0
    0         3       0.148248              0        21.5927              0
    0         3       0.207512              0        30.7819              0
    0         3       0.267569              0        40.3896              0
    0         3       0.327157              0        50.3676              0
    0         3       0.388146              0        60.6952              0
    0         3       0.443626              0        70.6887              0
    1         0      0.0374951              0        5.94945              0
    1         0      0.0953068              0        13.5413              0
    1         0       0.151434              0        21.8142              0
    1         0       0.206501              0        30.5256              0
    1         0       0.270004              0        40.6843              0
    1         0       0.329441              0        50.5511              0
    1         0       0.389577              0        60.6475              0
    1         0       0.448495              0        70.9566              0
    1         1      0.0333099              0        5.89877              0
    1         1      0.0911623              0        13.9681              0
    1         1       0.142428              0        21.8459              0
    1         1        0.19859              0        30.5454              0
    1         1       0.261569              0         40.666              0
    1         1       0.320401              0        50.5401              0
    1         1       0.380643              0        60.7273              0
    1         1       0.435714              0        70.6121              0
    1         2      0.0344103              0        5.62492              0
    1         2      0.0940749              0        13.6472              0
    1         2       0.149117              0        21.5958              0
    1         2       0.207805              0        30.4708              0
    1         2       0.272538              0        40.8917              0
    1         2       0.331668              0        50.5254              0
    1         2       0.389277              0        60.5094              0
    1         2       0.448094              0        70.8536              0
    1         3      0.0308617              0        5.78142              0
    1         3      0.0911224              0        13.9853              0
    1         3       0.142329              0         21.549              0
    1         3       0.199566              0        30.6197              0
    1         3       0.261487              0        40.7093              0
    1         3       0.319126              0        50.6109              0
    1         3       0.378069              0        60.9059              0
    1         3       0.431903              0        70.9235              0
    2         0      0.0334029              0        5.56344              0
    2         0      0.0902998              0        13.6469              0
    2         0       0.143082              0        21.8365              0
    2         0       0.199619              0          30.94              0
    2         0       0.258149              0        40.8968              0
    2         0       0.314804              0        50.4797              0
    2         0       0.373964              0        60.8588              0
    2         0       0.429935              0        70.7991              0
    2         1      0.0359232              0        5.96501              0
    2         1      0.0892503              0        13.6181              0
    2         1       0.136796              0        21.4204              0
    2         1       0.187515              0        30.3983              0
    2         1       0.242714              0         40.537              0
    2         1        0.29345              0        50.4166              0
    2         1       0.345375              0        60.6685              0
    2         1       0.393636              0        70.5109              0
    2         2      0.0333671              0        5.77089              0
    2         2       0.091733              0        13.6897              0
    2         2       0.145729              0        21.5447              0
    2         2        0.20669              0        30.8626              0
    2         2       0.266888              0        40.5486              0
    2         2       0.328584              0        50.5601              0
    2         2       0.388752              0        60.8775              0
    2         2       0.446695              0        70.8601              0
    2         3      0.0378619              0        5.97089              0
    2         3      0.0940251              0        13.7528              0
    2         3       0.143979              0        21.7402              0
    2         3        0.19849              0        30.7559              0
    2         3       0.256965              0        40.7308              0
    2         3       0.314544              0        50.9979              0
    2         3       0.369896              0        60.8566              0
    2         3       0.424039              0        70.9257              0
    3         0      0.0385602              0        5.91945              0
    3         0      0.0957357              0        13.8039              0
    3         0       0.147885              0        21.7387              0
    3         0       0.204175              0        30.5788              0
    3         0       0.266281              0        40.8521              0
    3         0       0.326783              0        50.8095              0
    3         0       0.385765              0        60.9854              0
    3         0       0.442403              0        70.7493              0
    3         1      0.0425638              0        5.94518              0
    3         1      0.0992694              0        13.5456              0
    3         1       0.152843              0        21.6171              0
    3         1       0.211833              0        30.6784              0
    3         1       0.273551              0        40.6975              0
    3         1       0.332017              0        50.4129              0
