 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1       414       0.5       0.343039     0.00343039          53.6504       0.536504        3.26821      0.0326821
    5    0    1    1       419       0.5       0.347936     0.00347936          54.4816       0.544816        3.23117      0.0323117
    5    0    1    1       424       0.5       0.352817     0.00352817          55.3142       0.553142        3.19504      0.0319504
    5    0    1    1       429       0.5       0.357685     0.00357685          56.1483       0.561483        3.15977      0.0315977
    5    0    1    1       434       0.5       0.362545     0.00362545          56.9838       0.569838        3.12534      0.0312534
    5    0    1    1       439       0.5       0.367399     0.00367399          57.8208       0.578208        3.09171      0.0309171
    5    0    1    1       444       0.5       0.372253     0.00372253          58.6592       0.586592        3.05887      0.0305887
    5    0    1    1       449       0.5       0.377111     0.00377111          59.4991       0.594991        3.02678      0.0302678
    5    0    1    1       454       0.5       0.381976     0.00381976          60.3404       0.603404        2.99542      0.0299542
    5    0    1    1       459       0.5       0.386852     0.00386852          61.1831       0.611831        2.96476      0.0296476
    5    0    1    1       464       0.5       0.391744     0.00391744          62.0272       0.620272        2.93479      0.0293479
    5    0    1    1       469       0.5       0.396654     0.00396654          62.8728       0.628728        2.90547      0.0290547
    5    0    1    1       474       0.5       0.401585     0.00401585          63.7198       0.637198         2.8768       0.028768
    5    0    1    1       479       0.5       0.406532     0.00406532          64.5682       0.645682        2.84874      0.0284874
    5    0    1    1       484       0.5       0.411494     0.00411494          65.4179       0.654179        2.82128      0.0282128
    5    0    1    1       489       0.5       0.416467     0.00416467           66.269        0.66269         2.7944       0.027944
    5    0    1    1       494       0.5       0.421448     0.00421448          67.1216       0.671216        2.76808      0.0276808
    5    0    1    1       499       0.5       0.426435     0.00426435          67.9755       0.679755        2.74231      0.0274231
    5    0    1    1       504       0.5       0.431426     0.00431426          68.8308       0.688308        2.71706      0.0271706
    5    0    1    1       509       0.5       0.436417     0.00436417          69.6874       0.696874        2.69233      0.0269233
    5    0    1    1       514       0.5       0.441405     0.00441405          70.5454       0.705454        2.66809      0.0266809
    5    0    1    1       519       0.5       0.446388     0.00446388          71.4047       0.714047        2.64434      0.0264434
    5    0    1    1       524       0.5       0.451366     0.00451366          72.2655       0.722655        2.62105      0.0262105
    5    0    1    1       529       0.5       0.456339     0.00456339          73.1276       0.731276        2.59822      0.0259822
    5    0    1    1       534       0.5       0.461308     0.00461308          73.9912       0.739912        2.57584      0.0257584
    5    0    1    1       539       0.5       0.466275     0.00466275          74.8561       0.748561        2.55388      0.0255388
    5    0    1    1       544       0.5       0.471241     0.00471241          75.7224       0.757224        2.53233      0.0253233
    5    0    1    1       549       0.5       0.476205     0.00476205          76.5901       0.765901         2.5112       0.025112
    5    0    1    1       554       0.5        0.48117      0.0048117          77.4592       0.774592        2.49045      0.0249045
    5    0    1    1       559       0.5       0.486137     0.00486137          78.3296       0.783296        2.47009      0.0247009
    5    0    1    1       564       0.5       0.491105     0.00491105          79.2014       0.792014         2.4501       0.024501
    5    0    1    1       569       0.5       0.496077     0.00496077          80.0744       0.800744        2.43048      0.0243048
    5    0    1    1       574       0.5        0.50105      0.0050105          80.9488       0.809488        2.41121      0.0241121
    5    0    1    1       579       0.5       0.506022     0.00506022          81.8245       0.818245        2.39228      0.0239228
    5    0    1    1       584       0.5       0.510991     0.00510991          82.7016       0.827016        2.37369      0.0237369
