      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         0         0         1         3           0.0180333             6.52639
         0         0         1         3            0.010194             5.60778
         0         0         1         3          0.00761818             5.46122
         0         0         1         3          0.00610612             5.35334
         0         0         1         3          0.00512636             5.26964
         0         0         1         3          0.00444049             5.19445
         0         0         1         3          0.00393308             5.12233
         0         0         1         3          0.00354212             5.05166
         0         0         1         3          0.00323135             4.98173
         0         0         1         3          0.00297818             4.91277
         0         0         1         3          0.00276785             4.84396
         0         0         1         3          0.00259021             4.77695
         0         0         1         3          0.00243811             4.71042
         0         0         1         3          0.00230638             4.64454
         0         0         1         3          0.00219113             4.57994
         0         0         1         3          0.00208942             4.51618
         0         0         1         3          0.00199898             4.45409
         0         0         1         3          0.00191802             4.39189
         0         0         1         3           0.0018451             4.33134
         0         0         1         3          0.00177909              4.2716
         0         1         1         3           0.0201201             5.79814
         0         1         1         3           0.0108184             5.32516
         0         1         1         3          0.00796414              5.2925
         0         1         1         3          0.00635502             5.22842
         0         1         1         3          0.00531841             5.17078
         0         1         1         3           0.0045961             5.11382
         0         1         1         3          0.00406365             5.05614
         0         1         1         3          0.00365448              4.9967
         0         1         1         3          0.00332994             4.93606
         0         1         1         3          0.00306602              4.8749
         0         1         1         3          0.00284705             4.81214
         0         1         1         3          0.00266233             4.74918
         0         1         1         3          0.00250433             4.68677
         0         1         1         3          0.00236759             4.62341
         0         1         1         3          0.00224805             4.56098
         0         1         1         3          0.00214263             4.49823
         0         1         1         3          0.00204894             4.43677
         0         1         1         3           0.0019651             4.37611
         0         1         1         3          0.00188963             4.31521
         0         1         1         3          0.00182133             4.25591
         0         2         1         3           0.0196104             5.94763
         0         2         1         3           0.0109396             5.51712
         0         2         1         3          0.00813126             5.50138
         0         2         1         3          0.00652788             5.44466
         0         2         1         3          0.00548231             5.39044
         0         2         1         3          0.00474822             5.33421
         0         2         1         3          0.00420426             5.27521
         0         2         1         3          0.00378467             5.21306
         0         2         1         3           0.0034509             5.14869
         0         2         1         3          0.00317885             5.08222
         0         2         1         3          0.00295269             5.01449
         0         2         1         3          0.00276164             4.94561
         0         2         1         3          0.00259801             4.87609
         0         2         1         3          0.00245623             4.80727
         0         2         1         3          0.00233217             4.73746
         0         2         1         3          0.00222267             4.66821
         0         2         1         3          0.00212527             4.59888
         0         2         1         3          0.00203807             4.53103
         0         2         1         3          0.00195952             4.46384
         0         2         1         3          0.00188838              4.3966
         0         3         1         3           0.0190879             5.81365
         0         3         1         3           0.0105289             5.28801
         0         3         1         3          0.00780594             5.20437
         0         3         1         3          0.00624245             5.10978
         0         3         1         3          0.00523234             5.03324
         0         3         1         3          0.00452684             4.96462
         0         3         1         3          0.00400587             4.89974
         0         3         1         3          0.00360499             4.83583
         0         3         1         3          0.00328667             4.77295
         0         3         1         3           0.0030276             4.71096
         0         3         1         3           0.0028125             4.64851
         0         3         1         3          0.00263094             4.58659
         0         3         1         3          0.00247557             4.52552
         0         3         1         3          0.00234106             4.46457
         0         3         1         3          0.00222342             4.40483
         0         3         1         3          0.00211964             4.34469
         0         3         1         3          0.00202738             4.28655
         0         3         1         3          0.00194481             4.22838
         0         3         1         3          0.00187046             4.17086
         0         3         1         3          0.00180316             4.11436
         1         0         1         3           0.0186203             6.61926
         1         0         1         3           0.0105954             5.68972
         1         0         1         3           0.0079228             5.57942
         1         0         1         3          0.00636852             5.49747
         1         0         1         3          0.00535415               5.441
         1         0         1         3          0.00464113             5.39288
         1         0         1         3          0.00411227             5.34821
         1         0         1         3          0.00370399             5.30435
         1         0         1         3            0.003379             5.26084
         1         0         1         3          0.00311397             5.21701
         1         0         1         3          0.00289357             5.17308
         1         0         1         3          0.00270729             5.12957
         1         0         1         3           0.0025477             5.08623
         1         0         1         3          0.00240939             5.04295
         1         0         1         3          0.00228834             4.99971
         1         0         1         3          0.00218147             4.95671
         1         0         1         3           0.0020864              4.9137
         1         0         1         3          0.00200127              4.8723
         1         0         1         3          0.00192457              4.8298
         1         0         1         3           0.0018551             4.78836
         1         1         1         3            0.019907             5.97391
         1         1         1         3           0.0109419             5.57319
         1         1         1         3          0.00810046             5.59057
         1         1         1         3          0.00648874             5.55567
         1         1         1         3          0.00544218             5.51686
         1         1         1         3           0.0047094             5.47219
         1         1         1         3          0.00416744             5.42253
         1         1         1         3          0.00374998              5.3684
         1         1         1         3          0.00341825             5.31027
         1         1         1         3           0.0031481             5.24893
         1         1         1         3          0.00292368             5.18559
         1         1         1         3           0.0027342             5.12094
         1         1         1         3          0.00257199             5.05527
         1         1         1         3          0.00243151             4.98894
         1         1         1         3          0.00230863             4.92174
         1         1         1         3           0.0022002             4.85522
         1         1         1         3          0.00210378             4.78781
         1         1         1         3          0.00201748               4.722
         1         1         1         3          0.00193976             4.65554
         1         1         1         3          0.00186938             4.58977
         1         2         1         3           0.0199365             5.98469
         1         2         1         3           0.0110555             5.50168
         1         2         1         3          0.00820215              5.4615
         1         2         1         3          0.00658293             5.39053
         1         2         1         3          0.00552707             5.32564
         1         2         1         3          0.00478592             5.26124
         1         2         1         3          0.00423683             5.19601
         1         2         1         3          0.00381337             5.12935
         1         2         1         3          0.00347657             5.06085
         1         2         1         3          0.00320208             4.99102
         1         2         1         3          0.00297392              4.9215
         1         2         1         3           0.0027812             4.85099
         1         2         1         3          0.00261614             4.78024
         1         2         1         3          0.00247315             4.71019
         1         2         1         3          0.00234802             4.63967
         1         2         1         3          0.00223759             4.57035
         1         2         1         3          0.00213937             4.50119
         1         2         1         3          0.00205143             4.43357
         1         2         1         3          0.00197221             4.36628
         1         2         1         3          0.00190048             4.29973
         1         3         1         3           0.0187558             5.79189
         1         3         1         3           0.0105734             5.36381
         1         3         1         3          0.00788569              5.3074
         1         3         1         3          0.00632862             5.21666
