 *tel    numcsi      CsIV        errCsIV           CsIE       errCsIE
    2         0       0.199619              0         31.563              0
    2         0       0.286407              0        43.8187              0
    2         0       0.373964              0        56.0759              0
    2         0       0.456086              0        67.4903              0
    2         0       0.543224              0        79.6765              0
    2         0        0.63082              0        91.8199              0
    2         0       0.719192              0        103.931              0
    2         0       0.806262              0        116.024              0
    2         0       0.895045              0        128.112              0
    2         0        0.97749              0        139.401              0
    2         0        1.06664              0        151.515              0
    2         0        1.15769              0        163.659              0
    2         0         1.2502              0        175.844              0
    2         0        1.34503              0        188.078              0
    2         0        1.43433              0        199.548              0
    2         0        1.53152              0          211.9              0
    2         0        1.62349              0        223.492              0
    2         0        1.72399              0        235.987              0
    2         0        1.81807              0        247.723              0
    2         0        1.91192              0        259.535              0
    2         1      0.0161932              0        5.92978              0
    2         1      0.0988162              0        19.1663              0
    2         1       0.189915              0        32.7912              0
    2         1       0.275371              0        45.3959              0
    2         1       0.367818              0        58.9167              0
    2         1       0.452874              0         71.601              0
    2         1       0.538692              0        84.3488              0
    2         1       0.631559              0        98.0795              0
    2         1       0.716929              0        110.967              0
    2         1       0.802175              0        123.932              0
    2         1       0.889499              0        136.979              0
    2         1       0.969703              0        149.176              0
    2         1        1.05692              0        162.404              0
    2         1         1.1451              0         175.74              0
    2         1        1.23022              0        188.222              0
    2         1        1.32221              0        201.778              0
    2         1        1.40882              0        214.479              0
    2         1        1.49673              0        227.292              0
    2         1        1.58569              0        240.223              0
    2         1        1.67669              0        253.275              0
    2         2      0.0241824              0        7.30158              0
    2         2       0.115503              0        20.0355              0
    2         2       0.199649              0        31.7267              0
    2         2       0.288713              0        44.0579              0
    2         2        0.37811              0        56.1895              0
    2         2       0.462034              0         67.417              0
    2         2       0.558078              0        80.1842              0
    2         2       0.647276              0        92.1232              0
    2         2       0.736644              0        104.057              0
    2         2       0.827343              0        116.004              0
    2         2       0.916893              0        127.978              0
    2         2        1.00842              0        139.993              0
    2         2        1.10014              0        152.058              0
    2         2        1.19405              0        164.183              0
    2         2        1.28279              0        175.562              0
    2         2        1.37976              0        187.826              0
    2         2        1.47854              0         200.17              0
    2         2        1.57201              0        211.772              0
    2         2          1.668              0        223.455              0
    2         2        1.77037              0        236.066              0
    2         2        1.86634              0        247.929              0
    2         3      0.0247611              0         7.3976              0
    2         3       0.105954              0         19.393              0
    2         3        0.19604              0        32.0108              0
    2         3       0.280803              0        43.8781              0
    2         3       0.366208              0        55.7657              0
    2         3       0.450562              0        67.6612              0
    2         3       0.535358              0        79.5472              0
    2         3       0.621371              0        91.4208              0
    2         3       0.711927              0        104.135              0
    2         3       0.796513              0        116.004              0
    2         3       0.882906              0        127.885              0
    2         3       0.968352              0        139.789              0
    2         3        1.05439              0        151.723              0
    2         3        1.14306              0        163.698              0
