*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    0      0    0.485098       0.00988095     80.0559          6.39643
    0      0    0.472115         0.011122     78.2771          6.27878
    0      0     0.46077        0.0112901     76.4546          6.15805
    0      0     0.44751         0.011519      74.591          6.03447
    0      1    0.486235         0.011174     80.7546          6.44258
    0      1    0.482619       0.00871813     79.1721            6.338
    0      1    0.466503       0.00149452     77.5532          6.23084
    0      1    0.478422        0.0356642     75.8997          6.12126
    0      2    0.458011       0.00130244     72.4969          5.89553
    0      2    0.439206      0.000967839     70.3599          5.75376
    0      2    0.437147       0.00115094     68.1837          5.60951
    0      2    0.420812       0.00851502     65.9718          5.46311
    0      3     0.44917          0.01192     71.9181          5.85713
    0      3    0.435916        0.0112947     69.5729          5.70158
    0      3    0.421989         0.010661     67.1825           5.5432
    0      3    0.408221        0.0108317     64.7516          5.38249
    1      0    0.503592          0.01147     80.4321          6.41788
    1      0    0.485581       0.00207225     78.3035          6.27704
    1      0    0.480303       0.00255082     76.1121          6.13176
    1      0    0.462594       0.00467643     73.8623          5.98245
    1      1    0.479336        0.0112529     78.1233          6.26511
    1      1    0.465477       0.00821407      75.741          6.10715
    1      1    0.461587       0.00121942     73.2913          5.94454
    1      1    0.440043        0.0108798       70.78          5.77781
    1      2    0.432217        0.0110837     68.2131           5.6075
    1      2    0.414467        0.0124415      66.002          5.46103
    1      2    0.404326       0.00278801     63.7589          5.31277
    1      2    0.392837        0.0110476     61.4874          5.16309
    1      3    0.433549       0.00110277     70.5845          5.76482
    1      3    0.410898      0.000896947     68.4124          5.62072
    1      3    0.399891       0.00183838     66.2044          5.47442
    1      3    0.393025          0.01042      63.964          5.32631
    2      0    0.437192        0.0109176     72.3693           5.8784
    2      0    0.425351       0.00524527     69.8369          5.71013
    2      0    0.408532       0.00169513     67.2512          5.53849
    2      0    0.395202        0.0111216     64.6183          5.36407
    2      1    0.379954        0.0108193     66.0415           5.4583
    2      1    0.365227        0.0018541      63.183          5.26921
    2      1      0.3449       0.00126911       60.28          5.07795
    2      1    0.331176        0.0089636     57.3399          4.88527
    2      2    0.368498        0.0113849      57.551          4.89906
    2      2    0.351606       0.00110724     54.7954          4.71959
    2      2     0.33275      0.000857192     52.0188          4.54023
    2      2    0.313076      0.000511031     49.2261          4.36165
    2      3    0.384253       0.00968999      63.183          5.26921
    2      3    0.368333       0.00301875     60.4887          5.09167
    2      3    0.348922       0.00468322     57.7619          4.91285
    2      3    0.338134       0.00926656     55.0082          4.73339
    3      0    0.353087        0.0095122     55.8663          4.78804
    3      0    0.334731      0.000585716     52.8837          4.59473
    3      0    0.317602      0.000652265     49.8808          4.40208
    3      0    0.304047      0.000660088     46.8637          4.21099
    3      1    0.310533        0.0119172     47.7268          4.26536
    3      1    0.294178       0.00073766     44.9192          4.08943
    3      1    0.278971      0.000780545      42.107          3.91631
    3      1    0.265083      0.000677392     39.2935          3.74695
    3      2    0.191098      0.000707573     41.2413          3.86375
    3      2    0.179431      0.000320942     38.2117          3.68304
    3      2    0.167199       0.00040655     35.1845          3.50854
    3      2     0.15447      0.000287687     32.1612          3.34209
    3      3    0.309591       0.00322551     48.5891          4.31993
    3      3    0.293735      0.000909704     45.5677          4.12982
    3      3    0.277269      0.000884151     42.5398          3.94273
    3      3    0.260234       0.00232198     39.5099          3.75982
    4      0    0.275288      0.000514879     46.1636          4.17442
    4      0    0.262742      0.000477012     43.7834           4.0268
    4      0    0.249192      0.000348153     41.4007          3.88149
    4      0    0.235411      0.000328912     39.0174          3.73909
    4      1    0.277869      0.000785884     46.3798          4.18793
    4      1    0.264956      0.000349872          44          4.04014
    4      1    0.251998        0.0023412     41.6174          3.89459
    4      1    0.237084      0.000647937      39.234           3.7519
    4      2    0.232844      0.000689096      35.336          3.52641
    4      2    0.220821      0.000366393     32.9563          3.39491
    4      2     0.20346       0.00065034     30.5782          3.26945
    4      2    0.190286      0.000715926     28.2004          3.15155
    4      3    0.227222      0.000374849     35.1196          3.51424
    4      3    0.213682      0.000461422       32.74          3.38323
    4      3     0.19847      0.000422706      30.362          3.25839
    4      3     0.18325      0.000793386     27.9842          3.14125
    5      0    0.289805      0.000406446      45.744          4.14641
    5      0    0.277221      0.000299874     43.3638          3.99912
    5      0    0.263012      0.000438956     40.9815          3.85422
    5      0    0.247799      0.000303456     38.5989          3.71232
    5      1    0.323051      0.000520415     44.4461          4.06581
    5      1    0.309476      0.000551093     41.8479          3.90658
    5      1    0.291596      0.000722329     39.2486          3.75068
    5      1    0.271973      0.000458219     36.6502          3.59898
    5      2    0.264121      0.000754131     33.4054          3.41691
    5      2    0.245146      0.000679769     30.8121          3.27892
    5      2    0.225638       0.00101167     28.2194          3.14966
    5      2    0.203228      0.000986462     25.6238          3.03167
    5      3    0.378437      0.000782793     34.9192           3.5007
    5      3    0.356313      0.000677849     32.5407          3.37006
