      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         0         0         4         7            0.310904             3.39469
         0         0         4         7            0.244522             4.03733
         0         0         4         7             0.20405             4.52936
         0         0         4         7            0.176491              4.8724
         0         0         4         7            0.157251             5.12938
         0         0         4         7            0.143155             5.29808
         0         0         4         7            0.131358             5.43373
         0         0         4         7            0.121381             5.53166
         0         0         4         7            0.112876             5.62288
         0         0         4         7            0.105555              5.7061
         0         0         4         7           0.0991916             5.78274
         0         0         4         7           0.0936123              5.8556
         0         0         4         7           0.0886816             5.92505
         0         0         4         7           0.0842931             5.99017
         0         0         4         7           0.0803617             6.05207
         0         0         4         7           0.0768199             6.11115
         0         0         4         7           0.0736119             6.16663
         0         0         4         7           0.0706925             6.21952
         0         0         4         7            0.068024             6.26837
         0         0         4         7           0.0655755             6.31536
         0         1         4         7            0.280775              4.2328
         0         1         4         7             0.21398             4.47645
         0         1         4         7             0.17553             4.67899
         0         1         4         7            0.151937             4.89569
         0         1         4         7            0.134719              5.0701
         0         1         4         7            0.121133              5.2399
         0         1         4         7             0.11015             5.39184
         0         1         4         7            0.101111             5.53013
         0         1         4         7           0.0935475             5.65642
         0         1         4         7           0.0871296             5.77173
         0         1         4         7           0.0816156             5.87615
         0         1         4         7           0.0768274              5.9712
         0         1         4         7           0.0726297             6.05679
         0         1         4         7           0.0689192             6.13435
         0         1         4         7           0.0656151              6.2031
         0         1         4         7           0.0626535             6.26525
         0         1         4         7           0.0599835             6.32018
         0         1         4         7           0.0575635             6.36879
         0         1         4         7           0.0553597             6.41118
         0         1         4         7            0.053344             6.44829
         0         2         4         7            0.278907             4.30598
         0         2         4         7            0.216613              4.6339
         0         2         4         7            0.179511             4.82449
         0         2         4         7             0.15582             5.01541
         0         2         4         7            0.139016             5.17614
         0         2         4         7             0.12553             5.31889
         0         2         4         7            0.114519             5.45445
         0         2         4         7            0.105386             5.58071
         0         2         4         7           0.0976982             5.69917
         0         2         4         7           0.0911431             5.80941
         0         2         4         7           0.0854885             5.91243
         0         2         4         7           0.0805609             6.00781
         0         2         4         7           0.0762287             6.09737
         0         2         4         7           0.0723894             6.18033
         0         2         4         7            0.068963             6.25692
         0         2         4         7            0.065886             6.32782
         0         2         4         7           0.0631069              6.3933
         0         2         4         7           0.0605842             6.45347
         0         2         4         7           0.0582835             6.50872
         0         2         4         7           0.0561767              6.5592
         0         3         4         7            0.273247             4.10557
         0         3         4         7            0.217823             4.51949
         0         3         4         7            0.183195             4.70425
         0         3         4         7            0.159535             4.87277
         0         3         4         7            0.143781             5.01619
         0         3         4         7            0.130656             5.15793
         0         3         4         7            0.119761             5.27289
         0         3         4         7            0.110624             5.38586
         0         3         4         7            0.102866             5.49025
         0         3         4         7           0.0962033             5.58766
         0         3         4         7           0.0904211             5.67894
         0         3         4         7           0.0853568             5.76357
         0         3         4         7           0.0808844             5.84205
         0         3         4         7           0.0769061              5.9151
         0         3         4         7           0.0733437             5.98307
         0         3         4         7            0.070135             6.04605
         0         3         4         7           0.0672293             6.10351
         0         3         4         7           0.0645856             6.15734
