      *tel    numcsi         Z         A     -dE/dx (MeV/um)                Leff           LeffErrUp         LeffErrLow
         5         0         2         4            0.202811             140.756             4.84965             4.72374
         5         0         2         4            0.146684             153.221             7.13667             6.85737
         5         0         2         4            0.117918             161.314             8.71122             8.30497
         5         0         2         4           0.0997564             167.405             9.94042             9.42461
         5         0         2         4           0.0870507             172.327             10.9606             10.3476
