*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    2      2    0.732308        0.0120836     119.607          3.23489
    2      2    0.707115        0.0088417     113.968          3.12225
    2      2    0.678476        0.0104695     108.326          3.00845
    2      2    0.648223         0.011394     102.696          2.89385
    3      0    0.705229        0.0114631     115.709          3.15695
    3      0    0.680362        0.0118192     110.067          3.04347
    3      0    0.651827       0.00915075     104.432          2.92908
    3      0    0.626645        0.0115063     98.8161          2.81411
    3      1    0.624862        0.0134291     98.8161          2.81411
    3      1    0.602567        0.0102373     93.6609           2.7078
    3      1    0.576672       0.00955584     88.5427          2.60158
    3      1    0.546244       0.00968743     83.4703          2.49575
    3      2    0.392017       0.00751298     87.2699          2.57508
    3      2    0.366637       0.00861316     81.3724          2.45183
    3      2    0.345467       0.00799703     75.5536          2.32965
    3      2    0.321229       0.00953494     69.8257          2.20901
    3      3    0.639806        0.0106012     101.837          2.87606
    3      3    0.610241        0.0111342     96.2345          2.76096
    3      3    0.576653        0.0108149     90.6702          2.64581
    3      3    0.543885         0.011967     85.1555          2.53096
    4      0       0.574       0.00494153     99.2179          2.82358
    4      0    0.549813       0.00656181     94.4876          2.72618
    4      0     0.52547       0.00668631     89.7869          2.62881
    4      0    0.500574       0.00686147     85.1228          2.53171
    4      1    0.583566       0.00839627     100.081          2.84129
    4      1    0.559507        0.0071695     95.3457           2.7439
    4      1    0.531755      0.000809803     90.6391           2.6465
    4      1    0.509652       0.00718257     85.9678          2.54933
    4      2    0.510387       0.00317873     78.4177          2.39139
    4      2    0.478068        0.0111228      73.871          2.29588
    4      2    0.454094        0.0021072     69.3823          2.20141
    4      2    0.426967       0.00120757     64.9569          2.10824
    4      3    0.492922       0.00161181     78.0021          2.38267
    4      3    0.459945        0.0022993     73.4604          2.28725
    4      3    0.439349      0.000816233     68.9773          2.19288
    4      3    0.410736       0.00080195     64.5579          2.09984
    5      0     0.60708       0.00709513     97.9325          2.79688
    5      0    0.579964        0.0074765     93.2099          2.69944
    5      0    0.554979       0.00793968     88.5188          2.60211
    5      0     0.53109       0.00995616     83.8662          2.50512
    5      1    0.670402        0.0107399     94.0664          2.71717
    5      1    0.643871       0.00941042      89.369           2.6198
    5      1    0.612275        0.0127583     84.7089          2.52272
    5      1    0.584242      0.000669325     80.0927          2.42614
    5      2    0.571174        0.0127212     73.4693          2.28703
    5      2    0.537316       0.00109541     68.5822          2.18414
    5      2    0.501064       0.00172656     63.7716          2.08283
    5      2    0.464733       0.00126098     59.0433          1.98349
    5      3    0.806994        0.0167304     75.1142          2.32162
    5      3    0.761467       0.00113816     70.6096          2.22684
    5      3    0.720869       0.00815519      66.167          2.13327
    5      3    0.670507        0.0014164     61.7911          2.04118
    6      0     0.51133       0.00848437     87.2778           2.5749
    6      0    0.484214       0.00900209     82.2186           2.4692
    6      0    0.456188       0.00912293     77.2159          2.36421
    6      0     0.43101       0.00113399     72.2777          2.26027
    6      1     0.50764       0.00931331     80.5444           2.4341
    6      1    0.477916      0.000978177     75.1501          2.32075
    6      1    0.448204       0.00154625      69.835          2.20878
    6      1    0.418934      0.000761196      64.608          2.09855
    6      2    0.372897        0.0013016     61.0451          2.02352
    6      2    0.351505       0.00113728     56.7561          1.93345
    6      2     0.32597      0.000923391     52.5426           1.8455
    6      2    0.300122       0.00147892      48.407          1.76009
    6      3    0.391473      0.000913802      65.806          2.12381
    6      3    0.368414      0.000790975     61.4386           2.0318
    6      3    0.342899      0.000963873     57.1429          1.94156
    6      3    0.319872      0.000571591     52.9224           1.8534
    7      0    0.420401       0.00928862     68.2736          2.17323
    7      0    0.390591       0.00117372     63.0789          2.06349
    7      0    0.360923      0.000518753     57.9828          1.95607
    7      0    0.332797       0.00161113     52.9914          1.85145
    7      1    0.389517        0.0104546     59.9307          1.99708
    7      1    0.362673       0.00260009     54.5157          1.88331
    7      1    0.328317       0.00070069     49.2261          1.77326
    7      1    0.299145       0.00133582     44.0658           1.6678
    7      2    0.287463        0.0114335     45.1606          1.68996
    7      2    0.271435      0.000990245     41.1753             1.61
    7      2    0.242808       0.00347534     37.2689          1.53407
    7      2    0.221737       0.00124525     33.4377          1.46312
    7      3    0.337425        0.0102188     52.6119          1.84353
    7      3    0.315572      0.000788393     48.8532          1.76556
    7      3    0.296362       0.00134554     45.1606          1.68996
    7      3    0.271452       0.00164694     41.5343          1.61711
    8      2      0.1115      0.000463828     16.4999          1.29922
    8      2   0.0915903      0.000399886     13.3196          1.33594
    8      2   0.0703113      0.000449817     9.91413          1.45102
    8      2   0.0455244      0.000728679     5.95707          1.93035
    8      3    0.101585      0.000414926     15.4551          1.30597
    8      3   0.0837151      0.000388195      12.219          1.36254
    8      3   0.0612164      0.000364792      8.6905          1.53531
