 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             98            0.5        9.64414      0.0964414
    0         0            188            0.5        24.6305       0.246305
    0         0            284            0.5        39.9616       0.399616
    0         0            374            0.5        54.4693       0.544693
    0         0            464            0.5        69.1104       0.691104
    0         0            560            0.5        84.8107       0.848107
    0         0            650            0.5        99.5843       0.995843
    0         0            740            0.5        114.408        1.14408
    0         0            830            0.5        129.287        1.29287
    0         0            920            0.5        144.231        1.44231
    0         0           1010            0.5        159.252        1.59252
    0         0           1100            0.5        174.362        1.74362
    0         0           1190            0.5        189.571        1.89571
    0         0           1280            0.5         204.89         2.0489
    0         0           1364            0.5        219.298        2.19298
    0         0           1454            0.5        234.861        2.34861
    0         0           1538            0.5        249.511        2.49511
    0         0           1622            0.5         264.29         2.6429
    0         0           1706            0.5        279.205        2.79205
    0         0           1790            0.5        294.261        2.94261
    0         0           1874            0.5        309.465        3.09465
    0         1             77            0.5        7.94064      0.0794064
    0         1            175            0.5        25.2347       0.252347
    0         1            273            0.5        42.3258       0.423258
    0         1            371            0.5        59.1307       0.591307
    0         1            476            0.5        76.9775       0.769775
    0         1            574            0.5        93.5534       0.935534
    0         1            672            0.5        110.097        1.10097
    0         1            777            0.5        127.826        1.27826
    0         1            875            0.5        144.407        1.44407
    0         1            973            0.5        161.045        1.61045
    0         1           1078            0.5        178.962        1.78962
    0         1           1176            0.5        195.785        1.95785
    0         1           1274            0.5        212.725        2.12725
    0         1           1372            0.5        229.796        2.29796
    0         1           1463            0.5        245.775        2.45775
    0         1           1561            0.5        263.135        2.63135
    0         1           1659            0.5        280.663        2.80663
    0         1           1750            0.5        297.097        2.97097
    0         1           1848            0.5        314.978        3.14978
    0         1           1939            0.5        331.759        3.31759
    0         2            101            0.5        9.91959      0.0991959
    0         2            199            0.5        26.6171       0.266171
    0         2            297            0.5         43.071        0.43071
    0         2            402            0.5        60.4007       0.604007
    0         2            507            0.5        77.5557       0.775557
    0         2            612            0.5        94.5955       0.945955
    0         2            717            0.5        111.565        1.11565
    0         2            822            0.5        128.499        1.28499
    0         2            927            0.5         145.43         1.4543
    0         2           1032            0.5        162.383        1.62383
    0         2           1137            0.5        179.386        1.79386
    0         2           1242            0.5        196.457        1.96457
    0         2           1347            0.5        213.617        2.13617
    0         2           1452            0.5        230.881        2.30881
    0         2           1550            0.5        247.102        2.47102
    0         2           1655            0.5        264.611        2.64611
    0         2           1753            0.5        281.085        2.81085
    0         2           1858            0.5        298.888        2.98888
    0         2           1956            0.5        315.658        3.15658
    0         2           2054            0.5        332.585        3.32585
    0         3             51            0.5         10.262        0.10262
    0         3            141            0.5        25.8925       0.258925
    0         3            225            0.5        40.3419       0.403419
    0         3            315            0.5          55.66         0.5566
    0         3            405            0.5         70.928        0.70928
    0         3            489            0.5        85.1609       0.851609
    0         3            579            0.5        100.414        1.00414
    0         3            669            0.5         115.69         1.1569
    0         3            753            0.5        129.983        1.29983
    0         3            843            0.5        145.349        1.45349
    0         3            933            0.5        160.782        1.60782
    0         3           1017            0.5        175.261        1.75261
    0         3           1107            0.5        190.864        1.90864
    0         3           1191            0.5         205.52         2.0552
    0         3           1275            0.5        220.278        2.20278
    0         3           1359            0.5        235.142        2.35142
    0         3           1443            0.5        250.123        2.50123
    0         3           1527            0.5        265.227        2.65227
