 *tel    numcsi           CsIV        errCsIV           CsIE       errCsIE
    4         2       0.296325              0        40.9944              0
    4         2       0.360798              0        50.4707              0
    4         2        0.42917              0        60.7061              0
    4         2       0.494128              0        70.4045              0
    4         2       0.562007              0        80.8496              0
    4         3      0.0365524              0        5.72474              0
    4         3      0.0996942              0        13.6264              0
    4         3       0.157396              0        21.6957              0
    4         3       0.218573              0        30.8075              0
    4         3       0.283468              0        40.6246              0
    4         3       0.349351              0          50.58              0
    4         3       0.414065              0        60.6408              0
    4         3       0.480056              0        70.7935              0
    4         3        0.54171              0        80.3883              0
    5         0      0.0352464              0        5.58166              0
    5         0      0.0960769              0         13.541              0
    5         0       0.150681              0        21.4212              0
    5         0       0.209332              0        30.3757              0
    5         0       0.278462              0        40.8302              0
    5         0       0.343039              0        50.6105              0
    5         0       0.406532              0        60.4436              0
    5         0       0.471241              0        70.3273              0
    5         0       0.535707              0        80.2622              0
    5         1      0.0454808              0        5.61864              0
    5         1       0.109914              0        13.3681              0
    5         1       0.172806              0        21.3228              0
    5         1       0.246716              0        30.9249              0
    5         1       0.321546              0        40.4993              0
    5         1       0.402134              0        50.9181              0
    5         1       0.476248              0        60.7092              0
    5         1       0.551282              0         70.625              0
    5         1       0.625988              0        80.6735              0
    5         2      0.0461201              0        5.86471              0
    5         2       0.119204              0        13.6984              0
    5         2       0.184523              0        21.5319              0
    5         2        0.26074              0        30.8261              0
    5         2       0.341262              0        40.6747              0
    5         2       0.422954              0        50.5692              0
    5         2       0.504526              0        60.5291              0
    5         2       0.585087              0        70.5748              0
    5         2       0.666243              0        80.7223              0
    5         3      0.0655006              0        5.99388              0
    5         3       0.163354              0        13.9293              0
    5         3       0.253552              0        21.6561              0
    5         3       0.351513              0        30.3223              0
    5         3       0.466665              0        40.3717              0
    5         3       0.580707              0        50.4786              0
    5         3       0.695484              0         60.651              0
    5         3       0.809814              0        70.9006              0
    5         3       0.916197              0        80.4942              0
    6         0      0.0321303              0        5.53736              0
    6         0      0.0927905              0        13.6117              0
    6         0       0.146573              0        21.6931              0
    6         0       0.204195              0        30.9267              0
    6         0       0.267856              0        40.9823              0
    6         0       0.326893              0        50.3575              0
    6         0        0.38974              0        60.5909              0
    6         0         0.4535              0        70.8944              0
    6         0       0.512408              0        80.4621              0
    6         1       0.038779              0        5.92744              0
    6         1       0.100193              0          13.74              0
    6         1       0.154428              0        21.4078              0
    6         1       0.218368              0        30.7822              0
    6         1       0.288297              0        40.8755              0
    6         1       0.351917              0        50.3316              0
    6         1       0.421782              0        60.6053              0
    6         1       0.491606              0        70.9777              0
    6         1       0.555218              0         80.701              0
    6         2      0.0385581              0        5.81824              0
    6         2      0.0962405              0        13.9576              0
    6         2       0.148718              0        21.7935              0
    6         2       0.208655              0        30.9608              0
    6         2       0.271883              0        40.7254              0
    6         2       0.336109              0        50.6561              0
    6         2       0.400227              0        60.7682              0
    6         2         0.4596              0        70.4572              0
    6         2       0.523944              0        80.9351              0
    6         3      0.0330103              0         5.6249              0
    6         3      0.0924532              0        13.8586              0
    6         3       0.142777              0        21.5249              0
    6         3       0.200857              0        30.7855              0
    6         3       0.261627              0        40.7104              0
    6         3       0.323859              0         50.724              0
    6         3       0.385934              0        60.7994              0
    6         3       0.446941              0        70.9296              0
    6         3       0.505165              0        80.4757              0
    7         0      0.0421175              0        5.94998              0
    7         0      0.0977078              0        13.7011              0
    7         0       0.152346              0        21.7625              0
    7         0       0.210662              0        30.6676              0
    7         0       0.276476              0         40.762              0
    7         0       0.343327              0        50.9682              0
    7         0       0.405954              0         60.671              0
    7         0       0.467836              0        70.4697              0
    7         0       0.534725              0        80.9891              0
    7         1       0.036754              0        5.57999              0
    7         1       0.100965              0        13.5202              0
    7         1       0.158743              0        21.3905              0
    7         1       0.220732              0        30.4277              0
    7         1       0.287762              0        40.2923              0
    7         1       0.355373              0        50.3251              0
    7         1       0.422352              0        60.4833              0
    7         1       0.489672              0        70.7501              0
    7         1       0.552418              0        80.3733              0
    7         2      0.0391339              0        5.78674              0
    7         2       0.100671              0         13.828              0
    7         2       0.157637              0         21.962              0
    7         2       0.214972              0        30.4399              0
    7         2       0.283009              0        40.6399              0
    7         2       0.351716              0        50.9548              0
    7         2       0.416772              0        60.7813              0
    7         2       0.481755              0        70.6824              0
    7         2       0.546033              0        80.6528              0
    7         3      0.0359918              0        5.52751              0
    7         3       0.101946              0        13.7973              0
    7         3       0.158425              0        21.6695              0
    7         3       0.218163              0        30.5391              0
    7         3       0.286899              0        40.7062              0
    7         3        0.35169              0        50.4444              0
    7         3        0.41953              0        60.9374              0
    7         3       0.484678              0        70.9345              0
    7         3       0.544298              0        80.4031              0
    8         0      0.0454148              0        5.81446              0
    8         0      0.0989101              0         13.818              0
    8         0        0.14829              0        21.4523              0
    8         0       0.206086              0        30.6173              0
    8         0       0.270543              0        40.4716              0
    8         0       0.334909              0        50.4709              0
    8         0       0.398678              0        60.6035              0
    8         0       0.462967              0        70.8575              0
    8         0       0.523215              0        80.5256              0
    8         1      0.0364395              0        5.55612              0
    8         1      0.0922402              0        13.8053              0
    8         1       0.148041              0         21.776              0
    8         1       0.210816              0        30.8547              0
    8         1       0.280568              0        40.9896              0
    8         1       0.346832              0        50.7979              0
    8         1       0.413266              0        60.7724              0
    8         1       0.478761              0        70.9018              0
    8         1       0.541526              0        80.6323              0
    8         2      0.0445941              0        5.94398              0
    8         2      0.0989474              0        13.9635              0
    8         2       0.149677              0        21.5814              0
    8         2       0.212068              0         30.965              0
    8         2       0.279808              0        40.8465              0
    8         2       0.345552              0        50.8197              0
    8         2       0.412493              0        60.9075              0
    8         2       0.475957              0         70.552              0
    8         2       0.541922              0        80.8944              0
    8         3      0.0427453              0        5.81817              0
    8         3      0.0962636              0        13.8827              0
    8         3       0.146809              0        21.7358              0
    8         3       0.204223              0        30.6801              0
    8         3       0.270097              0        40.9798              0
    8         3       0.334129              0        50.8942              0
    8         3       0.398106              0        60.9045              0
    8         3       0.457899              0        70.5361              0
    8         3       0.522047              0        80.7565              0
    9         0      0.0264696              0        5.49123              0
    9         0      0.0834605              0        13.6197              0
    9         0       0.140451              0        21.8266              0
    9         0       0.196936              0        30.7118              0
    9         0       0.259965              0        40.6239              0
