 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0307874    0.000307874        9.64414      0.0964414
    0         0       0.135736     0.00135736        24.6305       0.246305
    0         0       0.246542     0.00246542        39.9616       0.399616
    0         0       0.350168     0.00350168        54.4693       0.544693
    0         0       0.453782     0.00453782        69.1104       0.691104
    0         0       0.565508     0.00565508        84.8107       0.848107
    0         0       0.669238     0.00669238        99.5843       0.995843
    0         0       0.774106     0.00774106        114.408        1.14408
    0         0       0.877939     0.00877939        129.287        1.29287
    0         0       0.983052     0.00983052        144.231        1.44231
    0         0         1.0902       0.010902        159.252        1.59252
    0         0        1.19861      0.0119861        174.362        1.74362
    0         0        1.31022      0.0131022        189.571        1.89571
    0         0        1.42377      0.0142377         204.89         2.0489
    0         0        1.53127      0.0153127        219.298        2.19298
    0         0        1.64931      0.0164931        234.861        2.34861
    0         0        1.75988      0.0175988        249.511        2.49511
    0         0        1.87139      0.0187139         264.29         2.6429
    0         0        1.98314      0.0198314        279.205        2.79205
    0         0         2.0956       0.020956        294.261        2.94261
    0         0        2.20967      0.0220967        309.465        3.09465
    0         1      0.0216507    0.000216507        7.94064      0.0794064
    0         1       0.141652     0.00141652        25.2347       0.252347
    0         1       0.258353     0.00258353        42.3258       0.423258
    0         1       0.376798     0.00376798        59.1307       0.591307
    0         1        0.50319      0.0050319        76.9775       0.769775
    0         1       0.621866     0.00621866        93.5534       0.935534
    0         1       0.740834     0.00740834        110.097        1.10097
    0         1       0.866882     0.00866882        127.826        1.27826
    0         1       0.986978     0.00986978        144.407        1.44407
    0         1        1.10756      0.0110756        161.045        1.61045
    0         1        1.24063      0.0124063        178.962        1.78962
    0         1        1.36796      0.0136796        195.785        1.95785
    0         1        1.49863      0.0149863        212.725        2.12725
    0         1        1.63176      0.0163176        229.796        2.29796
    0         1        1.75759      0.0175759        245.775        2.45775
    0         1        1.89274      0.0189274        263.135        2.63135
    0         1        2.02944      0.0202944        280.663        2.80663
    0         1         2.1573       0.021573        297.097        2.97097
    0         1        2.29411      0.0229411        314.978        3.14978
    0         1        2.42258      0.0242258        331.759        3.31759
    0         2      0.0373445    0.000373445        9.91959      0.0991959
    0         2       0.156524     0.00156524        26.6171       0.266171
    0         2       0.275194     0.00275194         43.071        0.43071
    0         2       0.401856     0.00401856        60.4007       0.604007
    0         2       0.529554     0.00529554        77.5557       0.775557
    0         2       0.656572     0.00656572        94.5955       0.945955
    0         2        0.78419      0.0078419        111.565        1.11565
    0         2       0.911981     0.00911981        128.499        1.28499
    0         2        1.04148      0.0104148         145.43         1.4543
    0         2        1.17357      0.0117357        162.383        1.62383
    0         2        1.30948      0.0130948        179.386        1.79386
    0         2        1.44839      0.0144839        196.457        1.96457
    0         2        1.59041      0.0159041        213.617        2.13617
    0         2        1.73582      0.0173582        230.881        2.30881
    0         2        1.87274      0.0187274        247.102        2.47102
    0         2        2.01951      0.0201951        264.611        2.64611
    0         2        2.15828      0.0215828        281.085        2.81085
    0         2        2.30599      0.0230599        298.888        2.98888
    0         2        2.44569      0.0244569        315.658        3.15658
    0         2        2.58468      0.0258468        332.585        3.32585
    0         3      0.0321746    0.000321746         10.262        0.10262
    0         3       0.148248     0.00148248        25.8925       0.258925
    0         3       0.252832     0.00252832        40.3419       0.403419
    0         3       0.365417     0.00365417          55.66         0.5566
    0         3       0.477959     0.00477959         70.928        0.70928
    0         3       0.582946     0.00582946        85.1609       0.851609
    0         3       0.695659     0.00695659        100.414        1.00414
    0         3       0.808237     0.00808237         115.69         1.1569
    0         3       0.913679     0.00913679        129.983        1.29983
    0         3        1.02794      0.0102794        145.349        1.45349
    0         3         1.1441       0.011441        160.782        1.60782
    0         3        1.25495      0.0125495        175.261        1.75261
    0         3        1.37701      0.0137701        190.864        1.90864
    0         3        1.49319      0.0149319         205.52         2.0552
    0         3        1.61147      0.0161147        220.278        2.20278
    0         3        1.73084      0.0173084        235.142        2.35142
    0         3        1.85098      0.0185098        250.123        2.50123
    0         3        1.97224      0.0197224        265.227        2.65227
    0         3        2.09472      0.0209472        280.461        2.80461
    0         3        2.21695      0.0221695        295.831        2.95831
    0         3        2.33073      0.0233073        310.232        3.10232
    1         0      0.0274619    0.000274619        8.03915      0.0803915
    1         0       0.136238     0.00136238        23.4048       0.234048
    1         0       0.250172     0.00250172        38.6551       0.386551
    1         0       0.364877     0.00364877        53.9556       0.539556
    1         0       0.470975     0.00470975        68.2569       0.682569
    1         0       0.585926     0.00585926        83.7081       0.837081
    1         0       0.693217     0.00693217        98.0827       0.980827
    1         0        0.80786      0.0080786        113.591        1.13591
    1         0       0.915703     0.00915703        128.025        1.28025
    1         0        1.03208      0.0103208        143.617        1.43617
    1         0        1.14205      0.0114205        158.151        1.58151
    1         0         1.2635       0.012635        173.879        1.73879
    1         0        1.37897      0.0137897        188.564        1.88564
    1         0        1.49692      0.0149692        203.336        2.03336
    1         0        1.61688      0.0161688        218.209        2.18209
    1         0        1.73809      0.0173809        233.188        2.33188
    1         0        1.86105      0.0186105        248.282        2.48282
    1         0        1.98384      0.0198384        263.501        2.63501
    1         0        2.10695      0.0210695         278.85         2.7885
    1         0        2.22155      0.0222155        293.142        2.93142
    1         0        2.34637      0.0234637        308.764        3.08764
    1         0        2.46179      0.0246179         323.32         3.2332
    1         1      0.0271093    0.000271093        7.97001      0.0797001
    1         1       0.134398     0.00134398        22.9713       0.229713
    1         1       0.240866     0.00240866        37.9529       0.379529
    1         1       0.354719     0.00354719        53.8592       0.538592
    1         1       0.460257     0.00460257         68.494        0.68494
    1         1       0.566104     0.00566104        83.0345       0.830345
    1         1       0.680399     0.00680399        98.6177       0.986177
    1         1       0.787271     0.00787271        113.042        1.13042
    1         1       0.901793     0.00901793        128.549        1.28549
    1         1        1.00912      0.0100912        142.943        1.42943
    1         1        1.12604      0.0112604        158.455        1.58455
    1         1        1.24619      0.0124619        173.999        1.73999
    1         1        1.36036      0.0136036        188.474        1.88474
    1         1        1.47709      0.0147709        202.999        2.02999
    1         1        1.60532      0.0160532        218.713        2.18713
    1         1        1.72561      0.0172561        233.379        2.33379
    1         1         1.8476       0.018476        248.127        2.48127
    1         1        1.96964      0.0196964        262.965        2.62965
    1         1        2.09184      0.0209184        277.901        2.77901
    1         1        2.21491      0.0221491        292.941        2.92941
    1         1        2.33892      0.0233892        308.094        3.08094
    1         2      0.0344103    0.000344103        9.60925      0.0960925
    1         2        0.14564      0.0014564        24.7595       0.247595
    1         2       0.254226     0.00254226         39.899        0.39899
    1         2       0.364145     0.00364145        54.8456       0.548456
    1         2       0.473284     0.00473284        69.6989       0.696989
    1         2       0.583672     0.00583672        84.4886       0.844886
    1         2        0.69296      0.0069296        99.2403       0.992403
    1         2       0.809957     0.00809957        114.959        1.14959
    1         2        0.91991      0.0091991        129.698        1.29698
    1         2        1.03113      0.0103113        144.459        1.44459
    1         2        1.14411      0.0114411        159.257        1.59257
    1         2        1.26007      0.0126007        174.107        1.74107
    1         2        1.37862      0.0137862        189.022        1.89022
    1         2            1.5          0.015        204.011        2.04011
    1         2        1.62338      0.0162338         219.09         2.1909
    1         2        1.74755      0.0174755        234.265        2.34265
    1         2        1.87317      0.0187317        249.547        2.49547
    1         2        2.00059      0.0200059        264.945        2.64945
    1         2        2.11916      0.0211916        279.428        2.79428
    1         2        2.23843      0.0223843        294.025        2.94025
    1         3      0.0347221    0.000347221        9.93491      0.0993491
    1         3       0.131311     0.00131311         23.994        0.23994
    1         3       0.239848     0.00239848        39.6638       0.396638
    1         3       0.341302     0.00341302        54.0039       0.540039
    1         3       0.450077     0.00450077        69.2479       0.692479
    1         3       0.559086     0.00559086        84.4286       0.844286
    1         3       0.668693     0.00668693        99.5863       0.995863
    1         3       0.777497     0.00777497        114.751        1.14751
    1         3       0.887879     0.00887879        129.944        1.29944
    1         3       0.990677     0.00990677        144.169        1.44169
    1         3        1.10279      0.0110279        159.473        1.59473
    1         3        1.21669      0.0121669        174.859        1.74859
    1         3        1.32579      0.0132579        189.304        1.89304
    1         3        1.44554      0.0144554        204.884        2.04884
    1         3        1.55915      0.0155915        219.533        2.19533
    1         3        1.67416      0.0167416        234.292        2.34292
    1         3        1.79035      0.0179035        249.172        2.49172
    1         3        1.90702      0.0190702        264.179        2.64179
    1         3        2.02519      0.0202519        279.321        2.79321
    1         3        2.14389      0.0214389        294.604        2.94604
    1         3        2.25398      0.0225398        308.928        3.08928
    2         0      0.0297253    0.000297253        7.99336      0.0799336
    2         0       0.135993     0.00135993        22.8481       0.228481
    2         0       0.233917     0.00233917        36.4645       0.364645
    2         0       0.332429     0.00332429        50.1942       0.501942
    2         0       0.437056     0.00437056        64.8845       0.648845
    2         0       0.535066     0.00535066        78.5411       0.785411
    2         0       0.633119     0.00633119        92.1432       0.921432
    2         0       0.739091     0.00739091        106.673        1.06673
    2         0       0.837148     0.00837148        120.214        1.20214
    2         0       0.942826     0.00942826        134.722        1.34722
    2         0        1.04236      0.0104236        148.282        1.48282
    2         0        1.15172      0.0115172        162.848        1.62848
    2         0        1.25508      0.0125508        176.495        1.76495
    2         0        1.36176      0.0136176        190.205        1.90205
    2         0        1.47754      0.0147754        204.974        2.04974
    2         0        1.58707      0.0158707        218.848        2.18848
    2         0        1.69879      0.0169879        232.814        2.32814
    2         0        1.81137      0.0181137        246.882        2.46882
    2         0        1.91595      0.0191595        260.043        2.60043
    2         0         2.0292       0.020292        274.329        2.74329
    2         0        2.14294      0.0214294        288.737        2.88737
    2         1      0.0228025    0.000228025        7.11567      0.0711567
    2         1        0.12314      0.0012314        22.8396       0.228396
    2         1        0.22048      0.0022048         37.306        0.37306
    2         1       0.324183     0.00324183        52.5984       0.525984
    2         1       0.428446     0.00428446        67.9704       0.679704
    2         1       0.526616     0.00526616        82.5238       0.825238
    2         1       0.625419     0.00625419        97.1617       0.971617
    2         1       0.729362     0.00729362        112.815        1.12815
    2         1       0.827087     0.00827087        127.651        1.27651
    2         1       0.925868     0.00925868        142.598        1.42598
    2         1         1.0254       0.010254        157.668        1.57668
    2         1        1.12597      0.0112597        172.873        1.72873
    2         1        1.22377      0.0122377        187.258        1.87258
    2         1        1.32883      0.0132883        202.751        2.02751
    2         1        1.42918      0.0142918        217.426        2.17426
    2         1        1.53121      0.0153121        232.251        2.32251
    2         1        1.63503      0.0163503        247.235        2.47235
    2         1        1.73984      0.0173984        262.386        2.62386
    2         1        1.84542      0.0184542        277.709        2.77709
    2         1         1.9442       0.019442        292.171        2.92171
    2         1        2.05085      0.0205085        307.846        3.07846
    2         2      0.0333671    0.000333671        8.50675      0.0850675
    2         2        0.13482      0.0013482        22.7204       0.227204
    2         2       0.234737     0.00234737        36.6956       0.366956
    2         2       0.335747     0.00335747        50.3832       0.503832
    2         2        0.44312      0.0044312        64.8566       0.648566
    2         2       0.543442     0.00543442         78.272        0.78272
    2         2       0.650896     0.00650896        92.6005       0.926005
    2         2       0.758195     0.00758195        106.922        1.06922
    2         2        0.85938      0.0085938        120.311        1.20311
    2         2       0.968717     0.00968717        134.701        1.34701
    2         2        1.07088      0.0107088        148.191        1.48191
    2         2        1.18269      0.0118269        162.724        1.62724
    2         2        1.28936      0.0128936        176.377        1.76377
    2         2        1.39837      0.0139837        190.124        1.90124
    2         2        1.51778      0.0151778        204.967        2.04967
    2         2        1.63104      0.0163104        218.939        2.18939
    2         2         1.7371       0.017371        232.019        2.32019
    2         2        1.85249      0.0185249        246.228        2.46228
