      *tel    numcsi         Z         A               AZ2/E               Leff
         1         3         1         1          0.00717299          0.00570963
         1         3         1         1          0.00665682          0.00551494
         1         3         1         1          0.00620996          0.00532745
         1         3         1         1          0.00581931          0.00515134
         1         3         1         1          0.00547491          0.00499252
         1         3         1         1          0.00516899          0.00485866
         1         3         1         1          0.00489545          0.00475914
         1         3         1         1          0.00464941          0.00470507
         2         0         1         1            0.112917           0.0091076
         2         0         1         1           0.0548873          0.00862681
         2         0         1         1           0.0362552          0.00825775
         2         0         1         1            0.027067          0.00797809
         2         0         1         1           0.0215944           0.0077679
         2         0         1         1           0.0179625          0.00760955
         2         0         1         1           0.0153764           0.0074878
         2         0         1         1           0.0134413          0.00738973
         2         0         1         1           0.0119388          0.00730479
         2         0         1         1           0.0107384          0.00722476
         2         0         1         1          0.00975735          0.00714378
         2         0         1         1          0.00894055          0.00705835
         2         0         1         1          0.00824994          0.00696729
         2         0         1         1          0.00765837           0.0068718
         2         0         1         1          0.00714597           0.0067754
         2         0         1         1          0.00669783          0.00668398
         2         0         1         1          0.00630258          0.00660577
         2         0         1         1          0.00595138          0.00655135
         2         0         1         1          0.00563725          0.00653365
         2         0         1         1          0.00535462          0.00656796
         2         1         1         1            0.110456          0.00875384
         2         1         1         1            0.049191          0.00803721
         2         1         1         1           0.0316411          0.00747477
         2         1         1         1           0.0233209          0.00703615
         2         1         1         1           0.0184653          0.00669423
         2         1         1         1           0.0152832          0.00642508
         2         1         1         1           0.0130367          0.00620801
         2         1         1         1           0.0113659          0.00602555
         2         1         1         1           0.0100748          0.00586345
         2         1         1         1          0.00904703          0.00571069
         2         1         1         1          0.00820957          0.00555947
         2         1         1         1          0.00751402          0.00540521
         2         1         1         1          0.00692712          0.00524656
         2         1         1         1          0.00642526          0.00508537
         2         1         1         1           0.0059912          0.00492675
         2         1         1         1          0.00561208            0.004779
         2         1         1         1          0.00527809          0.00465366
         2         1         1         1          0.00498162          0.00456549
         2         1         1         1          0.00471668          0.00453247
         2         1         1         1           0.0044785          0.00457581
         2         2         1         1            0.111319          0.00962888
         2         2         1         1            0.052212          0.00909237
         2         2         1         1           0.0341038          0.00865462
         2         2         1         1           0.0253217          0.00829714
         2         2         1         1           0.0201364          0.00800334
         2         2         1         1           0.0167138          0.00775858
         2         2         1         1           0.0142856          0.00755018
         2         2         1         1           0.0124735          0.00736736
         2         2         1         1           0.0110694          0.00720131
         2         2         1         1          0.00994936          0.00704516
         2         2         1         1          0.00903518          0.00689395
         2         2         1         1          0.00827486          0.00674469
         2         2         1         1          0.00763257          0.00659632
         2         2         1         1           0.0070828          0.00644971
         2         2         1         1          0.00660691          0.00630768
         2         2         1         1          0.00619095          0.00617498
         2         2         1         1          0.00582426          0.00605832
         2         2         1         1          0.00549858          0.00596631
         2         2         1         1          0.00520739          0.00590954
         2         2         1         1          0.00494549          0.00590053
         2         3         1         1            0.116132          0.00913932
         2         3         1         1           0.0538142          0.00854247
         2         3         1         1           0.0350214          0.00808622
         2         3         1         1           0.0259568          0.00774217
         2         3         1         1           0.0206198          0.00748492
         2         3         1         1           0.0171032          0.00729212
         2         3         1         1           0.0146113          0.00714441
         2         3         1         1           0.0127532          0.00702548
         2         3         1         1           0.0113144          0.00692204
         2         3         1         1           0.0101673           0.0068238
         2         3         1         1          0.00923137          0.00672352
         2         3         1         1          0.00845324          0.00661696
         2         3         1         1          0.00779609          0.00650291
         2         3         1         1          0.00723375           0.0063832
         2         3         1         1          0.00674707          0.00626266
         2         3         1         1          0.00632175          0.00614915
         2         3         1         1          0.00594687          0.00605355
         2         3         1         1          0.00561397          0.00598978
         2         3         1         1          0.00531636          0.00597475
         2         3         1         1          0.00504871          0.00602841
         3         0         1         1            0.119974          0.00939754
         3         0         1         1           0.0562825          0.00888424
         3         0         1         1           0.0367648          0.00848897
         3         0         1         1           0.0272983          0.00818775
         3         0         1         1           0.0217086          0.00795914
         3         0         1         1           0.0180189          0.00778431
         3         0         1         1           0.0154013          0.00764701
         3         0         1         1           0.0134477          0.00753357
         3         0         1         1            0.011934          0.00743291
         3         0         1         1           0.0107265          0.00733653
         3         0         1         1          0.00974097          0.00723852
         3         0         1         1          0.00892128          0.00713553
         3         0         1         1          0.00822883          0.00702682
         3         0         1         1          0.00763613          0.00691423
         3         0         1         1          0.00712308          0.00680217
         3         0         1         1          0.00667462          0.00669765
         3         0         1         1          0.00627929          0.00661025
         3         0         1         1          0.00592817          0.00655215
         3         0         1         1          0.00561424          0.00653809
         3         0         1         1          0.00533189          0.00658542
         3         1         1         1            0.127594          0.00975429
         3         1         1         1           0.0608569          0.00915215
         3         1         1         1           0.0399574          0.00869087
         3         1         1         1           0.0297431          0.00834349
         3         1         1         1           0.0236877          0.00808583
         3         1         1         1           0.0196809          0.00789649
         3         1         1         1           0.0168335          0.00775687
         3         1         1         1           0.0147059          0.00765113
         3         1         1         1           0.0130558          0.00756621
         3         1         1         1           0.0117386          0.00749185
         3         1         1         1           0.0106628          0.00742056
         3         1         1         1          0.00976768          0.00734762
         3         1         1         1          0.00901119          0.00727111
         3         1         1         1          0.00836346          0.00719189
         3         1         1         1           0.0078026          0.00711358
         3         1         1         1          0.00731224          0.00704261
         3         1         1         1          0.00687986          0.00698818
         3         1         1         1          0.00649577          0.00696225
         3         1         1         1          0.00615229          0.00697959
         3         1         1         1          0.00584332          0.00705775
         3         2         1         1            0.102492          0.00684413
         3         2         1         1           0.0518936          0.00645423
         3         2         1         1           0.0347422          0.00612927
         3         2         1         1           0.0261119          0.00585772
         3         2         1         1           0.0209161          0.00562922
         3         2         1         1           0.0174449          0.00543453
         3         2         1         1           0.0149619          0.00526555
         3         2         1         1           0.0130976          0.00511533
         3         2         1         1           0.0116464          0.00497807
         3         2         1         1           0.0104848           0.0048491
         3         2         1         1          0.00953382          0.00472491
         3         2         1         1          0.00874103          0.00460311
         3         2         1         1          0.00806996          0.00448247
         3         2         1         1          0.00749459          0.00436289
         3         2         1         1           0.0069958          0.00424543
         3         2         1         1          0.00655926          0.00413228
         3         2         1         1            0.006174          0.00402677
         3         2         1         1          0.00583149          0.00393339
         3         2         1         1          0.00552498          0.00385775
         3         2         1         1          0.00524909          0.00380662
         3         3         1         1            0.123798          0.00938272
         3         3         1         1           0.0549412          0.00887319
         3         3         1         1           0.0353047          0.00846804
         3         3         1         1           0.0260088          0.00814587
         3         3         1         1            0.020588          0.00788767
         3         3         1         1            0.017037           0.0076768
         3         3         1         1           0.0145308          0.00749899
         3         3         1         1           0.0126674          0.00734237
         3         3         1         1           0.0112276          0.00719744
         3         3         1         1           0.0100816          0.00705708
         3         3         1         1          0.00914798          0.00691655
         3         3         1         1          0.00837259          0.00677347
         3         3         1         1          0.00771838          0.00662788
         3         3         1         1          0.00715899          0.00648217
         3         3         1         1           0.0066752          0.00634111
         3         3         1         1          0.00625267          0.00621185
         3         3         1         1          0.00588044          0.00610394
         3         3         1         1          0.00555004          0.00602928
         3         3         1         1          0.00525479          0.00600217
         3         3         1         1          0.00498937          0.00603928
         4         0         1         1            0.131879          0.00880577
         4         0         1         1           0.0566071          0.00837894
         4         0         1         1           0.0360379          0.00804555
         4         0         1         1            0.026433          0.00778645
         4         0         1         1           0.0208705          0.00758457
         4         0         1         1           0.0172422          0.00742491
         4         0         1         1           0.0146885          0.00729456
         4         0         1         1           0.0127937          0.00718267
         4         0         1         1           0.0113319          0.00708046
         4         0         1         1           0.0101699          0.00698125
         4         0         1         1          0.00922406          0.00688042
         4         0         1         1          0.00843917          0.00677542
         4         0         1         1          0.00777738          0.00666579
         4         0         1         1          0.00721184          0.00655313
         4         0         1         1          0.00672297          0.00644114
         4         0         1         1          0.00629617          0.00633556
         4         0         1         1          0.00592032          0.00624424
         4         0         1         1          0.00558682          0.00617708
         4         0         1         1          0.00528889          0.00614607
         4         0         1         1          0.00502113          0.00616528
         4         1         1         1            0.129608          0.00909318
         4         1         1         1           0.0584063          0.00859805
         4         1         1         1            0.037697          0.00823692
         4         1         1         1           0.0278294          0.00798319
         4         1         1         1            0.022056          0.00781307
         4         1         1         1           0.0182665          0.00770554
         4         1         1         1           0.0155883          0.00764237
         4         1         1         1            0.013595          0.00760811
         4         1         1         1           0.0120536           0.0075901
         4         1         1         1           0.0108262          0.00757846
         4         1         1         1          0.00982567          0.00756611
         4         1         1         1          0.00899441          0.00754873
         4         1         1         1          0.00829284           0.0075248
         4         1         1         1          0.00769279          0.00749558
         4         1         1         1          0.00717372          0.00746511
         4         1         1         1          0.00672027          0.00744023
         4         1         1         1          0.00632073          0.00743054
         4         1         1         1          0.00596604          0.00744845
         4         1         1         1          0.00564904          0.00750914
         4         1         1         1          0.00536403          0.00763057
         4         2         1         1            0.121678           0.0100964
         4         2         1         1           0.0537996          0.00939835
         4         2         1         1           0.0345345           0.0088464
         4         2         1         1           0.0254287          0.00841241
         4         2         1         1           0.0201229          0.00807123
         4         2         1         1            0.016649          0.00780061
         4         2         1         1           0.0141979          0.00758127
         4         2         1         1            0.012376          0.00739687
         4         2         1         1           0.0109684            0.007234
