      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         0         0         2         6           0.0941104             5.51769
         0         0         2         6           0.0606186             6.07913
         0         0         2         6           0.0462846             5.98132
         0         0         2         6           0.0384811             5.99832
         0         0         2         6           0.0333407             6.00933
         0         0         2         6           0.0294643             6.03532
         0         0         2         6            0.026439             6.06324
         0         0         2         6           0.0240169              6.0872
         0         0         2         6           0.0220353             6.10623
         0         0         2         6           0.0203841             6.11865
         0         0         2         6           0.0189871             6.12568
         0         0         2         6           0.0177893             6.12632
         0         0         2         6           0.0167508             6.12245
         0         0         2         6           0.0158416             6.11252
         0         0         2         6           0.0150386             6.09864
         0         0         2         6           0.0143242              6.0811
         0         0         2         6           0.0136843             6.06079
         0         0         2         6           0.0131076             6.03702
         0         0         2         6           0.0125853             6.01064
         0         0         2         6           0.0121099             5.98239
         0         1         2         6            0.104048             5.29399
         0         1         2         6           0.0639057             5.41317
         0         1         2         6           0.0479555              5.4792
         0         1         2         6           0.0393559              5.5972
         0         1         2         6           0.0340343              5.7032
         0         1         2         6           0.0299943             5.77802
         0         1         2         6           0.0268562             5.83787
         0         1         2         6           0.0243533             5.88439
         0         1         2         6            0.022312             5.92024
         0         1         2         6           0.0206156             5.94534
         0         1         2         6           0.0191835             5.96266
         0         1         2         6           0.0179581              5.9729
         0         1         2         6           0.0168973             5.97753
         0         1         2         6           0.0159699             5.97523
         0         1         2         6            0.015152             5.96864
         0         1         2         6           0.0144251             5.95771
         0         1         2         6           0.0137746             5.94389
         0         1         2         6           0.0131889             5.92658
         0         1         2         6           0.0126589             5.90576
         0         1         2         6           0.0121768             5.88331
         0         2         2         6            0.101518             5.43827
         0         2         2         6           0.0638012             5.58913
         0         2         2         6           0.0482621             5.65087
         0         2         2         6           0.0396776             5.75917
         0         2         2         6            0.034454             5.87872
         0         2         2         6           0.0304303             5.96301
         0         2         2         6           0.0272899             6.03453
         0         2         2         6           0.0247762             6.09461
         0         2         2         6           0.0227204             6.14475
         0         2         2         6           0.0210083             6.18503
         0         2         2         6           0.0195603             6.21708
         0         2         2         6           0.0183194             6.24203
         0         2         2         6           0.0172438             6.25972
         0         2         2         6           0.0163025             6.27242
         0         2         2         6           0.0154715             6.27813
         0         2         2         6           0.0147323             6.27898
         0         2         2         6           0.0140704             6.27681
         0         2         2         6           0.0134741             6.27011
         0         2         2         6           0.0129341             6.25941
         0         2         2         6           0.0124426             6.24658
         0         3         2         6            0.104901             5.29215
         0         3         2         6           0.0684597             5.47318
         0         3         2         6           0.0524778             5.51087
         0         3         2         6           0.0432849             5.54531
         0         3         2         6           0.0376556             5.65839
         0         3         2         6            0.033485             5.70978
         0         3         2         6           0.0301814             5.75693
         0         3         2         6           0.0275024             5.79629
         0         3         2         6           0.0252898              5.8287
         0         3         2         6            0.023433             5.85488
         0         3         2         6            0.021853             5.87537
         0         3         2         6           0.0204922             5.89023
         0         3         2         6           0.0193079             5.90063
         0         3         2         6           0.0182676             5.90775
         0         3         2         6           0.0173464             5.91017
         0         3         2         6           0.0165249             5.91017
         0         3         2         6           0.0157875             5.90562
         0         3         2         6           0.0151219             5.89832
         0         3         2         6            0.014518              5.8889
         0         3         2         6           0.0139674             5.87803
         1         0         2         6             0.10056             5.35531
         1         0         2         6           0.0644839             6.20497
         1         0         2         6           0.0491308             6.17458
         1         0         2         6           0.0403941              6.1443
         1         0         2         6           0.0352334             6.20321
         1         0         2         6           0.0312029             6.23992
         1         0         2         6           0.0280338             6.27795
         1         0         2         6           0.0254861             6.31345
         1         0         2         6           0.0233955             6.34429
         1         0         2         6           0.0216499             6.36818
         1         0         2         6           0.0201703             6.38635
         1         0         2         6           0.0189002             6.39918
         1         0         2         6           0.0177976              6.4063
         1         0         2         6           0.0168314             6.40847
         1         0         2         6           0.0159776             6.40502
         1         0         2         6           0.0152173             6.39722
         1         0         2         6            0.014536             6.38582
         1         0         2         6           0.0139217             6.37155
         1         0         2         6           0.0133649             6.35442
         1         0         2         6            0.012858             6.33299
         1         1         2         6            0.108138             5.71077
         1         1         2         6           0.0675317             5.77584
         1         1         2         6           0.0509426             5.80798
         1         1         2         6           0.0416656             5.85991
         1         1         2         6           0.0361635             5.99524
         1         1         2         6             0.03201             6.07918
         1         1         2         6           0.0287389             6.14966
         1         1         2         6           0.0261101             6.21055
         1         1         2         6           0.0239545             6.26283
         1         1         2         6           0.0221558             6.30706
         1         1         2         6           0.0206322             6.34321
         1         1         2         6           0.0193251             6.37334
         1         1         2         6           0.0181911             6.39692
         1         1         2         6           0.0171978             6.41457
         1         1         2         6           0.0163204             6.42798
         1         1         2         6           0.0155395             6.43526
         1         1         2         6           0.0148399              6.4386
         1         1         2         6           0.0142093             6.43839
         1         1         2         6            0.013638             6.43561
         1         1         2         6           0.0131179             6.42793
         1         2         2         6            0.103962               5.573
         1         2         2         6           0.0669191             5.63256
         1         2         2         6           0.0510412             5.66299
         1         2         2         6            0.041991             5.70559
         1         2         2         6           0.0365366             5.82867
         1         2         2         6           0.0324288             5.89942
         1         2         2         6           0.0291761             5.95867
         1         2         2         6           0.0265499             6.00875
         1         2         2         6           0.0243888             6.05019
         1         2         2         6           0.0225802             6.08515
         1         2         2         6           0.0210447             6.11287
         1         2         2         6           0.0197247             6.13424
         1         2         2         6           0.0185776             6.15018
         1         2         2         6           0.0175713             6.16116
         1         2         2         6           0.0166813              6.1681
         1         2         2         6           0.0158883             6.16984
         1         2         2         6           0.0151772             6.16828
         1         2         2         6           0.0145358             6.16324
         1         2         2         6           0.0139541             6.15534
         1         2         2         6           0.0134242             6.14561
         1         3         2         6            0.103491             5.09323
         1         3         2         6           0.0663126             5.40635
         1         3         2         6           0.0504973             5.49744
         1         3         2         6           0.0414955             5.56514
         1         3         2         6           0.0361284              5.6935
         1         3         2         6           0.0320388             5.76401
         1         3         2         6           0.0288065             5.81768
         1         3         2         6           0.0262014             5.85962
         1         3         2         6           0.0240603             5.89207
         1         3         2         6           0.0222702              5.9164
         1         3         2         6           0.0207516             5.93319
         1         3         2         6           0.0194469             5.94457
         1         3         2         6           0.0183137             5.95007
         1         3         2         6             0.01732             5.95084
         1         3         2         6           0.0164416             5.94765
         1         3         2         6           0.0156591             5.94033
         1         3         2         6           0.0149577              5.9297
         1         3         2         6           0.0143251             5.91584
         1         3         2         6           0.0137516             5.90085
         1         3         2         6           0.0132292             5.88214
         2         0         2         6            0.100875             5.90948
         2         0         2         6           0.0674415             6.12369
         2         0         2         6           0.0521951             5.95466
         2         0         2         6           0.0432704             5.90291
         2         0         2         6           0.0377547             5.99883
         2         0         2         6           0.0336444             6.05527
         2         0         2         6           0.0303764             6.12027
         2         0         2         6           0.0277172             6.18109
         2         0         2         6           0.0255149             6.23494
         2         0         2         6           0.0236623              6.2803
         2         0         2         6           0.0220827             6.31706
         2         0         2         6           0.0207201             6.34656
         2         0         2         6           0.0195326             6.36851
         2         0         2         6           0.0184882             6.38421
         2         0         2         6           0.0175623             6.39256
         2         0         2         6           0.0167359             6.39734
         2         0         2         6           0.0159936             6.39623
         2         0         2         6           0.0153229             6.39099
         2         0         2         6            0.014714             6.38215
         2         0         2         6           0.0141586             6.37025
         2         1         2         6            0.105779             4.55742
         2         1         2         6           0.0687343             5.29915
         2         1         2         6           0.0525994              5.3925
         2         1         2         6           0.0433464             5.38565
         2         1         2         6           0.0376871             5.45295
         2         1         2         6           0.0335019             5.46727
         2         1         2         6           0.0301892             5.48404
         2         1         2         6            0.027504             5.49718
         2         1         2         6           0.0252872             5.50637
         2         1         2         6           0.0234275             5.51083
         2         1         2         6           0.0218454             5.51086
         2         1         2         6           0.0204831             5.50661
         2         1         2         6           0.0192978             5.49861
         2         1         2         6           0.0182568             5.48773
         2         1         2         6           0.0173351             5.47312
         2         1         2         6           0.0165133             5.45619
         2         1         2         6           0.0157757             5.43691
         2         1         2         6             0.01511             5.41498
         2         1         2         6            0.014506             5.39185
         2         1         2         6           0.0139554             5.36706
         2         2         2         6             0.11634             5.44672
         2         2         2         6           0.0737237             5.62128
         2         2         2         6           0.0558571             5.72919
         2         2         2         6           0.0457899             5.81783
         2         2         2         6           0.0394295             5.94976
         2         2         2         6            0.035122             6.05523
