 *tel    numcsi         Z         A           CsIV        errCsIV           CsIE       errCsIE
    3         1         1         3       0.525952              0        75.6765              0
    3         1         1         3       0.592366              0        85.7952              0
    3         1         1         3       0.654751              0        95.4602              0
    3         2         1         3      0.0311205              0        5.62231              0
    3         2         1         3      0.0852888              0        15.9237              0
    3         2         1         3       0.132187              0        25.8462              0
    3         2         1         3       0.179576              0        35.9867              0
    3         2         1         3       0.225656              0        45.7187              0
    3         2         1         3       0.270802              0        55.5921              0
    3         2         1         3       0.315875              0        65.6046              0
    3         2         1         3       0.362049              0        75.7546              0
    3         2         1         3       0.405255              0        85.4967              0
    3         2         1         3       0.450356              0        95.9125              0
    3         3         1         3       0.036479              0        5.45085              0
    3         3         1         3       0.119279              0        15.9911              0
    3         3         1         3       0.183135              0        25.5698              0
    3         3         1         3       0.248393              0        35.3906              0
    3         3         1         3       0.319882              0        45.9694              0
    3         3         1         3       0.385267              0         55.929              0
    3         3         1         3       0.451898              0        65.9691              0
    3         3         1         3       0.513276              0        75.3648              0
    3         3         1         3       0.579433              0        85.5642              0
    3         3         1         3       0.644852              0        95.8495              0
    4         0         1         3      0.0335873              0        5.50021              0
    4         0         1         3       0.104232              0        15.3741              0
    4         0         1         3       0.169218              0        25.5218              0
    4         0         1         3       0.234128              0        35.9267              0
    4         0         1         3       0.294709              0        45.6101              0
    4         0         1         3       0.354324              0        55.3414              0
    4         0         1         3       0.419541              0        65.8706              0
    4         0         1         3       0.480061              0        75.6945              0
    4         0         1         3        0.54054              0        85.5664              0
    4         0         1         3       0.600058              0        95.4885              0
    4         1         1         3      0.0327165              0        5.45472              0
    4         1         1         3       0.110461              0        15.9889              0
    4         1         1         3       0.173417              0        25.5889              0
    4         1         1         3        0.23542              0        35.5883              0
    4         1         1         3        0.29817              0        45.7141              0
    4         1         1         3       0.361282              0        55.9446              0
    4         1         1         3       0.419743              0        65.5058              0
    4         1         1         3       0.482742              0        75.8493              0
    4         1         1         3         0.5402              0        85.4878              0
    4         1         1         3       0.603131              0        95.8968              0
    4         2         1         3      0.0369378              0        5.61527              0
    4         2         1         3       0.116119              0        15.4378              0
    4         2         1         3       0.188259              0        25.5031              0
    4         2         1         3       0.261748              0        35.9982              0
    4         2         1         3       0.326643              0        45.4008              0
    4         2         1         3        0.39464              0        55.5734              0
    4         2         1         3       0.464005              0        65.8669              0
    4         2         1         3        0.52788              0        75.6144              0
    4         2         1         3       0.592395              0        85.4505              0
    4         2         1         3       0.656876              0         95.372              0
    4         3         1         3      0.0365524              0        5.72474              0
    4         3         1         3       0.116068              0        15.8713              0
    4         3         1         3        0.18629              0        25.9127              0
    4         3         1         3       0.250642              0        35.6949              0
    4         3         1         3       0.316609              0        45.5879              0
    4         3         1         3        0.38148              0        55.5983              0
    4         3         1         3       0.447128              0        65.7063              0
    4         3         1         3       0.513045              0        75.9017              0
    4         3         1         3       0.573878              0        85.5346              0
    4         3         1         3        0.63931              0        95.8858              0
    5         0         1         3      0.0352464              0        5.58166              0
    5         0         1         3       0.110859              0        15.6439              0
    5         0         1         3       0.180074              0        25.8718              0
    5         0         1         3       0.243739              0        35.5894              0
    5         0         1         3       0.308365              0        45.3372              0
    5         0         1         3       0.377111              0        55.8989              0
    5         0         1         3       0.441405              0        65.7594              0
    5         0         1         3       0.506022              0        75.6703              0
    5         0         1         3        0.56975              0        85.6335              0
    5         0         1         3       0.633828              0        95.6504              0
    5         1         1         3      0.0454808              0        5.61864              0
    5         1         1         3       0.126973              0        15.5156              0
    5         1         1         3       0.207184              0        25.7411              0
    5         1         1         3       0.281175              0        35.3322              0
    5         1         1         3       0.361977              0        45.6936              0
    5         1         1         3       0.435989              0        55.4222              0
    5         1         1         3        0.51096              0        65.2698              0
    5         1         1         3       0.585877              0        75.2458              0
    5         1         1         3       0.660132              0        85.3577              0
    5         1         1         3        0.73488              0        95.6107              0
    5         2         1         3      0.0461201              0        5.86471              0
    5         2         1         3       0.134544              0        15.4735              0
    5         2         1         3       0.219763              0         25.857              0
    5         2         1         3       0.301313              0         35.745              0
    5         2         1         3       0.382202              0        45.6153              0
    5         2         1         3       0.463876              0        55.5396              0
    5         2         1         3       0.544316              0        65.5401              0
    5         2         1         3       0.625839              0        75.6349              0
    5         2         1         3       0.706549              0        85.8384              0
    5         2         1         3       0.782737              0        95.5127              0
    5         3         1         3      0.0655006              0        5.99388              0
    5         3         1         3       0.179735              0        15.3095              0
    5         3         1         3       0.301897              0        25.9738              0
    5         3         1         3       0.408957              0        35.3386              0
    5         3         1         3       0.523649              0        45.4178              0
    5         3         1         3       0.637999              0        55.5558              0
    5         3         1         3       0.752975              0        65.7656              0
    5         3         1         3       0.858538              0        75.3189              0
    5         3         1         3       0.973805              0        85.6921              0
    5         3         1         3        1.08148              0        95.4072              0
    6         0         1         3      0.0321303              0        5.53736              0
    6         0         1         3       0.107386              0        15.7601              0
    6         0         1         3       0.170616              0        25.5109              0
    6         0         1         3       0.233544              0        35.5513              0
    6         0         1         3       0.297281              0        45.6606              0
    6         0         1         3       0.360923              0        55.8586              0
    6         0         1         3       0.419058              0        65.3382              0
    6         0         1         3       0.482868              0        75.6716              0
    6         0         1         3       0.541774              0        85.2655              0
    6         0         1         3       0.604302              0        95.7151              0
