 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0            101            0.5        5.92969      0.0592969
    0         0            201            0.5        21.6122       0.216122
    0         0            291            0.5        37.6523       0.376523
    0         0            376            0.5        53.2348       0.532348
    0         0            461            0.5        69.1192       0.691192
    0         0            546            0.5        85.2521       0.852521
    0         0            631            0.5        101.619        1.01619
    0         0            711            0.5        117.237        1.17237
    0         0            791            0.5        133.065        1.33065
    0         0            871            0.5        149.112        1.49112
    0         0            951            0.5        165.381        1.65381
    0         0           1031            0.5        181.883        1.81883
    0         0           1106            0.5        197.569        1.97569
    0         0           1181            0.5         213.47         2.1347
    0         0           1256            0.5        229.593        2.29593
    0         0           1331            0.5        245.943        2.45943
    0         0           1401            0.5        261.415        2.61415
    0         0           1471            0.5        277.094        2.77094
    0         0           1541            0.5        292.988        2.92988
    0         0           1611            0.5        309.101        3.09101
    0         0           1681            0.5        325.438        3.25438
    0         1             85            0.5        4.58925      0.0458925
    0         1            170            0.5        19.4553       0.194553
    0         1            250            0.5        34.4152       0.344152
    0         1            330            0.5        49.5353       0.495353
    0         1            410            0.5        64.8332       0.648332
    0         1            485            0.5        79.3263       0.793263
    0         1            565            0.5        94.9494       0.949494
    0         1            640            0.5        109.757        1.09757
    0         1            715            0.5        124.728        1.24728
    0         1            790            0.5        139.873        1.39873
    0         1            860            0.5        154.174        1.54174
    0         1            935            0.5        169.683        1.69683
    0         1           1005            0.5        184.339        1.84339
    0         1           1075            0.5        199.177        1.99177
    0         1           1145            0.5        214.203        2.14203
    0         1           1215            0.5        229.427        2.29427
    0         1           1285            0.5        244.854        2.44854
    0         1           1350            0.5        259.367        2.59367
    0         1           1415            0.5        274.066        2.74066
    0         1           1480            0.5        288.957        2.88957
    0         1           1545            0.5        304.047        3.04047
    0         2             97            0.5        4.57922      0.0457922
    0         2            177            0.5        18.1262       0.181262
    0         2            257            0.5        32.5379       0.325379
    0         2            332            0.5        46.1632       0.461632
    0         2            412            0.5        60.8386       0.608386
    0         2            487            0.5        74.7289       0.747289
    0         2            562            0.5        88.7541       0.887541
    0         2            637            0.5        102.925        1.02925
    0         2            707            0.5        116.292        1.16292
    0         2            782            0.5        130.778        1.30778
    0         2            852            0.5        144.461        1.44461
    0         2            922            0.5        158.311        1.58311
    0         2            992            0.5        172.338        1.72338
    0         2           1062            0.5         186.55         1.8655
    0         2           1132            0.5        200.957        2.00957
    0         2           1197            0.5        214.515        2.14515
    0         2           1262            0.5        228.256        2.28256
    0         2           1327            0.5        242.184        2.42184
    0         2           1392            0.5        256.309        2.56309
    0         2           1457            0.5        270.635        2.70635
    0         2           1517            0.5        284.043        2.84043
    0         2           1582            0.5        298.778        2.98778
    0         3             49            0.5         4.5534       0.045534
    0         3            134            0.5        19.3088       0.193088
    0         3            214            0.5        34.3473       0.343473
    0         3            294            0.5        49.6996       0.496996
    0         3            369            0.5        64.3484       0.643484
    0         3            444            0.5        79.2077       0.792077
    0         3            519            0.5        94.2624       0.942624
    0         3            594            0.5        109.508        1.09508
    0         3            669            0.5        124.946        1.24946
    0         3            739            0.5        139.533        1.39533
    0         3            809            0.5        154.297        1.54297
    0         3            879            0.5        169.243        1.69243
    0         3            949            0.5        184.378        1.84378
    0         3           1019            0.5        199.707        1.99707
    0         3           1084            0.5        214.119        2.14119
    0         3           1154            0.5         229.84         2.2984
    0         3           1219            0.5        244.628        2.44628
    0         3           1284            0.5        259.605        2.59605
    0         3           1349            0.5        274.774        2.74774
    0         3           1409            0.5        288.953        2.88953
    0         3           1474            0.5        304.511        3.04511
    0         3           1534            0.5        319.057        3.19057
    1         0            114            0.5        5.83409      0.0583409
    1         0            209            0.5        20.5504       0.205504
    1         0            294            0.5        35.4447       0.354447
    1         0            379            0.5        50.6944       0.506944
    1         0            459            0.5        65.2531       0.652531
    1         0            544            0.5        80.8795       0.808795
    1         0            624            0.5        95.7168       0.957168
    1         0            704            0.5        110.675        1.10675
    1         0            784            0.5        125.755        1.25755
    1         0            864            0.5        140.959        1.40959
    1         0            939            0.5        155.327        1.55327
    1         0           1019            0.5        170.779        1.70779
    1         0           1094            0.5        185.386        1.85386
    1         0           1169            0.5        200.113        2.00113
    1         0           1249            0.5        215.956        2.15956
    1         0           1324            0.5        230.938        2.30938
    1         0           1394            0.5        245.037        2.45037
    1         0           1469            0.5        260.269        2.60269
    1         0           1544            0.5         275.63         2.7563
    1         0           1614            0.5         290.09         2.9009
    1         0           1689            0.5        305.715        3.05715
    1         1             95            0.5        4.19091      0.0419091
    1         1            185            0.5        19.4041       0.194041
    1         1            270            0.5        34.5866       0.345866
    1         1            355            0.5        49.8022       0.498022
    1         1            435            0.5        64.2099       0.642099
    1         1            520            0.5        79.6252       0.796252
    1         1            600            0.5        94.2509       0.942509
    1         1            685            0.5        109.934        1.09934
    1         1            765            0.5        124.844        1.24844
    1         1            845            0.5        139.917        1.39917
    1         1            920            0.5        154.206        1.54206
    1         1           1000            0.5        169.628        1.69628
    1         1           1075            0.5        184.268        1.84268
    1         1           1150            0.5        199.092        1.99092
    1         1           1225            0.5        214.109        2.14109
    1         1           1300            0.5        229.329        2.29329
    1         1           1375            0.5         244.76         2.4476
    1         1           1445            0.5        259.362        2.59362
    1         1           1515            0.5        274.161        2.74161
    1         1           1585            0.5        289.167        2.89167
    1         1           1655            0.5        304.387        3.04387
    1         2             82            0.5        4.33299      0.0433299
    1         2            167            0.5        18.6768       0.186768
    1         2            242            0.5        32.2521       0.322521
    1         2            322            0.5         46.897        0.46897
    1         2            397            0.5        60.8004       0.608004
    1         2            472            0.5        74.8642       0.748642
    1         2            542            0.5        88.1379       0.881379
    1         2            617            0.5        102.525        1.02525
    1         2            687            0.5        116.116        1.16116
    1         2            762            0.5        130.863        1.30863
    1         2            832            0.5         144.81         1.4481
    1         2            902            0.5        158.942        1.58942
    1         2            967            0.5        172.241        1.72241
    1         2           1037            0.5        186.759        1.86759
    1         2           1102            0.5        200.429        2.00429
    1         2           1167            0.5        214.289        2.14289
    1         2           1232            0.5        228.347        2.28347
    1         2           1297            0.5        242.609        2.42609
    1         2           1357            0.5        255.963        2.55963
    1         2           1422            0.5        270.637        2.70637
    1         2           1482            0.5        284.383        2.84383
    1         2           1542            0.5        298.328        2.98328
    1         3            113            0.5         5.9834       0.059834
    1         3            198            0.5        20.8771       0.208771
    1         3            278            0.5        35.7479       0.357479
    1         3            358            0.5         50.838        0.50838
    1         3            433            0.5        65.2187       0.652187
    1         3            513            0.5        80.7942       0.807942
    1         3            588            0.5        95.6188       0.956188
    1         3            663            0.5        110.666        1.10666
    1         3            738            0.5        125.944        1.25944
    1         3            808            0.5        140.423        1.40423
    1         3            878            0.5        155.122        1.55122
    1         3            948            0.5        170.052        1.70052
    1         3           1018            0.5        185.221        1.85221
    1         3           1088            0.5        200.639        2.00639
    1         3           1153            0.5        215.188        2.15188
    1         3           1218            0.5        229.967        2.29967
    1         3           1283            0.5        244.985        2.44985
    1         3           1348            0.5        260.252        2.60252
    1         3           1413            0.5        275.772        2.75772
    1         3           1473            0.5        290.333        2.90333
    1         3           1533            0.5        305.126        3.05126
    2         0             83            0.5        5.97569      0.0597569
    2         0            168            0.5        19.7018       0.197018
    2         0            243            0.5        33.3312       0.333312
    2         0            318            0.5        47.1319       0.471319
    2         0            398            0.5          61.98         0.6198
    2         0            473            0.5        75.9992       0.759992
    2         0            543            0.5        89.1687       0.891687
    2         0            618            0.5        103.372        1.03372
    2         0            693            0.5        117.675        1.17675
    2         0            763            0.5        131.118        1.31118
    2         0            838            0.5        145.625        1.45625
    2         0            908            0.5        159.262        1.59262
    2         0            983            0.5        173.982        1.73982
    2         0           1053            0.5        187.823        1.87823
    2         0           1123            0.5        201.764        2.01764
