      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         0         0         3         7            0.199038             4.08296
         0         0         3         7            0.142595             5.03326
         0         0         3         7            0.113516             5.44682
         0         0         3         7           0.0955314             5.62155
         0         0         3         7           0.0841777              5.7608
         0         0         3         7           0.0754678               5.847
         0         0         3         7            0.068454             5.92638
         0         0         3         7           0.0626966             6.00174
         0         0         3         7           0.0578929             6.07269
         0         0         3         7           0.0538271             6.14014
         0         0         3         7            0.050342             6.20199
         0         0         3         7           0.0473218             6.25898
         0         0         3         7           0.0446791                6.31
         0         0         3         7            0.042347             6.35643
         0         0         3         7           0.0402734             6.39789
         0         0         3         7           0.0384174              6.4332
         0         0         3         7            0.036746             6.46358
         0         0         3         7           0.0352328             6.48968
         0         0         3         7           0.0338564             6.51148
         0         0         3         7           0.0325986             6.52879
         0         1         3         7            0.198413               4.648
         0         1         3         7            0.136792             4.89053
         0         1         3         7            0.107074             5.08052
         0         1         3         7           0.0895313             5.27728
         0         1         3         7           0.0785783             5.45824
         0         1         3         7           0.0699575             5.60787
         0         1         3         7           0.0631195             5.73862
         0         1         3         7            0.057578             5.85221
         0         1         3         7           0.0530006             5.95176
         0         1         3         7            0.049157             6.03776
         0         1         3         7           0.0458837             6.11222
         0         1         3         7           0.0430625              6.1762
         0         1         3         7            0.040605             6.23015
         0         1         3         7           0.0384449              6.2755
         0         1         3         7           0.0365308              6.3132
         0         1         3         7           0.0348226             6.34401
         0         1         3         7           0.0332886             6.36872
         0         1         3         7            0.031903             6.38735
         0         1         3         7           0.0306451             6.40099
         0         1         3         7           0.0294979             6.40961
         0         2         3         7            0.195894             4.75814
         0         2         3         7            0.137768             5.05655
         0         2         3         7            0.108772             5.22759
         0         2         3         7           0.0910946             5.39592
         0         2         3         7           0.0803158             5.57282
         0         2         3         7           0.0717377              5.7162
         0         2         3         7           0.0648732             5.84366
         0         2         3         7           0.0592801             5.95924
         0         2         3         7            0.054641             6.06333
         0         2         3         7           0.0507328             6.15771
         0         2         3         7           0.0473956             6.24196
         0         2         3         7           0.0445127             6.31803
         0         2         3         7           0.0419968             6.38589
         0         2         3         7           0.0397816             6.44564
         0         2         3         7           0.0378159             6.49854
         0         2         3         7           0.0360593             6.54495
         0         2         3         7           0.0344801             6.58495
         0         2         3         7           0.0330524             6.61936
         0         2         3         7            0.031755             6.64871
         0         2         3         7           0.0305709             6.67274
         0         3         3         7             0.19174             4.60747
         0         3         3         7             0.13675             4.96093
         0         3         3         7            0.108655              5.1265
         0         3         3         7           0.0913089             5.28187
         0         3         3         7            0.080675             5.44549
         0         3         3         7           0.0721886             5.57409
         0         3         3         7           0.0653707             5.68672
         0         3         3         7           0.0597991             5.78603
         0         3         3         7           0.0551671             5.87506
         0         3         3         7           0.0512572             5.95398
         0         3         3         7           0.0479134             6.02349
         0         3         3         7           0.0450207             6.08492
         0         3         3         7           0.0424935              6.1394
         0         3         3         7            0.040266              6.1866
         0         3         3         7           0.0382876              6.2267
         0         3         3         7           0.0365184             6.26198
         0         3         3         7           0.0349267             6.29099
         0         3         3         7           0.0334867             6.31509
         0         3         3         7           0.0321776             6.33505
         0         3         3         7            0.030982             6.35019
         1         0         3         7            0.200725             4.09391
         1         0         3         7            0.134509             5.21177
         1         0         3         7            0.104065             5.66236
         1         0         3         7           0.0870313             5.89092
         1         0         3         7           0.0757314              6.0223
         1         0         3         7           0.0671352             6.13666
         1         0         3         7           0.0603864             6.24245
         1         0         3         7           0.0549567              6.3414
         1         0         3         7           0.0504967             6.43263
         1         0         3         7           0.0467686             6.51481
         1         0         3         7           0.0436055             6.58827
         1         0         3         7           0.0408874             6.65343
         1         0         3         7           0.0385261             6.70914
         1         0         3         7            0.036455             6.75716
         1         0         3         7           0.0346234              6.7972
         1         0         3         7           0.0329917             6.82982
         1         0         3         7           0.0315284             6.85591
         1         0         3         7           0.0302086             6.87559
         1         0         3         7           0.0290118             6.88973
         1         0         3         7           0.0279215             6.89828
         1         1         3         7            0.190693             5.18312
         1         1         3         7            0.129069             5.37058
         1         1         3         7            0.100282             5.53218
         1         1         3         7           0.0843066             5.72483
         1         1         3         7           0.0733409             5.87704
         1         1         3         7           0.0650065             6.01596
         1         1         3         7           0.0584704             6.13948
         1         1         3         7           0.0532168             6.25076
         1         1         3         7           0.0489038             6.34929
         1         1         3         7           0.0452997             6.43728
         1         1         3         7           0.0422425             6.51456
         1         1         3         7           0.0396158             6.58279
         1         1         3         7            0.037334              6.6421
         1         1         3         7           0.0353329             6.69204
         1         1         3         7           0.0335634             6.73517
         1         1         3         7           0.0319869             6.77124
         1         1         3         7           0.0305732             6.80083
         1         1         3         7           0.0292981             6.82419
         1         1         3         7            0.028142             6.84239
         1         1         3         7           0.0270886             6.85508
         1         2         3         7            0.190834             4.96165
         1         2         3         7            0.135287             5.13875
         1         2         3         7            0.107206             5.28042
         1         2         3         7           0.0901154             5.44203
         1         2         3         7           0.0794952             5.59976
         1         2         3         7           0.0710289             5.72935
         1         2         3         7           0.0642577              5.8448
         1         2         3         7           0.0587384              5.9484
         1         2         3         7           0.0541584             6.04058
         1         2         3         7           0.0502981             6.12428
         1         2         3         7           0.0470006             6.19748
         1         2         3         7           0.0441509             6.26326
         1         2         3         7           0.0416631             6.32107
         1         2         3         7           0.0394721             6.37205
         1         2         3         7           0.0375272             6.41594
         1         2         3         7            0.035789             6.45313
         1         2         3         7            0.034226             6.48569
         1         2         3         7           0.0328125             6.51296
         1         2         3         7           0.0315279             6.53446
         1         2         3         7           0.0303552             6.55175
         1         3         3         7            0.199478             4.31107
         1         3         3         7            0.138057             4.83125
         1         3         3         7            0.108238             5.07854
         1         3         3         7           0.0903877             5.28669
         1         3         3         7           0.0794798             5.47757
         1         3         3         7           0.0708305             5.62646
         1         3         3         7           0.0639476             5.75314
         1         3         3         7           0.0583604             5.86135
         1         3         3         7           0.0537395             5.95526
         1         3         3         7           0.0498556             6.03574
         1         3         3         7           0.0465456             6.10499
         1         3         3         7           0.0436908             6.16404
         1         3         3         7           0.0412028             6.21362
         1         3         3         7           0.0390149             6.25531
         1         3         3         7           0.0370753             6.28932
         1         3         3         7           0.0353437              6.3166
         1         3         3         7           0.0337883             6.33874
         1         3         3         7            0.032383             6.35469
         1         3         3         7           0.0311069             6.36608
         1         3         3         7           0.0299428             6.37269
         2         0         3         7            0.207387             4.15673
         2         0         3         7            0.144363             5.16259
