 *tel    numcsi      CsIV        errCsIV           CsIE       errCsIE
    0         0      0.0160412              0        21.3658              0
    0         0      0.0544684              0        32.2187              0
    0         0        0.09727              0        42.5561              0
    0         0       0.142527              0        52.7536              0
    0         0        0.19311              0        63.0654              0
    0         0       0.244251              0         72.811              0
    0         0       0.298755              0        83.0265              0
    0         0        0.35486              0        92.9436              0
    0         0       0.410293              0        102.604              0
    0         0       0.470186              0        112.842              0
    0         0       0.531202              0         122.91              0
    0         0       0.590694              0        132.807              0
    0         0       0.651123              0        142.549              0
    0         0       0.715315              0        152.906              0
    0         0       0.781053              0        163.122              0
    0         0       0.844951              0        173.206              0
    0         0       0.911188              0        183.165              0
    0         0       0.976064              0        193.008              0
    0         0        1.04277              0         202.74              0
    0         0        1.11364              0        213.053              0
    0         0         1.1866              0        223.254              0
    0         1      0.0128591              0        19.6423              0
    0         1      0.0810562              0        34.2635              0
    0         1       0.147286              0        48.0617              0
    0         1       0.219397              0        62.4745              0
    0         1       0.291219              0        76.3405              0
    0         1        0.36969              0        90.8207              0
    0         1       0.448298              0        104.776              0
    0         1         0.5263              0        118.274              0
    0         1       0.611202              0        132.384              0
    0         1       0.695747              0        146.098              0
    0         1          0.786              0        160.437              0
    0         1       0.876432              0        174.441              0
    0         1       0.974798              0        189.053              0
    0         1        1.06691              0        202.481              0
    0         1         1.1667              0        216.548              0
    0         1        1.26895              0        230.378              0
    0         1        1.37985              0        244.841              0
    0         1        1.49315              0         259.09              0
    0         1        1.60854              0        273.148              0
    0         1        1.72533              0        287.033              0
    0         1        1.84306              0        300.764              0
    0         2       0.019521              0        20.6827              0
    0         2      0.0827571              0        34.0831              0
    0         2       0.148168              0        47.4793              0
    0         2       0.215049              0        60.3264              0
    0         2       0.287105              0        73.8715              0
    0         2       0.354028              0        85.9296              0
    0         2         0.4325              0         99.757              0
    0         2       0.505746              0        112.134              0
    0         2       0.584647              0        125.196              0
    0         2       0.668842              0        138.909              0
    0         2       0.748483              0        151.362              0
    0         2       0.833173              0        164.494              0
    0         2       0.918184              0        177.364              0
    0         2        1.01067              0        190.891              0
    0         2        1.09783              0        203.293              0
    0         2        1.19313              0        216.366              0
