 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0344648    0.000344648        5.92969      0.0592969
    0         0        0.15048      0.0015048        21.6122       0.216122
    0         0       0.254521     0.00254521        37.6523       0.376523
    0         0       0.352515     0.00352515        53.2348       0.532348
    0         0       0.450292     0.00450292        69.1192       0.691192
    0         0       0.549579     0.00549579        85.2521       0.852521
    0         0       0.647707     0.00647707        101.619        1.01619
    0         0        0.74007      0.0074007        117.237        1.17237
    0         0       0.832244     0.00832244        133.065        1.33065
    0         0       0.926476     0.00926476        149.112        1.49112
    0         0        1.01994      0.0101994        165.381        1.65381
    0         0        1.11482      0.0111482        181.883        1.81883
    0         0         1.2058       0.012058        197.569        1.97569
    0         0        1.29884      0.0129884         213.47         2.1347
    0         0        1.39274      0.0139274        229.593        2.29593
    0         0        1.48841      0.0148841        245.943        2.45943
    0         0        1.57873      0.0157873        261.415        2.61415
    0         0        1.67164      0.0167164        277.094        2.77094
    0         0        1.76388      0.0176388        292.988        2.92988
    0         0        1.85679      0.0185679        309.101        3.09101
    0         0        1.94986      0.0194986        325.438        3.25438
    0         1      0.0318289    0.000318289        4.58925      0.0458925
    0         1       0.136085     0.00136085        19.4553       0.194553
    0         1       0.231112     0.00231112        34.4152       0.344152
    0         1       0.327884     0.00327884        49.5353       0.495353
    0         1          0.424        0.00424        64.8332       0.648332
    0         1       0.514103     0.00514103        79.3263       0.793263
    0         1       0.611202     0.00611202        94.9494       0.949494
    0         1       0.701897     0.00701897        109.757        1.09757
    0         1       0.792032     0.00792032        124.728        1.24728
    0         1       0.882434     0.00882434        139.873        1.39873
    0         1       0.968662     0.00968662        154.174        1.54174
    0         1        1.06063      0.0106063        169.683        1.69683
    0         1        1.14746      0.0114746        184.339        1.84339
    0         1         1.2368       0.012368        199.177        1.99177
    0         1        1.32811      0.0132811        214.203        2.14203
    0         1        1.42034      0.0142034        229.427        2.29427
    0         1        1.51368      0.0151368        244.854        2.44854
    0         1        1.60161      0.0160161        259.367        2.59367
    0         1         1.6902       0.016902        274.066        2.74066
    0         1        1.78083      0.0178083        288.957        2.88957
    0         1        1.87102      0.0187102        304.047        3.04047
    0         2       0.032262     0.00032262        4.57922      0.0457922
    0         2       0.130461     0.00130461        18.1262       0.181262
    0         2       0.227272     0.00227272        32.5379       0.325379
    0         2       0.317483     0.00317483        46.1632       0.461632
    0         2       0.414049     0.00414049        60.8386       0.608386
    0         2       0.505746     0.00505746        74.7289       0.747289
    0         2       0.596753     0.00596753        88.7541       0.887541
    0         2       0.687381     0.00687381        102.925        1.02925
    0         2       0.772222     0.00772222        116.292        1.16292
    0         2       0.863294     0.00863294        130.778        1.30778
    0         2        0.94934      0.0094934        144.461        1.44461
    0         2        1.03523      0.0103523        158.311        1.58311
    0         2        1.12251      0.0112251        172.338        1.72338
    0         2        1.21262      0.0121262         186.55         1.8655
    0         2         1.3028       0.013028        200.957        2.00957
    0         2        1.38805      0.0138805        214.515        2.14515
    0         2        1.47497      0.0147497        228.256        2.28256
    0         2        1.56312      0.0156312        242.184        2.42184
    0         2        1.65335      0.0165335        256.309        2.56309
    0         2         1.7429       0.017429        270.635        2.70635
    0         2        1.82612      0.0182612        284.043        2.84043
    0         2        1.91678      0.0191678        298.778        2.98778
    0         3      0.0296201    0.000296201         4.5534       0.045534
    0         3       0.139404     0.00139404        19.3088       0.193088
    0         3       0.239112     0.00239112        34.3473       0.343473
    0         3       0.338618     0.00338618        49.6996       0.496996
    0         3       0.432439     0.00432439        64.3484       0.643484
    0         3       0.526416     0.00526416        79.2077       0.792077
    0         3        0.62031      0.0062031        94.2624       0.942624
    0         3       0.714809     0.00714809        109.508        1.09508
    0         3       0.808237     0.00808237        124.946        1.24946
    0         3       0.895831     0.00895831        139.533        1.39533
    0         3       0.985511     0.00985511        154.297        1.54297
    0         3        1.07483      0.0107483        169.243        1.69243
    0         3        1.16541      0.0116541        184.378        1.84378
    0         3        1.25767      0.0125767        199.707        1.99707
    0         3        1.34617      0.0134617        214.119        2.14119
    0         3        1.44212      0.0144212         229.84         2.2984
    0         3        1.53254      0.0153254        244.628        2.44628
    0         3        1.62421      0.0162421        259.605        2.59605
    0         3        1.71671      0.0171671        274.774        2.74774
    0         3        1.80251      0.0180251        288.953        2.88953
    0         3        1.89619      0.0189619        304.511        3.04511
    0         3        1.98261      0.0198261        319.057        3.19057
    1         0      0.0374951    0.000374951        5.83409      0.0583409
    1         0       0.150276     0.00150276        20.5504       0.205504
    1         0       0.248998     0.00248998        35.4447       0.354447
    1         0        0.34831      0.0034831        50.6944       0.506944
    1         0       0.441486     0.00441486        65.2531       0.652531
    1         0       0.542161     0.00542161        80.8795       0.808795
    1         0       0.635668     0.00635668        95.7168       0.957168
    1         0       0.729148     0.00729148        110.675        1.10675
    1         0       0.822818     0.00822818        125.755        1.25755
    1         0       0.918087     0.00918087        140.959        1.40959
    1         0        1.00668      0.0100668        155.327        1.55327
    1         0        1.10258      0.0110258        170.779        1.70779
    1         0        1.19507      0.0119507        185.386        1.85386
    1         0        1.28862      0.0128862        200.113        2.00113
    1         0        1.39076      0.0139076        215.956        2.15956
    1         0        1.48764      0.0148764        230.938        2.30938
    1         0        1.57941      0.0157941        245.037        2.45037
    1         0        1.67885      0.0167885        260.269        2.60269
    1         0        1.77941      0.0177941         275.63         2.7563
    1         0        1.87436      0.0187436         290.09         2.9009
    1         0        1.97585      0.0197585        305.715        3.05715
    1         1      0.0308221    0.000308221        4.19091      0.0419091
    1         1       0.136689     0.00136689        19.4041       0.194041
    1         1       0.236215     0.00236215        34.5866       0.345866
    1         1       0.334573     0.00334573        49.8022       0.498022
    1         1       0.427687     0.00427687        64.2099       0.642099
    1         1        0.52663      0.0052663        79.6252       0.796252
    1         1       0.620552     0.00620552        94.2509       0.942509
    1         1       0.718968     0.00718968        109.934        1.09934
    1         1        0.81251      0.0081251        124.844        1.24844
    1         1       0.906483     0.00906483        139.917        1.39917
