*telnum      csinum    CsIV (V)    err_CsIVEnergy(MeV)  err_Energy     Z     A
5			0			0.0042496			5.12E-05			0.79			0.001			1			2
5			0			0.01701749			0.00020503			2.863			0.002			1			2
5			0			0.02856113			0.00034411			4.86			0.003			1			2
5			0			0.04263876			0.00051372			6.844			0.005			1			2
5			0			0.05589884			0.00067348			8.822			0.006			1			2
5			1			0.00479			  4.79E-05		  	0.785			0.001			1			2
5			1			0.018063			0.00018063			2.85			0.002			1			2
5			1			0.033653			0.00033653			4.839			0.004			1			2
5			1			0.049353			0.00049353			6.814			0.005			1			2
5			1			0.064497			0.00064497			8.784			0.007			1			2
*5			2			0.005017			5.02E-05		  	0.751			0.006			1			2
*5			2			0.020302			0.00020302			2.757			0.014			1			2
*5			2			0.03632		  	0.0003632			  4.685			0.022			1			2
*5			2			0.050384			0.00050384			6.6			 0.031			1			2
*5			2			0.06712		  	0.0006712			  8.509			0.04			1			2
*5			3			0.004659			4.66E-05			  0.756			0.006			1			2
*5			3			0.017902			0.00017902			2.769			0.013			1			2
*5			3			0.033415			0.00033415			4.706			0.021			1			2
*5			3			0.048999			0.00048999			6.629			0.03			1			2
*5			3			0.064476			0.00064476			8.545			0.038			1			2
