*telnum      csinum        Par0     errPar0        Par1    errPar1
    0           0  0.00409461  2.25128e-05    1.10998  0.00122113
    0           1  0.00420074  2.05177e-05    1.10416  0.00106409
    0           2  0.00432735  2.2872e-05    1.10675  0.00117281
    0           3   0.0042596  2.41696e-05    1.10789  0.00125117
    1           0  0.00439151  2.26276e-05    1.10511  0.00114054
    1           1  0.00445437  2.12447e-05    1.09848  0.00104175
    1           2   0.0044722  2.37872e-05    1.10148  0.00119072
    1           3  0.00432854  2.29848e-05     1.0994  0.00116589
    2           0  0.00432458  2.39182e-05    1.10442  0.00125592
    2           1  0.00440456  2.42716e-05    1.08445  0.00120915
    2           2  0.00446085  2.71433e-05    1.10554  0.00140956
    2           3  0.00452978  2.49944e-05    1.09225  0.00123153
    3           0  0.00421075  2.5144e-05    1.11528  0.00137756
    3           1  0.00440822  3.27255e-05    1.10902  0.00176688
    3           2  0.00317965  3.15613e-05    1.10191  0.00228434
    3           3  0.00423601  2.44879e-05    1.11477  0.00133061
    4           0  0.00346442  2.47671e-05     1.1465  0.00170608
    4           1  0.00355712  2.20763e-05    1.14248   0.0014714
    4           2  0.00382933  3.04008e-05    1.14604   0.0019337
    4           3  0.00366642  2.83121e-05    1.14868  0.00185674
    5           0  0.00382975  2.57892e-05    1.13543  0.00157445
    5           1  0.00440318  3.0766e-05    1.13896  0.00164565
    5           2   0.0035238  2.68952e-05    1.20432  0.00187459
    5           3  0.00423079  3.95341e-05    1.24321  0.00238441
    6           0  0.00336498  2.32852e-05    1.15077  0.00165176
    6           1  0.00359486  2.68897e-05    1.15186  0.00182475
    6           2   0.0032902  2.75411e-05    1.16307  0.00209517
    6           3  0.00335945  2.69525e-05     1.1512  0.00197114
    7           0  0.00350772  2.58191e-05     1.1481  0.00176176
    7           1  0.00388037  2.75008e-05    1.13858  0.00168733
    7           2  0.00335916  2.82613e-05    1.16352   0.0019349
    7           3  0.00362202  2.94482e-05    1.15184  0.00202665
    8           0  0.00327192  3.0995e-05     1.1639  0.00233984
    8           1  0.00305035  3.26807e-05    1.19029  0.00262759
    8           2  0.00316201  3.60347e-05    1.17981  0.00296249
    8           3  0.00330464  3.51741e-05    1.16374   0.0026828
    9           0  0.00273177  3.05492e-05    1.20164  0.00274628
    9           1  0.00331221  2.99408e-05     1.1503  0.00222705
    9           2   0.0027977  3.86999e-05    1.20726  0.00355019
    9           3  0.00366649  4.81343e-05    1.15226  0.00304425
   10           0   0.0034879  4.57944e-05    1.16559   0.0032546
   10           1  0.00413252  6.3616e-05    1.13451  0.00362995
   10           2  0.00356076  3.71489e-05    1.18062  0.00255247
   10           3  0.00401139  4.72229e-05    1.12971  0.00285568
   11           0  0.00357643  3.96405e-05    1.14131  0.00262918
   11           1  0.00368136  4.7562e-05    1.14077  0.00320218
   11           2  0.00281681  0.00012063    1.21817   0.0140188
   11           3  0.00345238  7.06582e-05    1.16159    0.004605
