*telnum      csinum        Par0     errPar0        Par1    errPar1
    5           0  0.00382975  2.57892e-05    1.13543  0.00157445
    5           1  0.00440318  3.0766e-05    1.13896  0.00164565
    5           2   0.0035238  2.68952e-05    1.20432  0.00187459
    5           3  0.00423079  3.95341e-05    1.24321  0.00238441
