 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0307874    0.000307874        10.9139       0.109139
    0         0       0.128958     0.00128958        25.7561       0.257561
    0         0       0.232719     0.00232719        40.5876       0.405876
    0         0       0.336068     0.00336068        55.6468       0.556468
    0         0       0.439893     0.00439893        70.6808       0.706808
    0         0        0.54501      0.0054501        85.6557       0.856557
    0         0       0.648847     0.00648847        100.567        1.00567
    0         0        0.75304      0.0075304        115.414        1.15414
    0         0        0.85665      0.0085665        130.202        1.30202
    0         0       0.969126     0.00969126        145.927        1.45927
    0         0        1.07611      0.0107611        160.638        1.60638
    0         0        1.18418      0.0118418        175.332        1.75332
    0         0        1.29503      0.0129503        190.023        1.90023
    0         0        1.41607      0.0141607          205.7          2.057
    0         0        1.53127      0.0153127        220.419        2.20419
    0         0        1.64931      0.0164931        235.167        2.35167
    0         0        1.77574      0.0177574        250.941        2.50941
    0         0        1.89485      0.0189485        265.776        2.65776
    0         0         2.0149       0.020149        280.665        2.80665
    0         0          2.136        0.02136        295.615        2.95615
    0         0        2.25762      0.0225762        310.631        3.10631
    0         1      0.0204121    0.000204121        7.05907      0.0705907
    0         1       0.124878     0.00124878        22.9123       0.229123
    0         1       0.217047     0.00217047        37.3095       0.373095
    0         1        0.31815      0.0031815        52.6328       0.526328
    0         1       0.419101     0.00419101        67.6494       0.676494
    0         1       0.520194     0.00520194        82.3872       0.823872
    0         1       0.628986     0.00628986        97.9712       0.979712
    0         1       0.731217     0.00731217        112.369        1.12369
    0         1       0.839453     0.00839453        127.676        1.27676
    0         1       0.948888     0.00948888        142.888        1.42888
    0         1        1.05183      0.0105183        157.026        1.57026
    0         1        1.16413      0.0116413        172.128        1.72128
    0         1        1.27941      0.0127941          187.2          1.872
    0         1        1.39738      0.0139738        202.259        2.02259
    0         1        1.51775      0.0151775        217.319        2.17319
    0         1        1.63983      0.0163983        232.392        2.32392
    0         1        1.76449      0.0176449        247.489        2.47489
    0         1        1.88868      0.0188868        262.618        2.62618
    0         1        2.01381      0.0201381        277.787        2.77787
    0         1        2.13153      0.0213153         291.99         2.9199
    0         1        2.25824      0.0225824        307.259        3.07259
    0         2      0.0271294    0.000271294        7.88043      0.0788043
    0         2       0.123394     0.00123394        22.2456       0.222456
    0         2       0.217498     0.00217498        36.2061       0.362061
    0         2       0.311349     0.00311349        50.0182       0.500182
    0         2       0.412825     0.00412825        64.6444       0.646444
    0         2       0.515254     0.00515254        78.9694       0.789694
    0         2       0.609874     0.00609874        92.0899       0.920899
    0         2        0.71212      0.0071212         106.06         1.0606
    0         2       0.820922     0.00820922        120.876        1.20876
    0         2       0.923158     0.00923158        134.588        1.34588
    0         2        1.02655      0.0102655         148.21         1.4821
    0         2        1.13883      0.0113883        162.725        1.62725
    0         2        1.24695      0.0124695        176.213        1.76213
    0         2        1.36417      0.0136417        190.616        1.90616
    0         2        1.48449      0.0148449        204.984        2.04984
    0         2        1.59873      0.0159873        218.373        2.18373
    0         2        1.72313      0.0172313        232.708        2.32708
    0         2        1.84035      0.0184035        246.086        2.46086
    0         2        1.96649      0.0196649        260.425        2.60425
    0         2        2.09265      0.0209265        274.778        2.74778
    0         2        2.21097      0.0221097        288.195        2.88195
    0         2        2.33911      0.0233911        302.598        3.02598
    0         3      0.0296201    0.000296201        9.15623      0.0915623
    0         3       0.113712     0.00113712        21.3814       0.213814
    0         3       0.195022     0.00195022        33.2498       0.332498
    0         3       0.282229     0.00282229        45.9481       0.459481
    0         3       0.364144     0.00364144        57.6684       0.576684
    0         3       0.444881     0.00444881        69.1811       0.691811
    0         3       0.532572     0.00532572        81.4598       0.814598
    0         3        0.62031      0.0062031        93.6369       0.936369
    0         3       0.708436     0.00708436        105.732        1.05732
    0         3       0.795547     0.00795547        117.759        1.17759
    0         3        0.88325      0.0088325        129.733        1.29733
    0         3       0.972897     0.00972897        141.663        1.41663
    0         3        1.06176      0.0106176         153.56         1.5356
