 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    1         3            630            0.5        118.305        1.18305
    1         3            682            0.5         132.45         1.3245
    1         3            730            0.5        146.099        1.46099
    1         3            778            0.5        160.358        1.60358
    1         3            822            0.5        174.005        1.74005
    1         3            866            0.5        188.243        1.88243
    1         3            906            0.5        201.736        2.01736
    1         3            946            0.5         215.79         2.1579
    1         3            986            0.5        230.446        2.30446
    1         3           1022            0.5        244.187        2.44187
    1         3           1058            0.5        258.486        2.58486
    1         3           1090            0.5        271.699        2.71699
    1         3           1122            0.5        285.414        2.85414
    1         3           1154            0.5        299.668        2.99668
    2         0             84            0.5        6.67602      0.0667602
    2         0            148            0.5        17.7802       0.177802
    2         0            204            0.5        28.2544       0.282544
    2         0            264            0.5        39.9097       0.399097
    2         0            316            0.5        50.2782       0.502782
    2         0            372            0.5        61.6809       0.616809
    2         0            424            0.5        72.4714       0.724714
    2         0            476            0.5        83.4484       0.834484
    2         0            528            0.5        94.6091       0.946091
    2         0            580            0.5        105.952        1.05952
    2         0            628            0.5        116.588        1.16588
    2         0            676            0.5        127.381        1.27381
    2         0            724            0.5        138.334        1.38334
    2         0            772            0.5        149.452        1.49452
    2         0            820            0.5        160.737        1.60737
    2         0            864            0.5        171.233        1.71233
    2         0            912            0.5        182.851        1.82851
    2         0            956            0.5        193.659        1.93659
    2         0           1000            0.5        204.623        2.04623
    2         0           1044            0.5        215.746        2.15746
    2         0           1084            0.5        226.002        2.26002
    2         0           1128            0.5        237.444        2.37444
    2         1            112            0.5        5.96501      0.0596501
    2         1            190            0.5        20.8001       0.208001
    2         1            259            0.5        35.7448       0.357448
    2         1            322            0.5        50.4166       0.504166
    2         1            385            0.5          65.93         0.6593
    2         1            442            0.5        80.6619       0.806619
    2         1            496            0.5        95.2328       0.952328
    2         1            550            0.5         110.42         1.1042
    2         1            601            0.5        125.355        1.25355
    2         1            652            0.5         140.89         1.4089
    2         1            697            0.5        155.124        1.55124
    2         1            745            0.5        170.879        1.70879
    2         1            787            0.5        185.178        1.85178
    2         1            829            0.5        199.984        1.99984
    2         1            871            0.5        215.325        2.15325
    2         1            910            0.5         230.08         2.3008
    2         1            949            0.5        245.352        2.45352
    2         1            985            0.5        259.938        2.59938
    2         1           1021            0.5         275.02         2.7502
    2         1           1057            0.5        290.627        2.90627
    2         1           1090            0.5        305.425        3.05425
    2         2             78            0.5        5.77089      0.0577089
    2         2            154            0.5        18.5327       0.185327
    2         2            226            0.5        31.6097       0.316097
    2         2            294            0.5         44.633        0.44633
    2         2            358            0.5        57.4052       0.574052
    2         2            422            0.5        70.6495       0.706495
    2         2            482            0.5        83.4903       0.834903
    2         2            542            0.5        96.7488       0.967488
    2         2            598            0.5        109.511        1.09511
    2         2            654            0.5         122.66         1.2266
    2         2            706            0.5         135.23         1.3523
    2         2            758            0.5        148.164        1.48164
    2         2            810            0.5        161.474        1.61474
    2         2            858            0.5        174.113        1.74113
    2         2            906            0.5        187.104        1.87104
    2         2            954            0.5        200.465        2.00465
    2         2            998            0.5        213.052        2.13052
    2         2           1042            0.5        225.982        2.25982
    2         2           1086            0.5        239.269        2.39269
    2         2           1130            0.5        252.933        2.52933
    2         2           1170            0.5        265.698        2.65698
    2         3            106            0.5        5.49417      0.0549417
    2         3            174            0.5        17.4916       0.174916
    2         3            234            0.5        29.3296       0.293296
    2         3            294            0.5        41.7875       0.417875
    2         3            350            0.5        53.8239       0.538239
    2         3            402            0.5        65.3064       0.653064
    2         3            458            0.5        77.9808       0.779808
    2         3            506            0.5        89.0931       0.890931
    2         3            558            0.5         101.39         1.0139
    2         3            610            0.5        113.958        1.13958
    2         3            658            0.5        125.805        1.25805
    2         3            706            0.5        137.892        1.37892
    2         3            750            0.5        149.191        1.49191
    2         3            798            0.5        161.759        1.61759
    2         3            842            0.5        173.512        1.73512
    2         3            886            0.5        185.491        1.85491
    2         3            930            0.5        197.707        1.97707
    2         3            970            0.5        209.023        2.09023
    2         3           1014            0.5        221.712        2.21712
    2         3           1054            0.5        233.474        2.33474
    2         3           1094            0.5        245.459        2.45459
    2         3           1134            0.5        257.678        2.57678
    3         0             83            0.5         5.4541       0.054541
    3         0            155            0.5        17.4546       0.174546
    3         0            223            0.5        29.8305       0.298305
    3         0            283            0.5        41.2382       0.412382
    3         0            347            0.5        53.7808       0.537808
