 *tel    csi      Z      A   CsIE(MeV)   CsIV-VCal        CsIV       VCal
    0      1      2      6     7.83483   0.0113954   0.0253888   0.0139934
    0      1      2      6     20.1153   0.0218938    0.106868   0.0849742
    0      1      2      6     33.0812    0.018832    0.189467    0.170635
    0      1      2      6     46.8178   0.0128049    0.278981    0.266176
    0      1      2      6     59.4914  0.00711224    0.363773    0.356661
    0      1      2      6     72.7635  0.00137175    0.454285    0.452913
    0      1      2      6     85.8666  -0.00429104     0.54468    0.548971
    0      1      2      6     98.8318  -0.00981353    0.634938    0.644752
    0      1      2      6     111.686  -0.0138904    0.726371    0.740261
    0      1      2      6     124.453  -0.0191468    0.816404    0.835551
    0      1      2      6     137.995  -0.0240576    0.912943    0.937001
    0      1      2      6     150.636  -0.0268986     1.00509     1.03199
    0      1      2      6     163.239  -0.0291236      1.0978     1.12692
    0      1      2      6     176.652  -0.0295075     1.19867     1.22818
    0      1      2      6     189.209  -0.0278846     1.29526     1.32314
    0      1      2      6     202.594  -0.0244459     1.40009     1.42454
    0      1      2      6      215.98  -0.0192316     1.50685     1.52608
    0      1      2      6     228.538   -0.012924     1.60854     1.62146
    0      1      2      6      241.95  -0.00517521     1.71827     1.72345
    0      1      2      6     254.545  0.00253096     1.82184     1.81931
    0      1      2      6     267.164   0.0105012     1.92594     1.91544
    0      2      2      3     9.53186  -0.00435572    0.032262   0.0366177
    0      2      2      3     22.6796  0.00193042    0.130461    0.128531
    0      2      2      3     35.6955  0.00153771    0.227272    0.225734
    0      2      2      3     48.6216  -0.00105239    0.323625    0.324677
    0      2      2      3     61.5254  -0.00456493    0.420182    0.424747
    0      2      2      3     74.4293  -0.00800177    0.517631    0.525633
    0      2      2      3     87.3501  -0.0125948    0.614618    0.627213
    0      2      2      3     100.302  -0.0173293     0.71212    0.729449
    0      2      2      3     113.298  -0.0237389    0.808611     0.83235
    0      2      2      3     126.352  -0.0301623    0.905798     0.93596
    0      2      2      3     139.477  -0.0357385      1.0046     1.04034
    0      2      2      3     152.681  -0.0415349     1.10398     1.14551
    0      2      2      3     165.979  -0.0454342     1.20615     1.25158
    0      2      2      3     178.538  -0.0490721      1.3028     1.35187
    0      2      2      3     191.195  -0.0514183     1.40162     1.45304
    0      2      2      3     204.811  -0.0527231     1.50924     1.56196
    0      2      2      3     217.693  -0.0538045     1.61129     1.66509
    0      2      2      3     230.695  -0.0544748     1.71478     1.76925
